,0,1,name
0,Price,150.3,TNPL
1,Mkt Cap,15727.0,TNPL
2,Vol,0.5,TNPL
3,P/E,16.5,TNPL
4,P/CF,12.9,TNPL
5,EPS (TTM),9.1,TNPL
6,% ch,0.5,TNPL
7,No. of shares,104.67,TNPL
8,% ch week,-1.5,TNPL
9,% ch 1-mth,1.9,TNPL
10,% ch 12-mth,56.3,TNPL
11,52 week H/L,164.0/56.5,TNPL
12,52weekHigh,164.0,TNPL
13,52weekLow,56.5,TNPL
14,Indian Promoters,75.0%,TNPL
15,Foreign collaborators,0.0%,TNPL
16,Indian inst/Mut Fund,0.0%,TNPL
17,FIIs,0.1%,TNPL
18,ADR/GDR,0.0%,TNPL
19,Free float,24.9%,TNPL
20,Shareholders,47704,TNPL
21,Pledged promoter(s) holding,0.0%,TNPL
22,REGD OFF,"4, Bankshall Street, Kolkata - 700 001",TNPL
23,E-MAIL,company.secretariat@tatatinplate.com,TNPL
24,TELEPHONE,(033) 2243 5401,TNPL
25,SECTOR,PACKAGING,TNPL
26,TR AGENT,"TSR Darashaw, H. Moosa Patrawala Ind. Est., E.Moses Rd., Mumbai-11",TNPL
27,AUDITOR,Deloitte haskins & Sells,TNPL
28,CHM, Koushik Chatterjee,TNPL
29,COMP SEC, S. Kar,TNPL
30,YEAR OF INC, 1920,TNPL
31,BSE CODE, 504966,TNPL
32,FV (Rs), 10,TNPL
33,DIV YIELD (%), 1.3,TNPL
