,0,1,name
0,Price,226.3,TVTD
1,Mkt Cap,13498.0,TVTD
2,Vol,5.6,TVTD
3,P/E,10.1,TVTD
4,P/CF,9.0,TVTD
5,EPS (TTM),22.3,TVTD
6,% ch,-0.9,TVTD
7,No. of shares,59.65,TVTD
8,% ch week,-1.2,TVTD
9,% ch 1-mth,10.4,TVTD
10,% ch 12-mth,-25.2,TVTD
11,52 week H/L,345.4/128.4,TVTD
12,52weekHigh,345.4,TVTD
13,52weekLow,128.4,TVTD
14,Indian Promoters,57.5%,TVTD
15,Foreign collaborators,0.0%,TVTD
16,Indian inst/Mut Fund,3.4%,TVTD
17,FIIs,0.0%,TVTD
18,ADR/GDR,0.0%,TVTD
19,Free float,39.1%,TVTD
20,Shareholders,23437,TVTD
21,Pledged promoter(s) holding,0.0%,TVTD
22,REGD OFF,"F-26, First Floor, Connaught Circus, New Delhi - 110 001",TVTD
23,E-MAIL,puneet.jain@aajtak.com,TVTD
24,TELEPHONE,(0120) 480 7100,TVTD
25,SECTOR,MEDIA,TVTD
26,TR AGENT,"MCS Ltd, F- 65, Okhla Industrial Area, Phase-l, New Delhi-20",TVTD
27,AUDITOR,Price Waterhouse,TVTD
28,CHM, Aroon Purie (MD),TVTD
29,COMP SEC, Puneet Jain (GM-Legal),TVTD
30,YEAR OF INC, 1999,TVTD
31,BSE CODE, 532515,TVTD
32,FV (Rs), 5,TVTD
33,DIV YIELD (%), 1.0,TVTD
