,0,1,name
0,Price,124.0,UCLF
1,Mkt Cap,2742.0,UCLF
2,Vol,0.2,UCLF
3,P/E,8.8,UCLF
4,P/CF,2.1,UCLF
5,EPS (TTM),14.1,UCLF
6,% ch,1.9,UCLF
7,No. of shares,22.11,UCLF
8,% ch week,10.6,UCLF
9,% ch 1-mth,2.6,UCLF
10,% ch 12-mth,-3.7,UCLF
11,52 week H/L,158.7/63.0,UCLF
12,52weekHigh,158.7,UCLF
13,52weekLow,63.0,UCLF
14,Indian Promoters,70.3%,UCLF
15,Foreign collaborators,0.0%,UCLF
16,Indian inst/Mut Fund,0.4%,UCLF
17,FIIs,0.0%,UCLF
18,ADR/GDR,0.0%,UCLF
19,Free float,29.4%,UCLF
20,Shareholders,17047,UCLF
21,Pledged promoter(s) holding,2.1%,UCLF
22,REGD OFF,"Raheja Towers, Delta Wing - Unit 705, 177 Anna Salai, Chennai-600 002",UCLF
23,E-MAIL,investor@ucalfuel.co.in,UCLF
24,TELEPHONE,(044) 4220 8111,UCLF
25,SECTOR,"AUTO ANCILLARIES,FORGINGS",UCLF
26,TR AGENT,"Integrated Enterprises, Kences Towers, 1, Ramakrishna St., Chennai-17",UCLF
27,AUDITOR,G. Balu Assoc.,UCLF
28,CHM, Jayakar Krishnamurthy (MD),UCLF
29,COMP SEC, Rekha Raghunathan,UCLF
30,YEAR OF INC, 1985,UCLF
31,BSE CODE, 500464,UCLF
32,FV (Rs), 10,UCLF
33,DIV YIELD (%), 8.1,UCLF
