,0,1,name
0,Price,254.9,UNCHM
1,Mkt Cap,23115.0,UNCHM
2,Vol,13.1,UNCHM
3,P/E,-35.9,UNCHM
4,P/CF,55.4,UNCHM
5,EPS (TTM),-7.1,UNCHM
6,% ch,3.9,UNCHM
7,No. of shares,90.70,UNCHM
8,% ch week,1.8,UNCHM
9,% ch 1-mth,21.6,UNCHM
10,% ch 12-mth,49.2,UNCHM
11,52 week H/L,304.2/75.1,UNCHM
12,52weekHigh,304.2,UNCHM
13,52weekLow,75.1,UNCHM
14,Indian Promoters,50.1%,UNCHM
15,Foreign collaborators,0.0%,UNCHM
16,Indian inst/Mut Fund,15.1%,UNCHM
17,FIIs,3.0%,UNCHM
18,ADR/GDR,0.0%,UNCHM
19,Free float,31.7%,UNCHM
20,Shareholders,20176,UNCHM
21,Pledged promoter(s) holding,0.0%,UNCHM
22,REGD OFF,"Unichem Bhavan, Prabhat Estate, Off. S. V. Road, Jogeshwari (W), Mumbai-02",UNCHM
23,E-MAIL,subharamank@unichemlabs.com,UNCHM
24,TELEPHONE,(022) 6688 8333,UNCHM
25,SECTOR,PHARMACEUTICALS,UNCHM
26,TR AGENT,"Link Intime India, C-13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai-78",UNCHM
27,AUDITOR,B. D. Jokhakar & Co.,UNCHM
28,CHM, P. A. Mody (MD),UNCHM
29,COMP SEC, K. Subharaman,UNCHM
30,YEAR OF INC, 1944,UNCHM
31,BSE CODE, 506690,UNCHM
32,FV (Rs), 2,UNCHM
33,DIV YIELD (%), 1.2,UNCHM
