,0,1,name
0,Price,1.8,UNTE
1,Mkt Cap,4631.0,UNTE
2,Vol,4027.5,UNTE
3,P/E,-0.7,UNTE
4,P/CF,-0.5,UNTE
5,EPS (TTM),-2.6,UNTE
6,% ch,-4.3,UNTE
7,No. of shares,2616.30,UNTE
8,% ch week,-6.3,UNTE
9,% ch 1-mth,-10.6,UNTE
10,% ch 12-mth,118.5,UNTE
11,52 week H/L,3.8/0.4,UNTE
12,52weekHigh,3.8,UNTE
13,52weekLow,0.4,UNTE
14,Indian Promoters,47.5%,UNTE
15,Foreign collaborators,0.2%,UNTE
16,Indian inst/Mut Fund,2.1%,UNTE
17,FIIs,26.2%,UNTE
18,ADR/GDR,0.0%,UNTE
19,Free float,24.1%,UNTE
20,Shareholders,615694,UNTE
21,Pledged promoter(s) holding,90.4%,UNTE
22,REGD OFF,"Basement, 6, Community Centre, Saket, New Delhi - 110 017",UNTE
23,E-MAIL,share.dept@unitechgroup.com,UNTE
24,TELEPHONE,(011) 2685 7331,UNTE
25,SECTOR,CONSTRUCTION,UNTE
26,TR AGENT,"Alankit Assignments, Alankit House, 2E/21, Jhandewalan Ext, Delhi-55",UNTE
27,AUDITOR,Goel Garg & Co.,UNTE
28,CHM, Ramesh Chandra,UNTE
29,COMP SEC, Deepak Jain,UNTE
30,YEAR OF INC, 1971,UNTE
31,BSE CODE, 507878,UNTE
32,FV (Rs), 2,UNTE
33,DIV YIELD (%), -,UNTE
