,0,1,name
0,Price,452.3,UTIB
1,Mkt Cap,1080888.0,UTIB
2,Vol,52.7,UTIB
3,P/E,78.9,UTIB
4,P/CF,5.0,UTIB
5,EPS (TTM),5.7,UTIB
6,% ch,1.5,UTIB
7,No. of shares,2389.76,UTIB
8,% ch week,3.3,UTIB
9,% ch 1-mth,1.5,UTIB
10,% ch 12-mth,-33.8,UTIB
11,52 week H/L,765.9/285.0,UTIB
12,52weekHigh,765.9,UTIB
13,52weekLow,285.0,UTIB
14,Indian Promoters,29.5%,UTIB
15,Foreign collaborators,0.0%,UTIB
16,Indian inst/Mut Fund,10.0%,UTIB
17,FIIs,48.8%,UTIB
18,ADR/GDR,3.3%,UTIB
19,Free float,8.4%,UTIB
20,Shareholders,148435,UTIB
21,Pledged promoter(s) holding,0.0%,UTIB
22,REGD OFF,"Trishul, 3rd Flr, Opp. Samartheshwar Temple, Law Garden, Ellisbridge, Ahmedabad-06",UTIB
23,E-MAIL,p.oza@axisbank.com,UTIB
24,TELEPHONE,(079) 2640 9322,UTIB
25,SECTOR,BANKING,UTIB
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",UTIB
27,AUDITOR,Deloitte Haskins & Sells,UTIB
28,CHM, Sanjiv Misra,UTIB
29,COMP SEC, Sanjeev Kapoor,UTIB
30,YEAR OF INC, 1994,UTIB
31,BSE CODE, 532215,UTIB
32,FV (Rs), 2,UTIB
33,DIV YIELD (%), 0.2,UTIB
