,0,1,name
0,Price,29.7,VAKRA
1,Mkt Cap,31446.0,VAKRA
2,Vol,0.3,VAKRA
3,P/E,67.5,VAKRA
4,P/CF,4.6,VAKRA
5,EPS (TTM),0.4,VAKRA
6,% ch,0.7,VAKRA
7,No. of shares,1058.80,VAKRA
8,% ch week,-1.2,VAKRA
9,% ch 1-mth,-2.6,VAKRA
10,% ch 12-mth,2.6,VAKRA
11,52 week H/L,55.5/17.1,VAKRA
12,52weekHigh,55.5,VAKRA
13,52weekLow,17.1,VAKRA
14,Indian Promoters,38.8%,VAKRA
15,Foreign collaborators,0.0%,VAKRA
16,Indian inst/Mut Fund,6.5%,VAKRA
17,FIIs,3.0%,VAKRA
18,ADR/GDR,0.0%,VAKRA
19,Free float,51.7%,VAKRA
20,Shareholders,11007,VAKRA
21,Pledged promoter(s) holding,0.0%,VAKRA
22,REGD OFF,"Plot No. 66, Marol Co.op. Industrial Estate, Marol, Andheri (E), Mumbai-400 059",VAKRA
23,E-MAIL,darshis@vakrangee.in,VAKRA
24,TELEPHONE,(022) 6776 5101,VAKRA
25,SECTOR,SOFTWARE,VAKRA
26,TR AGENT,"Bigshare Services, Ansa Indl. Estate, Saki - Vihar Rd., Sakinaka, Mumbai-72",VAKRA
27,AUDITOR,S. K. Patodia & Assoc.,VAKRA
28,CHM, Dinesh Nandwana (MD),VAKRA
29,COMP SEC, Darshi Shah,VAKRA
30,YEAR OF INC, 1990,VAKRA
31,BSE CODE, 511431,VAKRA
32,FV (Rs), 1,VAKRA
33,DIV YIELD (%), 0.8,VAKRA
