,0,1,name
0,Price,109.3,VSRM
1,Mkt Cap,1250.0,VSRM
2,Vol,2.0,VSRM
3,P/E,-5.2,VSRM
4,P/CF,39.8,VSRM
5,EPS (TTM),-21.1,VSRM
6,% ch,-5.0,VSRM
7,No. of shares,11.44,VSRM
8,% ch week,13.3,VSRM
9,% ch 1-mth,45.1,VSRM
10,% ch 12-mth,383.4,VSRM
11,52 week H/L,115.3/19.5,VSRM
12,52weekHigh,115.3,VSRM
13,52weekLow,19.5,VSRM
14,Indian Promoters,32.9%,VSRM
15,Foreign collaborators,0.0%,VSRM
16,Indian inst/Mut Fund,0.2%,VSRM
17,FIIs,0.6%,VSRM
18,ADR/GDR,0.0%,VSRM
19,Free float,66.4%,VSRM
20,Shareholders,20121,VSRM
21,Pledged promoter(s) holding,36.4%,VSRM
22,REGD OFF,"SCO 857, 2nd Floor, Cabin No. 10, NAC Manimajra, Chandigarh-160 101",VSRM
23,E-MAIL,investorgrievance@venusremedies.com,VSRM
24,TELEPHONE,(0172) 393 3094,VSRM
25,SECTOR,PHARMACEUTICALS,VSRM
26,TR AGENT,"Link Intime India, A-31, Naraina Indl. Area, Phase 1, New Delhi-28",VSRM
27,AUDITOR,J. K. Jain & Assoc.,VSRM
28,CHM, Pawan Chaudhary (MD),VSRM
29,COMP SEC, Neha Kodan,VSRM
30,YEAR OF INC, 1989,VSRM
31,BSE CODE, 526953,VSRM
32,FV (Rs), 10,VSRM
33,DIV YIELD (%), -,VSRM
