,0,1,name
0,Price,3463.2,VST
1,Mkt Cap,53471.0,VST
2,Vol,1.8,VST
3,P/E,17.6,VST
4,P/CF,19.9,VST
5,EPS (TTM),197.0,VST
6,% ch,0.1,VST
7,No. of shares,15.44,VST
8,% ch week,1.7,VST
9,% ch 1-mth,8.2,VST
10,% ch 12-mth,1.7,VST
11,52 week H/L,"4,856.5/2,550.0",VST
12,52weekHigh,"4,856.5",VST
13,52weekLow,"2,550.0",VST
14,Indian Promoters,0.0%,VST
15,Foreign collaborators,32.2%,VST
16,Indian inst/Mut Fund,14.3%,VST
17,FIIs,11.9%,VST
18,ADR/GDR,0.0%,VST
19,Free float,41.7%,VST
20,Shareholders,13157,VST
21,Pledged promoter(s) holding,0.0%,VST
22,REGD OFF,"1-7-1063/1065, Azamabad, Hyderabad - 500 020",VST
23,E-MAIL,investors@vstind.com,VST
24,TELEPHONE,(040) 2761 0460,VST
25,SECTOR,"BEVERAGES, FOOD & TOBACCO",VST
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",VST
27,AUDITOR,Lovelock & Lewes,VST
28,CHM, Raymond S. Noronha,VST
29,COMP SEC, Nitesh Bakshi,VST
30,YEAR OF INC, 1930,VST
31,BSE CODE, 509966,VST
32,FV (Rs), 10,VST
33,DIV YIELD (%), 2.2,VST
