,0,1,name
0,Price,406.0,WMPL
1,Mkt Cap,4873.0,WMPL
2,Vol,0.0,WMPL
3,P/E,10.8,WMPL
4,P/CF,8.2,WMPL
5,EPS (TTM),37.7,WMPL
6,% ch,-5.9,WMPL
7,No. of shares,12.00,WMPL
8,% ch week,17.0,WMPL
9,% ch 1-mth,29.4,WMPL
10,% ch 12-mth,-0.8,WMPL
11,52 week H/L,459.0/211.0,WMPL
12,52weekHigh,459.0,WMPL
13,52weekLow,211.0,WMPL
14,Indian Promoters,75.0%,WMPL
15,Foreign collaborators,0.0%,WMPL
16,Indian inst/Mut Fund,1.7%,WMPL
17,FIIs,0.1%,WMPL
18,ADR/GDR,0.0%,WMPL
19,Free float,23.2%,WMPL
20,Shareholders,5076,WMPL
21,Pledged promoter(s) holding,0.0%,WMPL
22,REGD OFF,"Corporate Avenue, Cello House, Goregoan, Mumbai-400063",WMPL
23,E-MAIL,,WMPL
24,TELEPHONE,022-25963838,WMPL
25,SECTOR,PLASTICS,WMPL
26,TR AGENT,,WMPL
27,CHM, Ghisulal D. Rathod,WMPL
28,COMP SEC, Kapil D. Joshi,WMPL
29,YEAR OF INC, 1988,WMPL
30,BSE CODE, 526586,WMPL
31,FV (Rs), 10,WMPL
32,DIV YIELD (%), 1.7,WMPL
