,0,1,name
0,Price,331.5,WOCK
1,Mkt Cap,36478.0,WOCK
2,Vol,1.5,WOCK
3,P/E,-57.7,WOCK
4,P/CF,-7.1,WOCK
5,EPS (TTM),-5.7,WOCK
6,% ch,1.3,WOCK
7,No. of shares,110.04,WOCK
8,% ch week,3.5,WOCK
9,% ch 1-mth,24.5,WOCK
10,% ch 12-mth,30.6,WOCK
11,52 week H/L,411.6/147.2,WOCK
12,52weekHigh,411.6,WOCK
13,52weekLow,147.2,WOCK
14,Indian Promoters,74.5%,WOCK
15,Foreign collaborators,0.0%,WOCK
16,Indian inst/Mut Fund,2.3%,WOCK
17,FIIs,7.7%,WOCK
18,ADR/GDR,0.1%,WOCK
19,Free float,15.4%,WOCK
20,Shareholders,67757,WOCK
21,Pledged promoter(s) holding,0.0%,WOCK
22,REGD OFF,"Wockhardt Towers, C/2-G Block, BKC, Bandra (E), Mumbai-400 051",WOCK
23,E-MAIL,investorrelations@wockhardt.com,WOCK
24,TELEPHONE,(022) 2653 4444,WOCK
25,SECTOR,PHARMACEUTICALS,WOCK
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Cmpd., LBS Marg, Mumbai-78",WOCK
27,AUDITOR,Haribhakti & Co.,WOCK
28,CHM, Habil Khorakiwala,WOCK
29,COMP SEC, V. R. Khetan,WOCK
30,YEAR OF INC, 1973,WOCK
31,BSE CODE, 532300,WOCK
32,FV (Rs), 5,WOCK
33,DIV YIELD (%), 0.0,WOCK
