,0,1,name
0,Price,273.5,WPRO
1,Mkt Cap,1237594.0,WPRO
2,Vol,2.6,WPRO
3,P/E,12.7,WPRO
4,P/CF,11.3,WPRO
5,EPS (TTM),21.6,WPRO
6,% ch,0.3,WPRO
7,No. of shares,4525.02,WPRO
8,% ch week,-3.1,WPRO
9,% ch 1-mth,1.1,WPRO
10,% ch 12-mth,9.8,WPRO
11,52 week H/L,290.7/159.6,WPRO
12,52weekHigh,290.7,WPRO
13,52weekLow,159.6,WPRO
14,Indian Promoters,73.5%,WPRO
15,Foreign collaborators,0.0%,WPRO
16,Indian inst/Mut Fund,3.5%,WPRO
17,FIIs,10.1%,WPRO
18,ADR/GDR,1.9%,WPRO
19,Free float,11.0%,WPRO
20,Shareholders,210471,WPRO
21,Pledged promoter(s) holding,0.0%,WPRO
22,REGD OFF,"Doddakannelli, Sarjapur Road, Bangalore - 560 035",WPRO
23,E-MAIL,ramachandran.venkatesan@wipro.com,WPRO
24,TELEPHONE,(080) 2844 0011,WPRO
25,SECTOR,SOFTWARE,WPRO
26,TR AGENT,"Karvy Computershare, 17-24, Vittal Rao Nagar, Madhapur, Hyderabad-81",WPRO
27,AUDITOR,BSR & Co.,WPRO
28,CHM, Azim Hasham Premji,WPRO
29,COMP SEC, V. Ramachandran,WPRO
30,YEAR OF INC, 1945,WPRO
31,BSE CODE, 507685,WPRO
32,FV (Rs), 2,WPRO
33,DIV YIELD (%), 0.5,WPRO
