,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,37553.0,ABHI
1,Other income,12  Mar-15*,345.0,ABHI
2,Total revenues,12  Mar-15*,37898.0,ABHI
3,Gross profit,12  Mar-15*,6608.0,ABHI
4,Depreciation,12  Mar-15*,3213.0,ABHI
5,Interest,12  Mar-15*,2060.0,ABHI
6,Profit before tax,12  Mar-15*,1680.0,ABHI
7,Minority Interest,12  Mar-15*,0.0,ABHI
8,Prior Period Items,12  Mar-15*,0.0,ABHI
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,ABHI
10,Tax,12  Mar-15*,501.0,ABHI
11,Profit after tax,12  Mar-15*,1179.0,ABHI
12,Gross profit margin,12  Mar-15*,17.6,ABHI
13,Effective tax rate,12  Mar-15*,29.8,ABHI
14,Net profit margin,12  Mar-15*,3.1,ABHI
15,Current assets,12  Mar-15*,12940.0,ABHI
16,Current liabilities,12  Mar-15*,15606.0,ABHI
17,Net working cap to sales,12  Mar-15*,-7.1,ABHI
18,Current ratio,12  Mar-15*,0.8,ABHI
19,Inventory Days,12  Mar-15*,73.0,ABHI
20,Debtors Days,12  Mar-15*,27.0,ABHI
21,Net fixed assets,12  Mar-15*,39027.0,ABHI
22,Share capital,12  Mar-15*,5086.0,ABHI
23,"""Free"" reserves",12  Mar-15*,16935.0,ABHI
24,Net worth,12  Mar-15*,22022.0,ABHI
25,Long term debt,12  Mar-15*,13961.0,ABHI
26,Total assets,12  Mar-15*,53858.0,ABHI
27,Interest coverage,12  Mar-15*,1.8,ABHI
28,Debt to equity ratio,12  Mar-15*,0.6,ABHI
29,Sales to assets ratio,12  Mar-15*,0.7,ABHI
30,Return on assets,12  Mar-15*,6.0,ABHI
31,Return on equity,12  Mar-15*,5.4,ABHI
32,Return on capital,12  Mar-15*,10.4,ABHI
33,Exports to sales,12  Mar-15*,49.7,ABHI
34,Imports to sales,12  Mar-15*,2.6,ABHI
35,Exports (fob),12  Mar-15*,18669.0,ABHI
36,Imports (cif),12  Mar-15*,990.0,ABHI
37,Fx inflow,12  Mar-15*,18669.0,ABHI
38,Fx outflow,12  Mar-15*,1305.0,ABHI
39,Net fx,12  Mar-15*,17364.0,ABHI
40,From Operations,12  Mar-15*,5441.0,ABHI
41,From Investments,12  Mar-15*,-1429.0,ABHI
42,From Financial Activity,12  Mar-15*,-4321.0,ABHI
43,Net Cashflow,12  Mar-15*,-20.0,ABHI
44,Net Sales,12  Mar-16*,36657.0,ABHI
45,Other income,12  Mar-16*,334.0,ABHI
46,Total revenues,12  Mar-16*,36991.0,ABHI
47,Gross profit,12  Mar-16*,7297.0,ABHI
48,Depreciation,12  Mar-16*,3366.0,ABHI
49,Interest,12  Mar-16*,1452.0,ABHI
50,Profit before tax,12  Mar-16*,2812.0,ABHI
51,Minority Interest,12  Mar-16*,0.0,ABHI
52,Prior Period Items,12  Mar-16*,0.0,ABHI
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,ABHI
54,Tax,12  Mar-16*,392.0,ABHI
55,Profit after tax,12  Mar-16*,2421.0,ABHI
56,Gross profit margin,12  Mar-16*,19.9,ABHI
57,Effective tax rate,12  Mar-16*,13.9,ABHI
58,Net profit margin,12  Mar-16*,6.6,ABHI
59,Current assets,12  Mar-16*,15734.0,ABHI
60,Current liabilities,12  Mar-16*,16338.0,ABHI
61,Net working cap to sales,12  Mar-16*,-1.6,ABHI
62,Current ratio,12  Mar-16*,1.0,ABHI
63,Inventory Days,12  Mar-16*,90.0,ABHI
64,Debtors Days,12  Mar-16*,25.0,ABHI
65,Net fixed assets,12  Mar-16*,47546.0,ABHI
66,Share capital,12  Mar-16*,5094.0,ABHI
67,"""Free"" reserves",12  Mar-16*,19267.0,ABHI
68,Net worth,12  Mar-16*,24361.0,ABHI
69,Long term debt,12  Mar-16*,21365.0,ABHI
70,Total assets,12  Mar-16*,65293.0,ABHI
71,Interest coverage,12  Mar-16*,2.9,ABHI
72,Debt to equity ratio,12  Mar-16*,0.9,ABHI
73,Sales to assets ratio,12  Mar-16*,0.6,ABHI
74,Return on assets,12  Mar-16*,5.9,ABHI
