,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Dec-14*,117388.0,ACC
1,Other income,12  Dec-14*,2566.0,ACC
2,Total revenues,12  Dec-14*,119954.0,ACC
3,Gross profit,12  Dec-14*,15133.0,ACC
4,Depreciation,12  Dec-14*,5676.0,ACC
5,Interest,12  Dec-14*,828.0,ACC
6,Profit before tax,12  Dec-14*,11195.0,ACC
7,Minority Interest,12  Dec-14*,-2.0,ACC
8,Prior Period Items,12  Dec-14*,114.0,ACC
9,Extraordinary Inc (Exp),12  Dec-14*,0.0,ACC
10,Tax,12  Dec-14*,-311.0,ACC
11,Profit after tax,12  Dec-14*,11618.0,ACC
12,Gross profit margin,12  Dec-14*,12.9,ACC
13,Effective tax rate,12  Dec-14*,-2.8,ACC
14,Net profit margin,12  Dec-14*,9.9,ACC
15,Current assets,12  Dec-14*,36782.0,ACC
16,Current liabilities,12  Dec-14*,38041.0,ACC
17,Net working cap to sales,12  Dec-14*,-1.1,ACC
18,Current ratio,12  Dec-14*,1.0,ACC
19,Inventory Days,12  Dec-14*,39.0,ACC
20,Debtors Days,12  Dec-14*,13.0,ACC
21,Net fixed assets,12  Dec-14*,76219.0,ACC
22,Share capital,12  Dec-14*,1880.0,ACC
23,"""Free"" reserves",12  Dec-14*,80147.0,ACC
24,Net worth,12  Dec-14*,82177.0,ACC
25,Long term debt,12  Dec-14*,0.0,ACC
26,Total assets,12  Dec-14*,126816.0,ACC
27,Interest coverage,12  Dec-14*,14.5,ACC
28,Debt to equity ratio,12  Dec-14*,0.0,ACC
29,Sales to assets ratio,12  Dec-14*,0.9,ACC
30,Return on assets,12  Dec-14*,9.8,ACC
31,Return on equity,12  Dec-14*,14.1,ACC
32,Return on capital,12  Dec-14*,14.8,ACC
33,Exports to sales,12  Dec-14*,0.0,ACC
34,Imports to sales,12  Dec-14*,7.4,ACC
35,Exports (fob),12  Dec-14*,0.0,ACC
36,Imports (cif),12  Dec-14*,8675.0,ACC
37,Fx inflow,12  Dec-14*,19.0,ACC
38,Fx outflow,12  Dec-14*,10047.0,ACC
39,Net fx,12  Dec-14*,-10029.0,ACC
40,From Operations,12  Dec-14*,13522.0,ACC
41,From Investments,12  Dec-14*,-14567.0,ACC
42,From Financial Activity,12  Dec-14*,-8371.0,ACC
43,Net Cashflow,12  Dec-14*,-9416.0,ACC
