,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,2593.0,ADPE
1,Other income,12  Mar-14,51.0,ADPE
2,Total revenues,12  Mar-14,2644.0,ADPE
3,Gross profit,12  Mar-14,-155.0,ADPE
4,Depreciation,12  Mar-14,134.0,ADPE
5,Interest,12  Mar-14,65.0,ADPE
6,Profit before tax,12  Mar-14,-302.0,ADPE
7,Minority Interest,12  Mar-14,0.0,ADPE
8,Prior Period Items,12  Mar-14,0.0,ADPE
9,Extraordinary Inc (Exp),12  Mar-14,0.0,ADPE
10,Tax,12  Mar-14,-46.0,ADPE
11,Profit after tax,12  Mar-14,-257.0,ADPE
12,Gross profit margin,12  Mar-14,-6.0,ADPE
13,Effective tax rate,12  Mar-14,15.1,ADPE
14,Net profit margin,12  Mar-14,-9.9,ADPE
15,Current assets,12  Mar-14,573.0,ADPE
16,Current liabilities,12  Mar-14,549.0,ADPE
17,Net working cap to sales,12  Mar-14,0.9,ADPE
18,Current ratio,12  Mar-14,1.0,ADPE
19,Inventory Days,12  Mar-14,56.0,ADPE
20,Debtors Days,12  Mar-14,2.0,ADPE
21,Net fixed assets,12  Mar-14,2123.0,ADPE
22,Share capital,12  Mar-14,850.0,ADPE
23,"""Free"" reserves",12  Mar-14,1050.0,ADPE
24,Net worth,12  Mar-14,1902.0,ADPE
25,Long term debt,12  Mar-14,188.0,ADPE
26,Total assets,12  Mar-14,2923.0,ADPE
27,Interest coverage,12  Mar-14,-3.7,ADPE
28,Debt to equity ratio,12  Mar-14,0.1,ADPE
29,Sales to assets ratio,12  Mar-14,0.9,ADPE
30,Return on assets,12  Mar-14,-6.6,ADPE
31,Return on equity,12  Mar-14,-13.5,ADPE
32,Return on capital,12  Mar-14,-11.4,ADPE
33,Exports to sales,12  Mar-14,0.0,ADPE
34,Imports to sales,12  Mar-14,1.9,ADPE
35,Exports (fob),12  Mar-14,0.0,ADPE
36,Imports (cif),12  Mar-14,50.0,ADPE
37,Fx inflow,12  Mar-14,0.0,ADPE
38,Fx outflow,12  Mar-14,50.0,ADPE
39,Net fx,12  Mar-14,-50.0,ADPE
40,From Operations,12  Mar-14,129.0,ADPE
41,From Investments,12  Mar-14,-101.0,ADPE
42,From Financial Activity,12  Mar-14,-149.0,ADPE
43,Net Cashflow,12  Mar-14,-121.0,ADPE
44,Net Sales,12  Mar-16,3341.0,ADPE
45,Other income,12  Mar-16,13.0,ADPE
46,Total revenues,12  Mar-16,3354.0,ADPE
47,Gross profit,12  Mar-16,-116.0,ADPE
48,Depreciation,12  Mar-16,98.0,ADPE
49,Interest,12  Mar-16,134.0,ADPE
50,Profit before tax,12  Mar-16,-335.0,ADPE
51,Minority Interest,12  Mar-16,0.0,ADPE
52,Prior Period Items,12  Mar-16,0.0,ADPE
53,Extraordinary Inc (Exp),12  Mar-16,70.0,ADPE
