,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,10599.0,AHLU
1,Other income,12  Mar-15*,117.0,AHLU
2,Total revenues,12  Mar-15*,10716.0,AHLU
3,Gross profit,12  Mar-15*,1147.0,AHLU
4,Depreciation,12  Mar-15*,212.0,AHLU
5,Interest,12  Mar-15*,386.0,AHLU
6,Profit before tax,12  Mar-15*,667.0,AHLU
7,Minority Interest,12  Mar-15*,0.0,AHLU
8,Prior Period Items,12  Mar-15*,0.0,AHLU
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,AHLU
10,Tax,12  Mar-15*,26.0,AHLU
11,Profit after tax,12  Mar-15*,640.0,AHLU
12,Gross profit margin,12  Mar-15*,10.8,AHLU
13,Effective tax rate,12  Mar-15*,3.9,AHLU
14,Net profit margin,12  Mar-15*,6.0,AHLU
15,Current assets,12  Mar-15*,6847.0,AHLU
16,Current liabilities,12  Mar-15*,6477.0,AHLU
17,Net working cap to sales,12  Mar-15*,3.5,AHLU
18,Current ratio,12  Mar-15*,1.1,AHLU
19,Inventory Days,12  Mar-15*,57.0,AHLU
20,Debtors Days,12  Mar-15*,144.0,AHLU
21,Net fixed assets,12  Mar-15*,1995.0,AHLU
22,Share capital,12  Mar-15*,134.0,AHLU
23,"""Free"" reserves",12  Mar-15*,3234.0,AHLU
24,Net worth,12  Mar-15*,3375.0,AHLU
25,Long term debt,12  Mar-15*,90.0,AHLU
26,Total assets,12  Mar-15*,10423.0,AHLU
27,Interest coverage,12  Mar-15*,2.7,AHLU
28,Debt to equity ratio,12  Mar-15*,0.0,AHLU
29,Sales to assets ratio,12  Mar-15*,1.0,AHLU
30,Return on assets,12  Mar-15*,9.8,AHLU
31,Return on equity,12  Mar-15*,19.0,AHLU
32,Return on capital,12  Mar-15*,30.4,AHLU
33,Exports to sales,12  Mar-15*,0.0,AHLU
34,Imports to sales,12  Mar-15*,0.0,AHLU
35,Exports (fob),12  Mar-15*,0.0,AHLU
36,Imports (cif),12  Mar-15*,0.0,AHLU
37,Fx inflow,12  Mar-15*,0.0,AHLU
38,Fx outflow,12  Mar-15*,11.0,AHLU
