,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,14736.0,AJPH
1,Other income,12  Mar-15*,168.0,AJPH
2,Total revenues,12  Mar-15*,14904.0,AJPH
3,Gross profit,12  Mar-15*,5052.0,AJPH
4,Depreciation,12  Mar-15*,516.0,AJPH
5,Interest,12  Mar-15*,59.0,AJPH
6,Profit before tax,12  Mar-15*,4645.0,AJPH
7,Minority Interest,12  Mar-15*,0.0,AJPH
8,Prior Period Items,12  Mar-15*,0.0,AJPH
9,Extraordinary Inc (Exp),12  Mar-15*,-85.0,AJPH
10,Tax,12  Mar-15*,1462.0,AJPH
11,Profit after tax,12  Mar-15*,3099.0,AJPH
12,Gross profit margin,12  Mar-15*,34.3,AJPH
13,Effective tax rate,12  Mar-15*,31.5,AJPH
14,Net profit margin,12  Mar-15*,21.0,AJPH
15,Current assets,12  Mar-15*,6334.0,AJPH
16,Current liabilities,12  Mar-15*,2496.0,AJPH
17,Net working cap to sales,12  Mar-15*,26.0,AJPH
18,Current ratio,12  Mar-15*,2.5,AJPH
19,Inventory Days,12  Mar-15*,39.0,AJPH
20,Debtors Days,12  Mar-15*,64.0,AJPH
21,Net fixed assets,12  Mar-15*,4583.0,AJPH
22,Share capital,12  Mar-15*,177.0,AJPH
23,"""Free"" reserves",12  Mar-15*,8186.0,AJPH
24,Net worth,12  Mar-15*,8411.0,AJPH
25,Long term debt,12  Mar-15*,333.0,AJPH
26,Total assets,12  Mar-15*,11434.0,AJPH
27,Interest coverage,12  Mar-15*,79.5,AJPH
28,Debt to equity ratio,12  Mar-15*,0.0,AJPH
29,Sales to assets ratio,12  Mar-15*,1.3,AJPH
30,Return on assets,12  Mar-15*,27.6,AJPH
31,Return on equity,12  Mar-15*,36.8,AJPH
32,Return on capital,12  Mar-15*,52.8,AJPH
33,Exports to sales,12  Mar-15*,54.7,AJPH
34,Imports to sales,12  Mar-15*,4.4,AJPH
35,Exports (fob),12  Mar-15*,8062.0,AJPH
