,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,51219.0,APAR
1,Other income,12  Mar-15*,18.0,APAR
2,Total revenues,12  Mar-15*,51236.0,APAR
3,Gross profit,12  Mar-15*,2518.0,APAR
4,Depreciation,12  Mar-15*,312.0,APAR
5,Interest,12  Mar-15*,1499.0,APAR
6,Profit before tax,12  Mar-15*,725.0,APAR
7,Minority Interest,12  Mar-15*,1.0,APAR
8,Prior Period Items,12  Mar-15*,0.0,APAR
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,APAR
10,Tax,12  Mar-15*,231.0,APAR
11,Profit after tax,12  Mar-15*,495.0,APAR
12,Gross profit margin,12  Mar-15*,4.9,APAR
13,Effective tax rate,12  Mar-15*,31.8,APAR
14,Net profit margin,12  Mar-15*,1.0,APAR
15,Current assets,12  Mar-15*,25063.0,APAR
16,Current liabilities,12  Mar-15*,20965.0,APAR
17,Net working cap to sales,12  Mar-15*,8.0,APAR
18,Current ratio,12  Mar-15*,1.2,APAR
19,Inventory Days,12  Mar-15*,67.0,APAR
20,Debtors Days,12  Mar-15*,90.0,APAR
21,Net fixed assets,12  Mar-15*,3831.0,APAR
22,Share capital,12  Mar-15*,385.0,APAR
23,"""Free"" reserves",12  Mar-15*,6671.0,APAR
24,Net worth,12  Mar-15*,7298.0,APAR
25,Long term debt,12  Mar-15*,948.0,APAR
26,Total assets,12  Mar-15*,29559.0,APAR
27,Interest coverage,12  Mar-15*,1.5,APAR
28,Debt to equity ratio,12  Mar-15*,0.1,APAR
29,Sales to assets ratio,12  Mar-15*,1.7,APAR
30,Return on assets,12  Mar-15*,6.7,APAR
31,Return on equity,12  Mar-15*,6.8,APAR
32,Return on capital,12  Mar-15*,27.0,APAR
33,Exports to sales,12  Mar-15*,29.5,APAR
34,Imports to sales,12  Mar-15*,59.4,APAR
35,Exports (fob),12  Mar-15*,15122.0,APAR
36,Imports (cif),12  Mar-15*,30432.0,APAR
37,Fx inflow,12  Mar-15*,17348.0,APAR
38,Fx outflow,12  Mar-15*,31122.0,APAR
39,Net fx,12  Mar-15*,-13774.0,APAR
40,From Operations,12  Mar-15*,2984.0,APAR
41,From Investments,12  Mar-15*,-593.0,APAR
42,From Financial Activity,12  Mar-15*,-3693.0,APAR
43,Net Cashflow,12  Mar-15*,-1301.0,APAR
44,Net Sales,12  Mar-16*,50800.0,APAR
45,Other income,12  Mar-16*,34.0,APAR
46,Total revenues,12  Mar-16*,50834.0,APAR
47,Gross profit,12  Mar-16*,4064.0,APAR
48,Depreciation,12  Mar-16*,378.0,APAR
