,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,20561.0,APLL
1,Other income,12  Mar-15*,23.0,APLL
2,Total revenues,12  Mar-15*,20584.0,APLL
3,Gross profit,12  Mar-15*,4030.0,APLL
4,Depreciation,12  Mar-15*,444.0,APLL
5,Interest,12  Mar-15*,18.0,APLL
6,Profit before tax,12  Mar-15*,3591.0,APLL
7,Minority Interest,12  Mar-15*,0.0,APLL
8,Prior Period Items,12  Mar-15*,2.0,APLL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,APLL
10,Tax,12  Mar-15*,764.0,APLL
11,Profit after tax,12  Mar-15*,2829.0,APLL
12,Gross profit margin,12  Mar-15*,19.6,APLL
13,Effective tax rate,12  Mar-15*,21.3,APLL
14,Net profit margin,12  Mar-15*,13.8,APLL
15,Current assets,12  Mar-15*,8907.0,APLL
16,Current liabilities,12  Mar-15*,6841.0,APLL
17,Net working cap to sales,12  Mar-15*,10.1,APLL
18,Current ratio,12  Mar-15*,1.3,APLL
19,Inventory Days,12  Mar-15*,68.0,APLL
20,Debtors Days,12  Mar-15*,64.0,APLL
21,Net fixed assets,12  Mar-15*,5947.0,APLL
22,Share capital,12  Mar-15*,377.0,APLL
23,"""Free"" reserves",12  Mar-15*,8374.0,APLL
24,Net worth,12  Mar-15*,8846.0,APLL
25,Long term debt,12  Mar-15*,188.0,APLL
26,Total assets,12  Mar-15*,16412.0,APLL
27,Interest coverage,12  Mar-15*,202.7,APLL
28,Debt to equity ratio,12  Mar-15*,0.0,APLL
29,Sales to assets ratio,12  Mar-15*,1.3,APLL
30,Return on assets,12  Mar-15*,17.3,APLL
31,Return on equity,12  Mar-15*,32.0,APLL
32,Return on capital,12  Mar-15*,40.0,APLL
33,Exports to sales,12  Mar-15*,39.3,APLL
34,Imports to sales,12  Mar-15*,10.0,APLL
35,Exports (fob),12  Mar-15*,8085.0,APLL
36,Imports (cif),12  Mar-15*,2050.0,APLL
37,Fx inflow,12  Mar-15*,8284.0,APLL
38,Fx outflow,12  Mar-15*,3147.0,APLL
39,Net fx,12  Mar-15*,5137.0,APLL
40,From Operations,12  Mar-15*,1718.0,APLL
41,From Investments,12  Mar-15*,-2556.0,APLL
42,From Financial Activity,12  Mar-15*,867.0,APLL
43,Net Cashflow,12  Mar-15*,29.0,APLL
44,Net Sales,12  Mar-16*,31487.0,APLL
45,Other income,12  Mar-16*,55.0,APLL
46,Total revenues,12  Mar-16*,31542.0,APLL
47,Gross profit,12  Mar-16*,10060.0,APLL
48,Depreciation,12  Mar-16*,722.0,APLL
49,Interest,12  Mar-16*,37.0,APLL
50,Profit before tax,12  Mar-16*,9356.0,APLL
51,Minority Interest,12  Mar-16*,0.0,APLL
52,Prior Period Items,12  Mar-16*,-2.0,APLL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,APLL
54,Tax,12  Mar-16*,2160.0,APLL
55,Profit after tax,12  Mar-16*,7194.0,APLL
56,Gross profit margin,12  Mar-16*,31.9,APLL
57,Effective tax rate,12  Mar-16*,23.1,APLL
58,Net profit margin,12  Mar-16*,22.8,APLL
59,Current assets,12  Mar-16*,15066.0,APLL
60,Current liabilities,12  Mar-16*,7674.0,APLL
61,Net working cap to sales,12  Mar-16*,23.5,APLL
62,Current ratio,12  Mar-16*,2.0,APLL
63,Inventory Days,12  Mar-16*,67.0,APLL
64,Debtors Days,12  Mar-16*,41.0,APLL
65,Net fixed assets,12  Mar-16*,8237.0,APLL
66,Share capital,12  Mar-16*,377.0,APLL
67,"""Free"" reserves",12  Mar-16*,15416.0,APLL
68,Net worth,12  Mar-16*,16005.0,APLL
69,Long term debt,12  Mar-16*,0.0,APLL
70,Total assets,12  Mar-16*,24594.0,APLL
71,Interest coverage,12  Mar-16*,255.2,APLL
72,Debt to equity ratio,12  Mar-16*,0.0,APLL
73,Sales to assets ratio,12  Mar-16*,1.3,APLL
74,Return on assets,12  Mar-16*,29.4,APLL
75,Return on equity,12  Mar-16*,44.9,APLL
76,Return on capital,12  Mar-16*,58.7,APLL
77,Exports to sales,12  Mar-16*,55.7,APLL
78,Imports to sales,12  Mar-16*,10.4,APLL
79,Exports (fob),12  Mar-16*,17551.0,APLL
80,Imports (cif),12  Mar-16*,3283.0,APLL
81,Fx inflow,12  Mar-16*,17811.0,APLL
82,Fx outflow,12  Mar-16*,5318.0,APLL
83,Net fx,12  Mar-16*,12493.0,APLL
84,From Operations,12  Mar-16*,9304.0,APLL
85,From Investments,12  Mar-16*,-3105.0,APLL
86,From Financial Activity,12  Mar-16*,-1959.0,APLL
87,Net Cashflow,12  Mar-16*,4240.0,APLL
88,Net Sales,12  Mar-17*,31346.0,APLL
89,Other income,12  Mar-17*,20.0,APLL
90,Total revenues,12  Mar-17*,31366.0,APLL
91,Gross profit,12  Mar-17*,6153.0,APLL
92,Depreciation,12  Mar-17*,830.0,APLL
93,Interest,12  Mar-17*,52.0,APLL
94,Profit before tax,12  Mar-17*,5291.0,APLL
95,Minority Interest,12  Mar-17*,0.0,APLL
96,Prior Period Items,12  Mar-17*,-38.0,APLL
97,Extraordinary Inc (Exp),12  Mar-17*,0.0,APLL
98,Tax,12  Mar-17*,1222.0,APLL
99,Profit after tax,12  Mar-17*,4031.0,APLL
100,Gross profit margin,12  Mar-17*,19.6,APLL
101,Effective tax rate,12  Mar-17*,23.1,APLL
102,Net profit margin,12  Mar-17*,12.9,APLL
103,Current assets,12  Mar-17*,13725.0,APLL
104,Current liabilities,12  Mar-17*,6927.0,APLL
105,Net working cap to sales,12  Mar-17*,21.7,APLL
106,Current ratio,12  Mar-17*,2.0,APLL
107,Inventory Days,12  Mar-17*,74.0,APLL
108,Debtors Days,12  Mar-17*,39.0,APLL
109,Net fixed assets,12  Mar-17*,11957.0,APLL
110,Share capital,12  Mar-17*,377.0,APLL
111,"""Free"" reserves",12  Mar-17*,18646.0,APLL
112,Net worth,12  Mar-17*,19023.0,APLL
113,Long term debt,12  Mar-17*,0.0,APLL
114,Total assets,12  Mar-17*,26893.0,APLL
115,Interest coverage,12  Mar-17*,102.2,APLL
116,Debt to equity ratio,12  Mar-17*,0.0,APLL
117,Sales to assets ratio,12  Mar-17*,1.2,APLL
118,Return on assets,12  Mar-17*,15.2,APLL
119,Return on equity,12  Mar-17*,21.2,APLL
120,Return on capital,12  Mar-17*,27.9,APLL
121,Exports to sales,12  Mar-17*,49.8,APLL
122,Imports to sales,12  Mar-17*,10.3,APLL
123,Exports (fob),12  Mar-17*,15626.0,APLL
124,Imports (cif),12  Mar-17*,3241.0,APLL
125,Fx inflow,12  Mar-17*,15806.0,APLL
126,Fx outflow,12  Mar-17*,5289.0,APLL
127,Net fx,12  Mar-17*,10517.0,APLL
128,From Operations,12  Mar-17*,3286.0,APLL
129,From Investments,12  Mar-17*,-4859.0,APLL
130,From Financial Activity,12  Mar-17*,-1289.0,APLL
131,Net Cashflow,12  Mar-17*,-2862.0,APLL
132,Net Sales,12  Mar-18*,31308.0,APLL
133,Other income,12  Mar-18*,70.0,APLL
134,Total revenues,12  Mar-18*,31378.0,APLL
135,Gross profit,12  Mar-18*,6431.0,APLL
136,Depreciation,12  Mar-18*,1055.0,APLL
137,Interest,12  Mar-18*,34.0,APLL
138,Profit before tax,12  Mar-18*,5413.0,APLL
139,Minority Interest,12  Mar-18*,0.0,APLL
140,Prior Period Items,12  Mar-18*,-81.0,APLL
141,Extraordinary Inc (Exp),12  Mar-18*,0.0,APLL
142,Tax,12  Mar-18*,1204.0,APLL
143,Profit after tax,12  Mar-18*,4128.0,APLL
144,Gross profit margin,12  Mar-18*,20.5,APLL
145,Effective tax rate,12  Mar-18*,22.2,APLL
146,Net profit margin,12  Mar-18*,13.2,APLL
147,Current assets,12  Mar-18*,18247.0,APLL
148,Current liabilities,12  Mar-18*,11235.0,APLL
149,Net working cap to sales,12  Mar-18*,22.4,APLL
150,Current ratio,12  Mar-18*,1.6,APLL
151,Inventory Days,12  Mar-18*,86.0,APLL
152,Debtors Days,12  Mar-18*,61.0,APLL
153,Net fixed assets,12  Mar-18*,20035.0,APLL
154,Share capital,12  Mar-18*,377.0,APLL
155,"""Free"" reserves",12  Mar-18*,21824.0,APLL
156,Net worth,12  Mar-18*,22201.0,APLL
157,Long term debt,12  Mar-18*,5000.0,APLL
158,Total assets,12  Mar-18*,39411.0,APLL
159,Interest coverage,12  Mar-18*,160.2,APLL
160,Debt to equity ratio,12  Mar-18*,0.2,APLL
161,Sales to assets ratio,12  Mar-18*,0.8,APLL
162,Return on assets,12  Mar-18*,10.6,APLL
163,Return on equity,12  Mar-18*,18.6,APLL
164,Return on capital,12  Mar-18*,19.7,APLL
165,Exports to sales,12  Mar-18*,46.4,APLL
166,Imports to sales,12  Mar-18*,10.5,APLL
167,Exports (fob),12  Mar-18*,14535.0,APLL
168,Imports (cif),12  Mar-18*,3288.0,APLL
169,Fx inflow,12  Mar-18*,14722.0,APLL
170,Fx outflow,12  Mar-18*,7026.0,APLL
171,Net fx,12  Mar-18*,7696.0,APLL
172,From Operations,12  Mar-18*,3124.0,APLL
173,From Investments,12  Mar-18*,-8844.0,APLL
174,From Financial Activity,12  Mar-18*,5026.0,APLL
175,Net Cashflow,12  Mar-18*,-693.0,APLL
176,Net Sales,12  Mar-19*,39347.0,APLL
177,Other income,12  Mar-19*,94.0,APLL
178,Total revenues,12  Mar-19*,39441.0,APLL
179,Gross profit,12  Mar-19*,8736.0,APLL
180,Depreciation,12  Mar-19*,1152.0,APLL
181,Interest,12  Mar-19*,184.0,APLL
182,Profit before tax,12  Mar-19*,7493.0,APLL
183,Minority Interest,12  Mar-19*,11.0,APLL
184,Prior Period Items,12  Mar-19*,-93.0,APLL
185,Extraordinary Inc (Exp),12  Mar-19*,0.0,APLL
186,Tax,12  Mar-19*,1568.0,APLL
187,Profit after tax,12  Mar-19*,5844.0,APLL
188,Gross profit margin,12  Mar-19*,22.2,APLL
189,Effective tax rate,12  Mar-19*,20.9,APLL
190,Net profit margin,12  Mar-19*,14.9,APLL
191,Current assets,12  Mar-19*,19577.0,APLL
192,Current liabilities,12  Mar-19*,14896.0,APLL
193,Net working cap to sales,12  Mar-19*,11.9,APLL
194,Current ratio,12  Mar-19*,1.3,APLL
195,Inventory Days,12  Mar-19*,90.0,APLL
196,Debtors Days,12  Mar-19*,45.0,APLL
197,Net fixed assets,12  Mar-19*,27097.0,APLL
198,Share capital,12  Mar-19*,377.0,APLL
199,"""Free"" reserves",12  Mar-19*,26811.0,APLL
200,Net worth,12  Mar-19*,27188.0,APLL
201,Long term debt,12  Mar-19*,4993.0,APLL
202,Total assets,12  Mar-19*,47778.0,APLL
203,Interest coverage,12  Mar-19*,41.7,APLL
204,Debt to equity ratio,12  Mar-19*,0.2,APLL
205,Sales to assets ratio,12  Mar-19*,0.8,APLL
206,Return on assets,12  Mar-19*,12.6,APLL
207,Return on equity,12  Mar-19*,21.5,APLL
208,Return on capital,12  Mar-19*,23.6,APLL
209,Exports to sales,12  Mar-19*,0.0,APLL
210,Imports to sales,12  Mar-19*,0.0,APLL
211,Exports (fob),12  Mar-19*,0.0,APLL
212,Imports (cif),12  Mar-19*,0.0,APLL
213,Fx inflow,12  Mar-19*,19453.0,APLL
214,Fx outflow,12  Mar-19*,6065.0,APLL
215,Net fx,12  Mar-19*,13388.0,APLL
216,From Operations,12  Mar-19*,8120.0,APLL
217,From Investments,12  Mar-19*,-7556.0,APLL
218,From Financial Activity,12  Mar-19*,590.0,APLL
219,Net Cashflow,12  Mar-19*,1153.0,APLL
