,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,10796.0,ASTRAL
1,Other income,12  Mar-14*,24.0,ASTRAL
2,Total revenues,12  Mar-14*,10821.0,ASTRAL
3,Gross profit,12  Mar-14*,1551.0,ASTRAL
4,Depreciation,12  Mar-14*,219.0,ASTRAL
5,Interest,12  Mar-14*,311.0,ASTRAL
6,Profit before tax,12  Mar-14*,1045.0,ASTRAL
7,Minority Interest,12  Mar-14*,-4.0,ASTRAL
8,Prior Period Items,12  Mar-14*,0.0,ASTRAL
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,ASTRAL
10,Tax,12  Mar-14*,252.0,ASTRAL
11,Profit after tax,12  Mar-14*,789.0,ASTRAL
12,Gross profit margin,12  Mar-14*,14.4,ASTRAL
13,Effective tax rate,12  Mar-14*,24.1,ASTRAL
14,Net profit margin,12  Mar-14*,7.3,ASTRAL
15,Current assets,12  Mar-14*,3866.0,ASTRAL
16,Current liabilities,12  Mar-14*,2858.0,ASTRAL
17,Net working cap to sales,12  Mar-14*,9.3,ASTRAL
18,Current ratio,12  Mar-14*,1.4,ASTRAL
19,Inventory Days,12  Mar-14*,66.0,ASTRAL
20,Debtors Days,12  Mar-14*,49.0,ASTRAL
21,Net fixed assets,12  Mar-14*,2970.0,ASTRAL
22,Share capital,12  Mar-14*,112.0,ASTRAL
23,"""Free"" reserves",12  Mar-14*,3025.0,ASTRAL
24,Net worth,12  Mar-14*,3153.0,ASTRAL
25,Long term debt,12  Mar-14*,806.0,ASTRAL
26,Total assets,12  Mar-14*,6944.0,ASTRAL
27,Interest coverage,12  Mar-14*,4.4,ASTRAL
28,Debt to equity ratio,12  Mar-14*,0.3,ASTRAL
29,Sales to assets ratio,12  Mar-14*,1.6,ASTRAL
30,Return on assets,12  Mar-14*,15.8,ASTRAL
31,Return on equity,12  Mar-14*,25.0,ASTRAL
32,Return on capital,12  Mar-14*,34.2,ASTRAL
33,Exports to sales,12  Mar-14*,0.0,ASTRAL
34,Imports to sales,12  Mar-14*,33.8,ASTRAL
35,Exports (fob),12  Mar-14*,0.0,ASTRAL
36,Imports (cif),12  Mar-14*,3644.0,ASTRAL
37,Fx inflow,12  Mar-14*,191.0,ASTRAL
38,Fx outflow,12  Mar-14*,3709.0,ASTRAL
39,Net fx,12  Mar-14*,-3518.0,ASTRAL
40,From Operations,12  Mar-14*,672.0,ASTRAL
41,From Investments,12  Mar-14*,-909.0,ASTRAL
42,From Financial Activity,12  Mar-14*,131.0,ASTRAL
43,Net Cashflow,12  Mar-14*,-106.0,ASTRAL
44,Net Sales,12  Mar-15*,14294.0,ASTRAL
45,Other income,12  Mar-15*,36.0,ASTRAL
46,Total revenues,12  Mar-15*,14330.0,ASTRAL
47,Gross profit,12  Mar-15*,1678.0,ASTRAL
48,Depreciation,12  Mar-15*,364.0,ASTRAL
49,Interest,12  Mar-15*,255.0,ASTRAL
50,Profit before tax,12  Mar-15*,1095.0,ASTRAL
51,Minority Interest,12  Mar-15*,-23.0,ASTRAL
52,Prior Period Items,12  Mar-15*,0.0,ASTRAL
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,ASTRAL
54,Tax,12  Mar-15*,313.0,ASTRAL
