,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,9299.0,BAAN
1,Other income,12  Mar-15,163.0,BAAN
2,Total revenues,12  Mar-15,9462.0,BAAN
3,Gross profit,12  Mar-15,1281.0,BAAN
4,Depreciation,12  Mar-15,513.0,BAAN
5,Interest,12  Mar-15,928.0,BAAN
6,Profit before tax,12  Mar-15,3.0,BAAN
7,Minority Interest,12  Mar-15,0.0,BAAN
8,Prior Period Items,12  Mar-15,0.0,BAAN
9,Extraordinary Inc (Exp),12  Mar-15,0.0,BAAN
10,Tax,12  Mar-15,-7.0,BAAN
11,Profit after tax,12  Mar-15,10.0,BAAN
12,Gross profit margin,12  Mar-15,13.8,BAAN
13,Effective tax rate,12  Mar-15,-202.9,BAAN
14,Net profit margin,12  Mar-15,0.1,BAAN
15,Current assets,12  Mar-15,13710.0,BAAN
16,Current liabilities,12  Mar-15,10832.0,BAAN
17,Net working cap to sales,12  Mar-15,31.0,BAAN
18,Current ratio,12  Mar-15,1.3,BAAN
19,Inventory Days,12  Mar-15,475.0,BAAN
20,Debtors Days,12  Mar-15,16.0,BAAN
21,Net fixed assets,12  Mar-15,9385.0,BAAN
22,Share capital,12  Mar-15,114.0,BAAN
23,"""Free"" reserves",12  Mar-15,9339.0,BAAN
24,Net worth,12  Mar-15,9519.0,BAAN
25,Long term debt,12  Mar-15,2722.0,BAAN
26,Total assets,12  Mar-15,24046.0,BAAN
27,Interest coverage,12  Mar-15,1.0,BAAN
28,Debt to equity ratio,12  Mar-15,0.3,BAAN
29,Sales to assets ratio,12  Mar-15,0.4,BAAN
30,Return on assets,12  Mar-15,3.9,BAAN
31,Return on equity,12  Mar-15,0.1,BAAN
32,Return on capital,12  Mar-15,7.6,BAAN
33,Exports to sales,12  Mar-15,21.0,BAAN
34,Imports to sales,12  Mar-15,4.5,BAAN
35,Exports (fob),12  Mar-15,1949.0,BAAN
36,Imports (cif),12  Mar-15,423.0,BAAN
37,Fx inflow,12  Mar-15,1949.0,BAAN
38,Fx outflow,12  Mar-15,425.0,BAAN
39,Net fx,12  Mar-15,1523.0,BAAN
40,From Operations,12  Mar-15,200.0,BAAN
41,From Investments,12  Mar-15,-742.0,BAAN
42,From Financial Activity,12  Mar-15,615.0,BAAN
43,Net Cashflow,12  Mar-15,73.0,BAAN
44,Net Sales,12  Mar-16,14556.0,BAAN
45,Other income,12  Mar-16,28.0,BAAN
46,Total revenues,12  Mar-16,14585.0,BAAN
47,Gross profit,12  Mar-16,2044.0,BAAN
48,Depreciation,12  Mar-16,615.0,BAAN
49,Interest,12  Mar-16,1159.0,BAAN
50,Profit before tax,12  Mar-16,299.0,BAAN
51,Minority Interest,12  Mar-16,0.0,BAAN
52,Prior Period Items,12  Mar-16,0.0,BAAN
53,Extraordinary Inc (Exp),12  Mar-16,0.0,BAAN
54,Tax,12  Mar-16,-19.0,BAAN
55,Profit after tax,12  Mar-16,318.0,BAAN
56,Gross profit margin,12  Mar-16,14.0,BAAN
57,Effective tax rate,12  Mar-16,-6.5,BAAN
58,Net profit margin,12  Mar-16,2.2,BAAN
59,Current assets,12  Mar-16,15629.0,BAAN
60,Current liabilities,12  Mar-16,11609.0,BAAN
61,Net working cap to sales,12  Mar-16,27.6,BAAN
62,Current ratio,12  Mar-16,1.3,BAAN
63,Inventory Days,12  Mar-16,320.0,BAAN
64,Debtors Days,12  Mar-16,33.0,BAAN
65,Net fixed assets,12  Mar-16,11532.0,BAAN
66,Share capital,12  Mar-16,114.0,BAAN
67,"""Free"" reserves",12  Mar-16,9081.0,BAAN
68,Net worth,12  Mar-16,9195.0,BAAN
69,Long term debt,12  Mar-16,6718.0,BAAN
70,Total assets,12  Mar-16,28205.0,BAAN
71,Interest coverage,12  Mar-16,1.3,BAAN
72,Debt to equity ratio,12  Mar-16,0.7,BAAN
73,Sales to assets ratio,12  Mar-16,0.5,BAAN
74,Return on assets,12  Mar-16,5.2,BAAN
75,Return on equity,12  Mar-16,3.5,BAAN
76,Return on capital,12  Mar-16,9.2,BAAN
77,Exports to sales,12  Mar-16,14.9,BAAN
78,Imports to sales,12  Mar-16,1.0,BAAN
79,Exports (fob),12  Mar-16,2168.0,BAAN
80,Imports (cif),12  Mar-16,153.0,BAAN
81,Fx inflow,12  Mar-16,2168.0,BAAN
82,Fx outflow,12  Mar-16,155.0,BAAN
83,Net fx,12  Mar-16,2013.0,BAAN
84,From Operations,12  Mar-16,1779.0,BAAN
85,From Investments,12  Mar-16,-2750.0,BAAN
86,From Financial Activity,12  Mar-16,1068.0,BAAN
87,Net Cashflow,12  Mar-16,97.0,BAAN
88,Net Sales,12  Mar-17,17518.0,BAAN
89,Other income,12  Mar-17,57.0,BAAN
90,Total revenues,12  Mar-17,17575.0,BAAN
91,Gross profit,12  Mar-17,3477.0,BAAN
92,Depreciation,12  Mar-17,695.0,BAAN
93,Interest,12  Mar-17,971.0,BAAN
94,Profit before tax,12  Mar-17,1869.0,BAAN
95,Minority Interest,12  Mar-17,0.0,BAAN
96,Prior Period Items,12  Mar-17,0.0,BAAN
97,Extraordinary Inc (Exp),12  Mar-17,0.0,BAAN
98,Tax,12  Mar-17,417.0,BAAN
99,Profit after tax,12  Mar-17,1452.0,BAAN
100,Gross profit margin,12  Mar-17,19.8,BAAN
101,Effective tax rate,12  Mar-17,22.3,BAAN
