,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,8256.0,BAJCL
1,Other income,12  Mar-15*,316.0,BAJCL
2,Total revenues,12  Mar-15*,8572.0,BAJCL
3,Gross profit,12  Mar-15*,2392.0,BAJCL
4,Depreciation,12  Mar-15*,49.0,BAJCL
5,Interest,12  Mar-15*,1.0,BAJCL
6,Profit before tax,12  Mar-15*,2658.0,BAJCL
7,Minority Interest,12  Mar-15*,0.0,BAJCL
8,Prior Period Items,12  Mar-15*,0.0,BAJCL
9,Extraordinary Inc (Exp),12  Mar-15*,-470.0,BAJCL
10,Tax,12  Mar-15*,462.0,BAJCL
11,Profit after tax,12  Mar-15*,1727.0,BAJCL
12,Gross profit margin,12  Mar-15*,29.0,BAJCL
13,Effective tax rate,12  Mar-15*,17.4,BAJCL
14,Net profit margin,12  Mar-15*,20.9,BAJCL
15,Current assets,12  Mar-15*,3821.0,BAJCL
16,Current liabilities,12  Mar-15*,788.0,BAJCL
17,Net working cap to sales,12  Mar-15*,36.7,BAJCL
18,Current ratio,12  Mar-15*,4.8,BAJCL
19,Inventory Days,12  Mar-15*,17.0,BAJCL
20,Debtors Days,12  Mar-15*,6.0,BAJCL
21,Net fixed assets,12  Mar-15*,1854.0,BAJCL
22,Share capital,12  Mar-15*,148.0,BAJCL
23,"""Free"" reserves",12  Mar-15*,4740.0,BAJCL
24,Net worth,12  Mar-15*,4887.0,BAJCL
25,Long term debt,12  Mar-15*,0.0,BAJCL
26,Total assets,12  Mar-15*,5681.0,BAJCL
27,Interest coverage,12  Mar-15*,2045.5,BAJCL
28,Debt to equity ratio,12  Mar-15*,0.0,BAJCL
29,Sales to assets ratio,12  Mar-15*,1.5,BAJCL
30,Return on assets,12  Mar-15*,30.4,BAJCL
31,Return on equity,12  Mar-15*,35.3,BAJCL
32,Return on capital,12  Mar-15*,44.8,BAJCL
33,Exports to sales,12  Mar-15*,2.0,BAJCL
34,Imports to sales,12  Mar-15*,0.0,BAJCL
35,Exports (fob),12  Mar-15*,161.0,BAJCL
36,Imports (cif),12  Mar-15*,0.0,BAJCL
37,Fx inflow,12  Mar-15*,161.0,BAJCL
38,Fx outflow,12  Mar-15*,7.0,BAJCL
39,Net fx,12  Mar-15*,154.0,BAJCL
40,From Operations,12  Mar-15*,2067.0,BAJCL
41,From Investments,12  Mar-15*,-195.0,BAJCL
42,From Financial Activity,12  Mar-15*,-2035.0,BAJCL
43,Net Cashflow,12  Mar-15*,-164.0,BAJCL
44,Net Sales,12  Mar-16*,7997.0,BAJCL
45,Other income,12  Mar-16*,287.0,BAJCL
46,Total revenues,12  Mar-16*,8284.0,BAJCL
47,Gross profit,12  Mar-16*,2737.0,BAJCL
48,Depreciation,12  Mar-16*,49.0,BAJCL
49,Interest,12  Mar-16*,2.0,BAJCL
50,Profit before tax,12  Mar-16*,2972.0,BAJCL
51,Minority Interest,12  Mar-16*,0.0,BAJCL
52,Prior Period Items,12  Mar-16*,0.0,BAJCL
53,Extraordinary Inc (Exp),12  Mar-16*,-470.0,BAJCL
54,Tax,12  Mar-16*,538.0,BAJCL
55,Profit after tax,12  Mar-16*,1964.0,BAJCL
56,Gross profit margin,12  Mar-16*,34.2,BAJCL
57,Effective tax rate,12  Mar-16*,18.1,BAJCL
58,Net profit margin,12  Mar-16*,24.6,BAJCL
59,Current assets,12  Mar-16*,4152.0,BAJCL
60,Current liabilities,12  Mar-16*,844.0,BAJCL
61,Net working cap to sales,12  Mar-16*,41.4,BAJCL
62,Current ratio,12  Mar-16*,4.9,BAJCL
63,Inventory Days,12  Mar-16*,23.0,BAJCL
64,Debtors Days,12  Mar-16*,12.0,BAJCL
65,Net fixed assets,12  Mar-16*,1402.0,BAJCL
66,Share capital,12  Mar-16*,148.0,BAJCL
67,"""Free"" reserves",12  Mar-16*,4663.0,BAJCL
68,Net worth,12  Mar-16*,4811.0,BAJCL
69,Long term debt,12  Mar-16*,0.0,BAJCL
70,Total assets,12  Mar-16*,5662.0,BAJCL
