,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,26562.0,BDYN
1,Other income,12  Mar-14,398.0,BDYN
2,Total revenues,12  Mar-14,26960.0,BDYN
3,Gross profit,12  Mar-14,2444.0,BDYN
4,Depreciation,12  Mar-14,600.0,BDYN
5,Interest,12  Mar-14,1910.0,BDYN
6,Profit before tax,12  Mar-14,331.0,BDYN
7,Minority Interest,12  Mar-14,0.0,BDYN
8,Prior Period Items,12  Mar-14,0.0,BDYN
9,Extraordinary Inc (Exp),12  Mar-14,0.0,BDYN
10,Tax,12  Mar-14,88.0,BDYN
11,Profit after tax,12  Mar-14,243.0,BDYN
12,Gross profit margin,12  Mar-14,9.2,BDYN
13,Effective tax rate,12  Mar-14,26.6,BDYN
14,Net profit margin,12  Mar-14,0.9,BDYN
15,Current assets,12  Mar-14,15717.0,BDYN
16,Current liabilities,12  Mar-14,17232.0,BDYN
17,Net working cap to sales,12  Mar-14,-5.7,BDYN
18,Current ratio,12  Mar-14,0.9,BDYN
19,Inventory Days,12  Mar-14,99.0,BDYN
20,Debtors Days,12  Mar-14,27.0,BDYN
21,Net fixed assets,12  Mar-14,10111.0,BDYN
22,Share capital,12  Mar-14,413.0,BDYN
23,"""Free"" reserves",12  Mar-14,4003.0,BDYN
24,Net worth,12  Mar-14,14636.0,BDYN
25,Long term debt,12  Mar-14,5540.0,BDYN
26,Total assets,12  Mar-14,37636.0,BDYN
27,Interest coverage,12  Mar-14,1.2,BDYN
28,Debt to equity ratio,12  Mar-14,0.4,BDYN
29,Sales to assets ratio,12  Mar-14,0.7,BDYN
30,Return on assets,12  Mar-14,5.7,BDYN
31,Return on equity,12  Mar-14,1.7,BDYN
32,Return on capital,12  Mar-14,11.1,BDYN
33,Exports to sales,12  Mar-14,12.1,BDYN
34,Imports to sales,12  Mar-14,43.4,BDYN
35,Exports (fob),12  Mar-14,3218.0,BDYN
36,Imports (cif),12  Mar-14,11522.0,BDYN
37,Fx inflow,12  Mar-14,3350.0,BDYN
38,Fx outflow,12  Mar-14,11667.0,BDYN
39,Net fx,12  Mar-14,-8318.0,BDYN
40,From Operations,12  Mar-14,-138.0,BDYN
41,From Investments,12  Mar-14,36.0,BDYN
42,From Financial Activity,12  Mar-14,-9.0,BDYN
43,Net Cashflow,12  Mar-14,-111.0,BDYN
44,Net Sales,12  Mar-15,23783.0,BDYN
45,Other income,12  Mar-15,549.0,BDYN
46,Total revenues,12  Mar-15,24332.0,BDYN
47,Gross profit,12  Mar-15,2541.0,BDYN
48,Depreciation,12  Mar-15,468.0,BDYN
49,Interest,12  Mar-15,2272.0,BDYN
50,Profit before tax,12  Mar-15,349.0,BDYN
51,Minority Interest,12  Mar-15,0.0,BDYN
52,Prior Period Items,12  Mar-15,0.0,BDYN
53,Extraordinary Inc (Exp),12  Mar-15,0.0,BDYN
54,Tax,12  Mar-15,104.0,BDYN
55,Profit after tax,12  Mar-15,246.0,BDYN
56,Gross profit margin,12  Mar-15,10.7,BDYN
57,Effective tax rate,12  Mar-15,29.7,BDYN
58,Net profit margin,12  Mar-15,1.0,BDYN
59,Current assets,12  Mar-15,17962.0,BDYN
60,Current liabilities,12  Mar-15,14939.0,BDYN
61,Net working cap to sales,12  Mar-15,12.7,BDYN
62,Current ratio,12  Mar-15,1.2,BDYN
63,Inventory Days,12  Mar-15,109.0,BDYN
64,Debtors Days,12  Mar-15,41.0,BDYN
65,Net fixed assets,12  Mar-15,9126.0,BDYN
