,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,76222.0,BFRG
1,Other income,12  Mar-15*,1368.0,BFRG
2,Total revenues,12  Mar-15*,77590.0,BFRG
3,Gross profit,12  Mar-15*,14408.0,BFRG
4,Depreciation,12  Mar-15*,3624.0,BFRG
5,Interest,12  Mar-15*,1356.0,BFRG
6,Profit before tax,12  Mar-15*,10795.0,BFRG
7,Minority Interest,12  Mar-15*,30.0,BFRG
8,Prior Period Items,12  Mar-15*,0.0,BFRG
9,Extraordinary Inc (Exp),12  Mar-15*,387.0,BFRG
10,Tax,12  Mar-15*,3587.0,BFRG
11,Profit after tax,12  Mar-15*,7625.0,BFRG
12,Gross profit margin,12  Mar-15*,18.9,BFRG
13,Effective tax rate,12  Mar-15*,33.2,BFRG
14,Net profit margin,12  Mar-15*,10.0,BFRG
15,Current assets,12  Mar-15*,46080.0,BFRG
16,Current liabilities,12  Mar-15*,27589.0,BFRG
17,Net working cap to sales,12  Mar-15*,24.3,BFRG
18,Current ratio,12  Mar-15*,1.7,BFRG
19,Inventory Days,12  Mar-15*,41.0,BFRG
20,Debtors Days,12  Mar-15*,76.0,BFRG
21,Net fixed assets,12  Mar-15*,34336.0,BFRG
22,Share capital,12  Mar-15*,466.0,BFRG
23,"""Free"" reserves",12  Mar-15*,32039.0,BFRG
24,Net worth,12  Mar-15*,32504.0,BFRG
25,Long term debt,12  Mar-15*,16602.0,BFRG
26,Total assets,12  Mar-15*,81592.0,BFRG
27,Interest coverage,12  Mar-15*,9.0,BFRG
28,Debt to equity ratio,12  Mar-15*,0.5,BFRG
29,Sales to assets ratio,12  Mar-15*,0.9,BFRG
30,Return on assets,12  Mar-15*,11.0,BFRG
31,Return on equity,12  Mar-15*,23.5,BFRG
32,Return on capital,12  Mar-15*,25.6,BFRG
33,Exports to sales,12  Mar-15*,35.4,BFRG
34,Imports to sales,12  Mar-15*,2.5,BFRG
35,Exports (fob),12  Mar-15*,27011.0,BFRG
36,Imports (cif),12  Mar-15*,1874.0,BFRG
37,Fx inflow,12  Mar-15*,27496.0,BFRG
38,Fx outflow,12  Mar-15*,3160.0,BFRG
39,Net fx,12  Mar-15*,24336.0,BFRG
40,From Operations,12  Mar-15*,10345.0,BFRG
41,From Investments,12  Mar-15*,-4669.0,BFRG
42,From Financial Activity,12  Mar-15*,-3599.0,BFRG
43,Net Cashflow,12  Mar-15*,1232.0,BFRG
44,Net Sales,12  Mar-16*,70016.0,BFRG
45,Other income,12  Mar-16*,1321.0,BFRG
46,Total revenues,12  Mar-16*,71337.0,BFRG
47,Gross profit,12  Mar-16*,14081.0,BFRG
48,Depreciation,12  Mar-16*,4530.0,BFRG
49,Interest,12  Mar-16*,1160.0,BFRG
50,Profit before tax,12  Mar-16*,9713.0,BFRG
51,Minority Interest,12  Mar-16*,0.0,BFRG
52,Prior Period Items,12  Mar-16*,260.0,BFRG
53,Extraordinary Inc (Exp),12  Mar-16*,-55.0,BFRG
54,Tax,12  Mar-16*,3165.0,BFRG
55,Profit after tax,12  Mar-16*,6754.0,BFRG
56,Gross profit margin,12  Mar-16*,20.1,BFRG
57,Effective tax rate,12  Mar-16*,32.6,BFRG
58,Net profit margin,12  Mar-16*,9.6,BFRG
59,Current assets,12  Mar-16*,42544.0,BFRG
60,Current liabilities,12  Mar-16*,28688.0,BFRG
61,Net working cap to sales,12  Mar-16*,19.8,BFRG
62,Current ratio,12  Mar-16*,1.5,BFRG
63,Inventory Days,12  Mar-16*,52.0,BFRG
64,Debtors Days,12  Mar-16*,73.0,BFRG
65,Net fixed assets,12  Mar-16*,40458.0,BFRG
66,Share capital,12  Mar-16*,466.0,BFRG
67,"""Free"" reserves",12  Mar-16*,33667.0,BFRG
68,Net worth,12  Mar-16*,34132.0,BFRG
69,Long term debt,12  Mar-16*,16381.0,BFRG
70,Total assets,12  Mar-16*,82920.0,BFRG
71,Interest coverage,12  Mar-16*,9.4,BFRG
72,Debt to equity ratio,12  Mar-16*,0.5,BFRG
73,Sales to assets ratio,12  Mar-16*,0.8,BFRG
74,Return on assets,12  Mar-16*,9.5,BFRG
75,Return on equity,12  Mar-16*,19.8,BFRG
76,Return on capital,12  Mar-16*,21.9,BFRG
77,Exports to sales,12  Mar-16*,34.7,BFRG
78,Imports to sales,12  Mar-16*,5.1,BFRG
79,Exports (fob),12  Mar-16*,24299.0,BFRG
80,Imports (cif),12  Mar-16*,3562.0,BFRG
81,Fx inflow,12  Mar-16*,28880.0,BFRG
82,Fx outflow,12  Mar-16*,5085.0,BFRG
83,Net fx,12  Mar-16*,23795.0,BFRG
84,From Operations,12  Mar-16*,13558.0,BFRG
85,From Investments,12  Mar-16*,-9268.0,BFRG
86,From Financial Activity,12  Mar-16*,-4483.0,BFRG
87,Net Cashflow,12  Mar-16*,191.0,BFRG
88,Net Sales,12  Mar-17*,63962.0,BFRG
89,Other income,12  Mar-17*,1193.0,BFRG
90,Total revenues,12  Mar-17*,65154.0,BFRG
91,Gross profit,12  Mar-17*,12514.0,BFRG
92,Depreciation,12  Mar-17*,4521.0,BFRG
93,Interest,12  Mar-17*,1000.0,BFRG
94,Profit before tax,12  Mar-17*,8186.0,BFRG
95,Minority Interest,12  Mar-17*,0.0,BFRG
96,Prior Period Items,12  Mar-17*,0.0,BFRG
97,Extraordinary Inc (Exp),12  Mar-17*,1284.0,BFRG
98,Tax,12  Mar-17*,2492.0,BFRG
99,Profit after tax,12  Mar-17*,6979.0,BFRG
100,Gross profit margin,12  Mar-17*,19.6,BFRG
101,Effective tax rate,12  Mar-17*,30.4,BFRG
102,Net profit margin,12  Mar-17*,10.9,BFRG
103,Current assets,12  Mar-17*,42201.0,BFRG
104,Current liabilities,12  Mar-17*,32062.0,BFRG
105,Net working cap to sales,12  Mar-17*,15.9,BFRG
106,Current ratio,12  Mar-17*,1.3,BFRG
107,Inventory Days,12  Mar-17*,61.0,BFRG
108,Debtors Days,12  Mar-17*,77.0,BFRG
