,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-16*,83972.0,BRIT
1,Other income,12  Mar-16*,1244.0,BRIT
2,Total revenues,12  Mar-16*,85216.0,BRIT
3,Gross profit,12  Mar-16*,12144.0,BRIT
4,Depreciation,12  Mar-16*,1134.0,BRIT
5,Interest,12  Mar-16*,49.0,BRIT
6,Profit before tax,12  Mar-16*,12205.0,BRIT
7,Minority Interest,12  Mar-16*,2.0,BRIT
8,Prior Period Items,12  Mar-16*,0.0,BRIT
9,Extraordinary Inc (Exp),12  Mar-16*,0.0,BRIT
10,Tax,12  Mar-16*,3961.0,BRIT
11,Profit after tax,12  Mar-16*,8246.0,BRIT
12,Gross profit margin,12  Mar-16*,14.5,BRIT
13,Effective tax rate,12  Mar-16*,32.5,BRIT
14,Net profit margin,12  Mar-16*,9.8,BRIT
15,Current assets,12  Mar-16*,17241.0,BRIT
16,Current liabilities,12  Mar-16*,13298.0,BRIT
17,Net working cap to sales,12  Mar-16*,4.7,BRIT
18,Current ratio,12  Mar-16*,1.3,BRIT
19,Inventory Days,12  Mar-16*,19.0,BRIT
20,Debtors Days,12  Mar-16*,7.0,BRIT
21,Net fixed assets,12  Mar-16*,9111.0,BRIT
22,Share capital,12  Mar-16*,240.0,BRIT
23,"""Free"" reserves",12  Mar-16*,20677.0,BRIT
24,Net worth,12  Mar-16*,20917.0,BRIT
25,Long term debt,12  Mar-16*,377.0,BRIT
26,Total assets,12  Mar-16*,34939.0,BRIT
27,Interest coverage,12  Mar-16*,251.6,BRIT
28,Debt to equity ratio,12  Mar-16*,0.0,BRIT
29,Sales to assets ratio,12  Mar-16*,2.4,BRIT
30,Return on assets,12  Mar-16*,23.7,BRIT
31,Return on equity,12  Mar-16*,39.4,BRIT
32,Return on capital,12  Mar-16*,57.6,BRIT
33,Exports to sales,12  Mar-16*,1.8,BRIT
34,Imports to sales,12  Mar-16*,0.3,BRIT
35,Exports (fob),12  Mar-16*,1549.0,BRIT
36,Imports (cif),12  Mar-16*,253.0,BRIT
37,Fx inflow,12  Mar-16*,1737.0,BRIT
38,Fx outflow,12  Mar-16*,1285.0,BRIT
39,Net fx,12  Mar-16*,453.0,BRIT
40,From Operations,12  Mar-16*,9592.0,BRIT
41,From Investments,12  Mar-16*,-7052.0,BRIT
42,From Financial Activity,12  Mar-16*,-2462.0,BRIT
43,Net Cashflow,12  Mar-16*,79.0,BRIT
44,Net Sales,12  Mar-17*,90541.0,BRIT
