,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,920394.0,BTVL
1,Other income,12  Mar-15*,20958.0,BTVL
2,Total revenues,12  Mar-15*,941352.0,BTVL
3,Gross profit,12  Mar-15*,314735.0,BTVL
4,Depreciation,12  Mar-15*,155311.0,BTVL
5,Interest,12  Mar-15*,73252.0,BTVL
6,Profit before tax,12  Mar-15*,107130.0,BTVL
7,Minority Interest,12  Mar-15*,-1248.0,BTVL
8,Prior Period Items,12  Mar-15*,0.0,BTVL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,BTVL
10,Tax,12  Mar-15*,54047.0,BTVL
11,Profit after tax,12  Mar-15*,51835.0,BTVL
12,Gross profit margin,12  Mar-15*,34.2,BTVL
13,Effective tax rate,12  Mar-15*,50.4,BTVL
14,Net profit margin,12  Mar-15*,5.6,BTVL
15,Current assets,12  Mar-15*,254774.0,BTVL
16,Current liabilities,12  Mar-15*,637148.0,BTVL
17,Net working cap to sales,12  Mar-15*,-41.5,BTVL
18,Current ratio,12  Mar-15*,0.4,BTVL
19,Inventory Days,12  Mar-15*,1.0,BTVL
20,Debtors Days,12  Mar-15*,21.0,BTVL
21,Net fixed assets,12  Mar-15*,1467666.0,BTVL
22,Share capital,12  Mar-15*,19987.0,BTVL
23,"""Free"" reserves",12  Mar-15*,610603.0,BTVL
24,Net worth,12  Mar-15*,630590.0,BTVL
25,Long term debt,12  Mar-15*,591575.0,BTVL
26,Total assets,12  Mar-15*,1965735.0,BTVL
27,Interest coverage,12  Mar-15*,2.5,BTVL
28,Debt to equity ratio,12  Mar-15*,0.9,BTVL
29,Sales to assets ratio,12  Mar-15*,0.5,BTVL
30,Return on assets,12  Mar-15*,6.4,BTVL
31,Return on equity,12  Mar-15*,8.2,BTVL
32,Return on capital,12  Mar-15*,14.7,BTVL
33,Exports to sales,12  Mar-15*,0.0,BTVL
34,Imports to sales,12  Mar-15*,4.0,BTVL
35,Exports (fob),12  Mar-15*,0.0,BTVL
36,Imports (cif),12  Mar-15*,37221.0,BTVL
37,Fx inflow,12  Mar-15*,37274.0,BTVL
38,Fx outflow,12  Mar-15*,67393.0,BTVL
39,Net fx,12  Mar-15*,-30119.0,BTVL
40,From Operations,12  Mar-15*,276018.0,BTVL
41,From Investments,12  Mar-15*,-220481.0,BTVL
42,From Financial Activity,12  Mar-15*,-96570.0,BTVL
43,Net Cashflow,12  Mar-15*,-40990.0,BTVL
44,Net Sales,12  Mar-16*,965321.0,BTVL
45,Other income,12  Mar-16*,871.0,BTVL
46,Total revenues,12  Mar-16*,966192.0,BTVL
47,Gross profit,12  Mar-16*,365810.0,BTVL
48,Depreciation,12  Mar-16*,174498.0,BTVL
49,Interest,12  Mar-16*,85461.0,BTVL
50,Profit before tax,12  Mar-16*,106722.0,BTVL
51,Minority Interest,12  Mar-16*,0.0,BTVL
52,Prior Period Items,12  Mar-16*,0.0,BTVL
53,Extraordinary Inc (Exp),12  Mar-16*,21741.0,BTVL
54,Tax,12  Mar-16*,59533.0,BTVL
55,Profit after tax,12  Mar-16*,68930.0,BTVL
56,Gross profit margin,12  Mar-16*,37.9,BTVL
57,Effective tax rate,12  Mar-16*,55.8,BTVL
58,Net profit margin,12  Mar-16*,7.1,BTVL
59,Current assets,12  Mar-16*,228552.0,BTVL
60,Current liabilities,12  Mar-16*,586604.0,BTVL
61,Net working cap to sales,12  Mar-16*,-37.1,BTVL
62,Current ratio,12  Mar-16*,0.4,BTVL
63,Inventory Days,12  Mar-16*,1.0,BTVL
64,Debtors Days,12  Mar-16*,21.0,BTVL
65,Net fixed assets,12  Mar-16*,1779948.0,BTVL
66,Share capital,12  Mar-16*,19987.0,BTVL
