,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,61221.0,CCORP
1,Other income,12  Mar-15*,3545.0,CCORP
2,Total revenues,12  Mar-15*,64767.0,CCORP
3,Gross profit,12  Mar-15*,13942.0,CCORP
4,Depreciation,12  Mar-15*,4109.0,CCORP
5,Interest,12  Mar-15*,180.0,CCORP
6,Profit before tax,12  Mar-15*,13198.0,CCORP
7,Minority Interest,12  Mar-15*,-14.0,CCORP
8,Prior Period Items,12  Mar-15*,0.0,CCORP
9,Extraordinary Inc (Exp),12  Mar-15*,-1.0,CCORP
10,Tax,12  Mar-15*,2638.0,CCORP
11,Profit after tax,12  Mar-15*,10544.0,CCORP
12,Gross profit margin,12  Mar-15*,22.8,CCORP
13,Effective tax rate,12  Mar-15*,20.0,CCORP
14,Net profit margin,12  Mar-15*,17.2,CCORP
15,Current assets,12  Mar-15*,30460.0,CCORP
16,Current liabilities,12  Mar-15*,7092.0,CCORP
17,Net working cap to sales,12  Mar-15*,38.2,CCORP
18,Current ratio,12  Mar-15*,4.3,CCORP
19,Inventory Days,12  Mar-15*,3.0,CCORP
20,Debtors Days,12  Mar-15*,4.0,CCORP
21,Net fixed assets,12  Mar-15*,32901.0,CCORP
22,Share capital,12  Mar-15*,1950.0,CCORP
23,"""Free"" reserves",12  Mar-15*,74604.0,CCORP
24,Net worth,12  Mar-15*,76554.0,CCORP
25,Long term debt,12  Mar-15*,0.0,CCORP
26,Total assets,12  Mar-15*,87720.0,CCORP
27,Interest coverage,12  Mar-15*,74.3,CCORP
28,Debt to equity ratio,12  Mar-15*,0.0,CCORP
29,Sales to assets ratio,12  Mar-15*,0.7,CCORP
30,Return on assets,12  Mar-15*,12.2,CCORP
31,Return on equity,12  Mar-15*,13.8,CCORP
32,Return on capital,12  Mar-15*,17.5,CCORP
33,Exports to sales,12  Mar-15*,0.0,CCORP
34,Imports to sales,12  Mar-15*,32.6,CCORP
35,Exports (fob),12  Mar-15*,0.0,CCORP
36,Imports (cif),12  Mar-15*,19936.0,CCORP
37,Fx inflow,12  Mar-15*,0.0,CCORP
38,Fx outflow,12  Mar-15*,20120.0,CCORP
39,Net fx,12  Mar-15*,-20120.0,CCORP
40,From Operations,12  Mar-15*,11663.0,CCORP
41,From Investments,12  Mar-15*,-6484.0,CCORP
42,From Financial Activity,12  Mar-15*,-3486.0,CCORP
43,Net Cashflow,12  Mar-15*,1693.0,CCORP
44,Net Sales,12  Mar-16*,62782.0,CCORP
45,Other income,12  Mar-16*,3133.0,CCORP
46,Total revenues,12  Mar-16*,65915.0,CCORP
47,Gross profit,12  Mar-16*,13423.0,CCORP
48,Depreciation,12  Mar-16*,3549.0,CCORP
49,Interest,12  Mar-16*,2.0,CCORP
50,Profit before tax,12  Mar-16*,13005.0,CCORP
51,Minority Interest,12  Mar-16*,341.0,CCORP
52,Prior Period Items,12  Mar-16*,0.0,CCORP
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,CCORP
54,Tax,12  Mar-16*,3680.0,CCORP
55,Profit after tax,12  Mar-16*,9666.0,CCORP
56,Gross profit margin,12  Mar-16*,21.4,CCORP
57,Effective tax rate,12  Mar-16*,28.3,CCORP
58,Net profit margin,12  Mar-16*,15.4,CCORP
59,Current assets,12  Mar-16*,13799.0,CCORP
60,Current liabilities,12  Mar-16*,7443.0,CCORP
