,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,101109.0,CESC
1,Other income,12  Mar-14*,1734.0,CESC
2,Total revenues,12  Mar-14*,102842.0,CESC
3,Gross profit,12  Mar-14*,16226.0,CESC
4,Depreciation,12  Mar-14*,4714.0,CESC
5,Interest,12  Mar-14*,5660.0,CESC
6,Profit before tax,12  Mar-14*,7585.0,CESC
7,Minority Interest,12  Mar-14*,-813.0,CESC
8,Prior Period Items,12  Mar-14*,0.0,CESC
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,CESC
10,Tax,12  Mar-14*,1856.0,CESC
11,Profit after tax,12  Mar-14*,4916.0,CESC
12,Gross profit margin,12  Mar-14*,16.0,CESC
13,Effective tax rate,12  Mar-14*,24.5,CESC
14,Net profit margin,12  Mar-14*,4.9,CESC
15,Current assets,12  Mar-14*,39917.0,CESC
16,Current liabilities,12  Mar-14*,52673.0,CESC
17,Net working cap to sales,12  Mar-14*,-12.6,CESC
18,Current ratio,12  Mar-14*,0.8,CESC
19,Inventory Days,12  Mar-14*,19.0,CESC
20,Debtors Days,12  Mar-14*,55.0,CESC
21,Net fixed assets,12  Mar-14*,198228.0,CESC
22,Share capital,12  Mar-14*,1256.0,CESC
23,"""Free"" reserves",12  Mar-14*,47270.0,CESC
24,Net worth,12  Mar-14*,56350.0,CESC
25,Long term debt,12  Mar-14*,91323.0,CESC
26,Total assets,12  Mar-14*,249763.0,CESC
27,Interest coverage,12  Mar-14*,2.3,CESC
28,Debt to equity ratio,12  Mar-14*,1.6,CESC
29,Sales to assets ratio,12  Mar-14*,0.4,CESC
30,Return on assets,12  Mar-14*,4.2,CESC
31,Return on equity,12  Mar-14*,8.7,CESC
32,Return on capital,12  Mar-14*,8.4,CESC
33,Exports to sales,12  Mar-14*,0.0,CESC
34,Imports to sales,12  Mar-14*,1.6,CESC
35,Exports (fob),12  Mar-14*,0.0,CESC
36,Imports (cif),12  Mar-14*,1641.0,CESC
37,Fx inflow,12  Mar-14*,30.0,CESC
38,Fx outflow,12  Mar-14*,1687.0,CESC
39,Net fx,12  Mar-14*,-1657.0,CESC
40,From Operations,12  Mar-14*,22511.0,CESC
41,From Investments,12  Mar-14*,-31803.0,CESC
42,From Financial Activity,12  Mar-14*,8225.0,CESC
43,Net Cashflow,12  Mar-14*,-1067.0,CESC
44,Net Sales,12  Mar-15*,110666.0,CESC
45,Other income,12  Mar-15*,1490.0,CESC
46,Total revenues,12  Mar-15*,112156.0,CESC
47,Gross profit,12  Mar-15*,18945.0,CESC
48,Depreciation,12  Mar-15*,5889.0,CESC
49,Interest,12  Mar-15*,9565.0,CESC
50,Profit before tax,12  Mar-15*,4981.0,CESC
51,Minority Interest,12  Mar-15*,-1004.0,CESC
52,Prior Period Items,12  Mar-15*,0.0,CESC
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,CESC
54,Tax,12  Mar-15*,1992.0,CESC
55,Profit after tax,12  Mar-15*,1985.0,CESC
56,Gross profit margin,12  Mar-15*,17.1,CESC
57,Effective tax rate,12  Mar-15*,40.0,CESC
58,Net profit margin,12  Mar-15*,1.8,CESC
59,Current assets,12  Mar-15*,46245.0,CESC
60,Current liabilities,12  Mar-15*,62947.0,CESC
61,Net working cap to sales,12  Mar-15*,-15.1,CESC
62,Current ratio,12  Mar-15*,0.7,CESC
63,Inventory Days,12  Mar-15*,22.0,CESC
64,Debtors Days,12  Mar-15*,56.0,CESC
65,Net fixed assets,12  Mar-15*,266681.0,CESC
66,Share capital,12  Mar-15*,1332.0,CESC
67,"""Free"" reserves",12  Mar-15*,105129.0,CESC
68,Net worth,12  Mar-15*,106461.0,CESC
69,Long term debt,12  Mar-15*,100952.0,CESC
70,Total assets,12  Mar-15*,361530.0,CESC
71,Interest coverage,12  Mar-15*,1.5,CESC
72,Debt to equity ratio,12  Mar-15*,0.9,CESC
73,Sales to assets ratio,12  Mar-15*,0.3,CESC
74,Return on assets,12  Mar-15*,3.2,CESC
75,Return on equity,12  Mar-15*,1.9,CESC
76,Return on capital,12  Mar-15*,6.5,CESC
77,Exports to sales,12  Mar-15*,0.0,CESC
78,Imports to sales,12  Mar-15*,1.2,CESC
79,Exports (fob),12  Mar-15*,0.0,CESC
80,Imports (cif),12  Mar-15*,1340.0,CESC
81,Fx inflow,12  Mar-15*,1.0,CESC
82,Fx outflow,12  Mar-15*,1381.0,CESC
83,Net fx,12  Mar-15*,-1380.0,CESC
84,From Operations,12  Mar-15*,8895.0,CESC
85,From Investments,12  Mar-15*,-24405.0,CESC
86,From Financial Activity,12  Mar-15*,13309.0,CESC
87,Net Cashflow,12  Mar-15*,-2202.0,CESC
88,Net Sales,12  Mar-16*,121242.0,CESC
89,Other income,12  Mar-16*,2637.0,CESC
90,Total revenues,12  Mar-16*,123879.0,CESC
91,Gross profit,12  Mar-16*,31836.0,CESC
92,Depreciation,12  Mar-16*,7665.0,CESC
93,Interest,12  Mar-16*,14943.0,CESC
94,Profit before tax,12  Mar-16*,11864.0,CESC
95,Minority Interest,12  Mar-16*,640.0,CESC
96,Prior Period Items,12  Mar-16*,0.0,CESC
97,Extraordinary Inc (Exp),12  Mar-16*,-2083.0,CESC
98,Tax,12  Mar-16*,3130.0,CESC
99,Profit after tax,12  Mar-16*,7291.0,CESC
100,Gross profit margin,12  Mar-16*,26.3,CESC
101,Effective tax rate,12  Mar-16*,26.4,CESC
102,Net profit margin,12  Mar-16*,6.0,CESC
103,Current assets,12  Mar-16*,46456.0,CESC
104,Current liabilities,12  Mar-16*,62686.0,CESC
105,Net working cap to sales,12  Mar-16*,-13.4,CESC
106,Current ratio,12  Mar-16*,0.7,CESC
107,Inventory Days,12  Mar-16*,21.0,CESC
108,Debtors Days,12  Mar-16*,43.0,CESC
109,Net fixed assets,12  Mar-16*,270614.0,CESC
110,Share capital,12  Mar-16*,1332.0,CESC
111,"""Free"" reserves",12  Mar-16*,104705.0,CESC
112,Net worth,12  Mar-16*,106037.0,CESC
113,Long term debt,12  Mar-16*,104514.0,CESC
114,Total assets,12  Mar-16*,367932.0,CESC
115,Interest coverage,12  Mar-16*,1.8,CESC
116,Debt to equity ratio,12  Mar-16*,1.0,CESC
117,Sales to assets ratio,12  Mar-16*,0.3,CESC
118,Return on assets,12  Mar-16*,6.0,CESC
119,Return on equity,12  Mar-16*,6.9,CESC
120,Return on capital,12  Mar-16*,12.0,CESC
121,Exports to sales,12  Mar-16*,0.0,CESC
122,Imports to sales,12  Mar-16*,0.6,CESC
123,Exports (fob),12  Mar-16*,0.0,CESC
124,Imports (cif),12  Mar-16*,784.0,CESC
125,Fx inflow,12  Mar-16*,0.0,CESC
126,Fx outflow,12  Mar-16*,826.0,CESC
127,Net fx,12  Mar-16*,-826.0,CESC
128,From Operations,12  Mar-16*,24804.0,CESC
129,From Investments,12  Mar-16*,-12196.0,CESC
130,From Financial Activity,12  Mar-16*,-11809.0,CESC
131,Net Cashflow,12  Mar-16*,799.0,CESC
132,Net Sales,12  Mar-17*,83634.0,CESC
133,Other income,12  Mar-17*,2300.0,CESC
134,Total revenues,12  Mar-17*,85933.0,CESC
135,Gross profit,12  Mar-17*,27389.0,CESC
136,Depreciation,12  Mar-17*,7148.0,CESC
137,Interest,12  Mar-17*,13724.0,CESC
138,Profit before tax,12  Mar-17*,8817.0,CESC
139,Minority Interest,12  Mar-17*,484.0,CESC
140,Prior Period Items,12  Mar-17*,0.0,CESC
141,Extraordinary Inc (Exp),12  Mar-17*,456.0,CESC
142,Tax,12  Mar-17*,3210.0,CESC
143,Profit after tax,12  Mar-17*,6547.0,CESC
144,Gross profit margin,12  Mar-17*,32.7,CESC
145,Effective tax rate,12  Mar-17*,36.4,CESC
146,Net profit margin,12  Mar-17*,7.8,CESC
147,Current assets,12  Mar-17*,56780.0,CESC
148,Current liabilities,12  Mar-17*,61996.0,CESC
149,Net working cap to sales,12  Mar-17*,-6.2,CESC
150,Current ratio,12  Mar-17*,0.9,CESC
151,Inventory Days,12  Mar-17*,37.0,CESC
152,Debtors Days,12  Mar-17*,68.0,CESC
153,Net fixed assets,12  Mar-17*,270181.0,CESC
154,Share capital,12  Mar-17*,1332.0,CESC
155,"""Free"" reserves",12  Mar-17*,104895.0,CESC
156,Net worth,12  Mar-17*,106227.0,CESC
157,Long term debt,12  Mar-17*,115897.0,CESC
158,Total assets,12  Mar-17*,378727.0,CESC
159,Interest coverage,12  Mar-17*,1.6,CESC
160,Debt to equity ratio,12  Mar-17*,1.1,CESC
161,Sales to assets ratio,12  Mar-17*,0.2,CESC
162,Return on assets,12  Mar-17*,5.4,CESC
163,Return on equity,12  Mar-17*,6.2,CESC
164,Return on capital,12  Mar-17*,10.6,CESC
165,Exports to sales,12  Mar-17*,0.0,CESC
166,Imports to sales,12  Mar-17*,0.0,CESC
167,Exports (fob),12  Mar-17*,0.0,CESC
168,Imports (cif),12  Mar-17*,0.0,CESC
169,Fx inflow,12  Mar-17*,0.0,CESC
170,Fx outflow,12  Mar-17*,169.0,CESC
171,Net fx,12  Mar-17*,-169.0,CESC
172,From Operations,12  Mar-17*,26552.0,CESC
173,From Investments,12  Mar-17*,-14932.0,CESC
174,From Financial Activity,12  Mar-17*,-7592.0,CESC
175,Net Cashflow,12  Mar-17*,4028.0,CESC
176,Net Sales,12  Mar-18*,102749.0,CESC
177,Other income,12  Mar-18*,2520.0,CESC
178,Total revenues,12  Mar-18*,105269.0,CESC
179,Gross profit,12  Mar-18*,29317.0,CESC
180,Depreciation,12  Mar-18*,7515.0,CESC
181,Interest,12  Mar-18*,13030.0,CESC
182,Profit before tax,12  Mar-18*,11293.0,CESC
183,Minority Interest,12  Mar-18*,497.0,CESC
184,Prior Period Items,12  Mar-18*,0.0,CESC
185,Extraordinary Inc (Exp),12  Mar-18*,675.0,CESC
186,Tax,12  Mar-18*,3562.0,CESC
187,Profit after tax,12  Mar-18*,8902.0,CESC
188,Gross profit margin,12  Mar-18*,28.5,CESC
189,Effective tax rate,12  Mar-18*,31.5,CESC
190,Net profit margin,12  Mar-18*,8.7,CESC
191,Current assets,12  Mar-18*,44395.0,CESC
192,Current liabilities,12  Mar-18*,56574.0,CESC
193,Net working cap to sales,12  Mar-18*,-11.9,CESC
194,Current ratio,12  Mar-18*,0.8,CESC
195,Inventory Days,12  Mar-18*,21.0,CESC
196,Debtors Days,12  Mar-18*,55.0,CESC
197,Net fixed assets,12  Mar-18*,239008.0,CESC
198,Share capital,12  Mar-18*,1332.0,CESC
199,"""Free"" reserves",12  Mar-18*,82870.0,CESC
200,Net worth,12  Mar-18*,84202.0,CESC
201,Long term debt,12  Mar-18*,110478.0,CESC
202,Total assets,12  Mar-18*,329874.0,CESC
203,Interest coverage,12  Mar-18*,1.9,CESC
204,Debt to equity ratio,12  Mar-18*,1.3,CESC
205,Sales to assets ratio,12  Mar-18*,0.3,CESC
206,Return on assets,12  Mar-18*,6.6,CESC
207,Return on equity,12  Mar-18*,10.6,CESC
208,Return on capital,12  Mar-18*,13.1,CESC
209,Exports to sales,12  Mar-18*,0.0,CESC
210,Imports to sales,12  Mar-18*,0.0,CESC
211,Exports (fob),12  Mar-18*,0.0,CESC
212,Imports (cif),12  Mar-18*,0.0,CESC
213,Fx inflow,12  Mar-18*,0.0,CESC
214,Fx outflow,12  Mar-18*,19.0,CESC
215,Net fx,12  Mar-18*,-19.0,CESC
216,From Operations,12  Mar-18*,24321.0,CESC
217,From Investments,12  Mar-18*,-9814.0,CESC
218,From Financial Activity,12  Mar-18*,-14490.0,CESC
219,Net Cashflow,12  Mar-18*,-3742.0,CESC
