,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,37148.0,CHIF
1,Other income,12  Mar-15*,7.0,CHIF
2,Total revenues,12  Mar-15*,37155.0,CHIF
3,Gross profit,12  Mar-15*,26535.0,CHIF
4,Depreciation,12  Mar-15*,301.0,CHIF
5,Interest,12  Mar-15*,19578.0,CHIF
6,Profit before tax,12  Mar-15*,6662.0,CHIF
7,Minority Interest,12  Mar-15*,0.0,CHIF
8,Prior Period Items,12  Mar-15*,0.0,CHIF
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,CHIF
10,Tax,12  Mar-15*,2221.0,CHIF
11,Profit after tax,12  Mar-15*,4441.0,CHIF
12,Gross profit margin,12  Mar-15*,71.4,CHIF
13,Effective tax rate,12  Mar-15*,33.3,CHIF
14,Net profit margin,12  Mar-15*,12.0,CHIF
15,Current assets,12  Mar-15*,74560.0,CHIF
16,Current liabilities,12  Mar-15*,79060.0,CHIF
17,Net working cap to sales,12  Mar-15*,-12.1,CHIF
18,Current ratio,12  Mar-15*,0.9,CHIF
19,Inventory Days,12  Mar-15*,0.0,CHIF
20,Debtors Days,12  Mar-15*,1.0,CHIF
21,Net fixed assets,12  Mar-15*,689.0,CHIF
22,Share capital,12  Mar-15*,6437.0,CHIF
23,"""Free"" reserves",12  Mar-15*,21795.0,CHIF
24,Net worth,12  Mar-15*,31744.0,CHIF
25,Long term debt,12  Mar-15*,124245.0,CHIF
26,Total assets,12  Mar-15*,238680.0,CHIF
27,Interest coverage,12  Mar-15*,1.3,CHIF
28,Debt to equity ratio,12  Mar-15*,3.9,CHIF
29,Sales to assets ratio,12  Mar-15*,0.2,CHIF
30,Return on assets,12  Mar-15*,10.1,CHIF
31,Return on equity,12  Mar-15*,14.0,CHIF
32,Return on capital,12  Mar-15*,16.8,CHIF
33,Exports to sales,12  Mar-15*,0.0,CHIF
34,Imports to sales,12  Mar-15*,0.0,CHIF
35,Exports (fob),12  Mar-15*,0.0,CHIF
36,Imports (cif),12  Mar-15*,0.0,CHIF
37,Fx inflow,12  Mar-15*,0.0,CHIF
38,Fx outflow,12  Mar-15*,100.0,CHIF
39,Net fx,12  Mar-15*,-100.0,CHIF
40,From Operations,12  Mar-15*,-22637.0,CHIF
41,From Investments,12  Mar-15*,-402.0,CHIF
42,From Financial Activity,12  Mar-15*,18189.0,CHIF
43,Net Cashflow,12  Mar-15*,-4851.0,CHIF
44,Net Sales,12  Mar-16*,42138.0,CHIF
45,Other income,12  Mar-16*,22.0,CHIF
46,Total revenues,12  Mar-16*,42160.0,CHIF
47,Gross profit,12  Mar-16*,29469.0,CHIF
48,Depreciation,12  Mar-16*,217.0,CHIF
49,Interest,12  Mar-16*,20480.0,CHIF
50,Profit before tax,12  Mar-16*,8795.0,CHIF
51,Minority Interest,12  Mar-16*,0.0,CHIF
52,Prior Period Items,12  Mar-16*,0.0,CHIF
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,CHIF
54,Tax,12  Mar-16*,3048.0,CHIF
55,Profit after tax,12  Mar-16*,5747.0,CHIF
56,Gross profit margin,12  Mar-16*,69.9,CHIF
57,Effective tax rate,12  Mar-16*,34.7,CHIF
58,Net profit margin,12  Mar-16*,13.6,CHIF
59,Current assets,12  Mar-16*,87649.0,CHIF
60,Current liabilities,12  Mar-16*,127100.0,CHIF
61,Net working cap to sales,12  Mar-16*,-93.6,CHIF
62,Current ratio,12  Mar-16*,0.7,CHIF
63,Inventory Days,12  Mar-16*,0.0,CHIF
64,Debtors Days,12  Mar-16*,1.0,CHIF
65,Net fixed assets,12  Mar-16*,1133.0,CHIF
66,Share capital,12  Mar-16*,1562.0,CHIF
67,"""Free"" reserves",12  Mar-16*,30430.0,CHIF
68,Net worth,12  Mar-16*,36732.0,CHIF
69,Long term debt,12  Mar-16*,109312.0,CHIF
70,Total assets,12  Mar-16*,278892.0,CHIF
71,Interest coverage,12  Mar-16*,1.4,CHIF
72,Debt to equity ratio,12  Mar-16*,3.0,CHIF
73,Sales to assets ratio,12  Mar-16*,0.2,CHIF
74,Return on assets,12  Mar-16*,9.4,CHIF
75,Return on equity,12  Mar-16*,15.6,CHIF
76,Return on capital,12  Mar-16*,20.0,CHIF
77,Exports to sales,12  Mar-16*,0.0,CHIF
78,Imports to sales,12  Mar-16*,0.0,CHIF
79,Exports (fob),12  Mar-16*,0.0,CHIF
80,Imports (cif),12  Mar-16*,0.0,CHIF
81,Fx inflow,12  Mar-16*,0.0,CHIF
82,Fx outflow,12  Mar-16*,86.0,CHIF
83,Net fx,12  Mar-16*,-86.0,CHIF
