,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,15884.0,CNPLY
1,Other income,12  Mar-15*,177.0,CNPLY
2,Total revenues,12  Mar-15*,16062.0,CNPLY
3,Gross profit,12  Mar-15*,2559.0,CNPLY
4,Depreciation,12  Mar-15*,485.0,CNPLY
5,Interest,12  Mar-15*,456.0,CNPLY
6,Profit before tax,12  Mar-15*,1796.0,CNPLY
7,Minority Interest,12  Mar-15*,-9.0,CNPLY
8,Prior Period Items,12  Mar-15*,-1.0,CNPLY
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,CNPLY
10,Tax,12  Mar-15*,296.0,CNPLY
11,Profit after tax,12  Mar-15*,1490.0,CNPLY
12,Gross profit margin,12  Mar-15*,16.1,CNPLY
13,Effective tax rate,12  Mar-15*,16.5,CNPLY
14,Net profit margin,12  Mar-15*,9.4,CNPLY
15,Current assets,12  Mar-15*,7168.0,CNPLY
16,Current liabilities,12  Mar-15*,5876.0,CNPLY
17,Net working cap to sales,12  Mar-15*,8.1,CNPLY
18,Current ratio,12  Mar-15*,1.2,CNPLY
19,Inventory Days,12  Mar-15*,76.0,CNPLY
20,Debtors Days,12  Mar-15*,62.0,CNPLY
21,Net fixed assets,12  Mar-15*,2782.0,CNPLY
22,Share capital,12  Mar-15*,223.0,CNPLY
23,"""Free"" reserves",12  Mar-15*,3522.0,CNPLY
24,Net worth,12  Mar-15*,3894.0,CNPLY
25,Long term debt,12  Mar-15*,814.0,CNPLY
26,Total assets,12  Mar-15*,10675.0,CNPLY
27,Interest coverage,12  Mar-15*,4.9,CNPLY
28,Debt to equity ratio,12  Mar-15*,0.2,CNPLY
29,Sales to assets ratio,12  Mar-15*,1.5,CNPLY
30,Return on assets,12  Mar-15*,18.2,CNPLY
31,Return on equity,12  Mar-15*,38.3,CNPLY
32,Return on capital,12  Mar-15*,47.6,CNPLY
33,Exports to sales,12  Mar-15*,4.2,CNPLY
34,Imports to sales,12  Mar-15*,28.8,CNPLY
35,Exports (fob),12  Mar-15*,660.0,CNPLY
36,Imports (cif),12  Mar-15*,4579.0,CNPLY
37,Fx inflow,12  Mar-15*,660.0,CNPLY
38,Fx outflow,12  Mar-15*,4653.0,CNPLY
39,Net fx,12  Mar-15*,-3993.0,CNPLY
40,From Operations,12  Mar-15*,1488.0,CNPLY
41,From Investments,12  Mar-15*,128.0,CNPLY
42,From Financial Activity,12  Mar-15*,-1577.0,CNPLY
