,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,20096.0,DBCL
1,Other income,12  Mar-15*,257.0,DBCL
2,Total revenues,12  Mar-15*,20353.0,DBCL
3,Gross profit,12  Mar-15*,5622.0,DBCL
4,Depreciation,12  Mar-15*,881.0,DBCL
5,Interest,12  Mar-15*,76.0,DBCL
6,Profit before tax,12  Mar-15*,4923.0,DBCL
7,Minority Interest,12  Mar-15*,0.0,DBCL
8,Prior Period Items,12  Mar-15*,0.0,DBCL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,DBCL
10,Tax,12  Mar-15*,1759.0,DBCL
11,Profit after tax,12  Mar-15*,3163.0,DBCL
12,Gross profit margin,12  Mar-15*,28.0,DBCL
13,Effective tax rate,12  Mar-15*,35.7,DBCL
14,Net profit margin,12  Mar-15*,15.7,DBCL
15,Current assets,12  Mar-15*,7049.0,DBCL
16,Current liabilities,12  Mar-15*,4449.0,DBCL
17,Net working cap to sales,12  Mar-15*,12.9,DBCL
18,Current ratio,12  Mar-15*,1.6,DBCL
19,Inventory Days,12  Mar-15*,25.0,DBCL
20,Debtors Days,12  Mar-15*,63.0,DBCL
21,Net fixed assets,12  Mar-15*,8203.0,DBCL
22,Share capital,12  Mar-15*,1837.0,DBCL
23,"""Free"" reserves",12  Mar-15*,11011.0,DBCL
24,Net worth,12  Mar-15*,12882.0,DBCL
25,Long term debt,12  Mar-15*,505.0,DBCL
26,Total assets,12  Mar-15*,19046.0,DBCL
27,Interest coverage,12  Mar-15*,66.1,DBCL
28,Debt to equity ratio,12  Mar-15*,0.0,DBCL
29,Sales to assets ratio,12  Mar-15*,1.1,DBCL
30,Return on assets,12  Mar-15*,17.0,DBCL
31,Return on equity,12  Mar-15*,24.6,DBCL
32,Return on capital,12  Mar-15*,37.3,DBCL
33,Exports to sales,12  Mar-15*,0.0,DBCL
34,Imports to sales,12  Mar-15*,7.8,DBCL
35,Exports (fob),12  Mar-15*,0.0,DBCL
36,Imports (cif),12  Mar-15*,1577.0,DBCL
37,Fx inflow,12  Mar-15*,213.0,DBCL
38,Fx outflow,12  Mar-15*,1618.0,DBCL
39,Net fx,12  Mar-15*,-1405.0,DBCL
40,From Operations,12  Mar-15*,4253.0,DBCL
41,From Investments,12  Mar-15*,-1529.0,DBCL
42,From Financial Activity,12  Mar-15*,-2051.0,DBCL
43,Net Cashflow,12  Mar-15*,674.0,DBCL
44,Net Sales,12  Mar-16*,20519.0,DBCL
45,Other income,12  Mar-16*,281.0,DBCL
46,Total revenues,12  Mar-16*,20800.0,DBCL
47,Gross profit,12  Mar-16*,5346.0,DBCL
48,Depreciation,12  Mar-16*,878.0,DBCL
49,Interest,12  Mar-16*,92.0,DBCL
50,Profit before tax,12  Mar-16*,4657.0,DBCL
51,Minority Interest,12  Mar-16*,0.0,DBCL
52,Prior Period Items,12  Mar-16*,0.0,DBCL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,DBCL
54,Tax,12  Mar-16*,1690.0,DBCL
55,Profit after tax,12  Mar-16*,2966.0,DBCL
56,Gross profit margin,12  Mar-16*,26.1,DBCL
57,Effective tax rate,12  Mar-16*,36.3,DBCL
58,Net profit margin,12  Mar-16*,14.5,DBCL
59,Current assets,12  Mar-16*,7037.0,DBCL
60,Current liabilities,12  Mar-16*,4981.0,DBCL
61,Net working cap to sales,12  Mar-16*,10.0,DBCL
62,Current ratio,12  Mar-16*,1.4,DBCL
63,Inventory Days,12  Mar-16*,30.0,DBCL
64,Debtors Days,12  Mar-16*,69.0,DBCL
65,Net fixed assets,12  Mar-16*,9370.0,DBCL
