,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,2565.0,EASUN
1,Other income,12  Mar-14*,91.0,EASUN
2,Total revenues,12  Mar-14*,2656.0,EASUN
3,Gross profit,12  Mar-14*,212.0,EASUN
4,Depreciation,12  Mar-14*,262.0,EASUN
5,Interest,12  Mar-14*,302.0,EASUN
6,Profit before tax,12  Mar-14*,-262.0,EASUN
7,Minority Interest,12  Mar-14*,-4.0,EASUN
8,Prior Period Items,12  Mar-14*,0.0,EASUN
9,Extraordinary Inc (Exp),12  Mar-14*,-37.0,EASUN
10,Tax,12  Mar-14*,8.0,EASUN
11,Profit after tax,12  Mar-14*,-311.0,EASUN
12,Gross profit margin,12  Mar-14*,8.3,EASUN
13,Effective tax rate,12  Mar-14*,-3.2,EASUN
14,Net profit margin,12  Mar-14*,-12.1,EASUN
15,Current assets,12  Mar-14*,4009.0,EASUN
16,Current liabilities,12  Mar-14*,3867.0,EASUN
17,Net working cap to sales,12  Mar-14*,5.6,EASUN
18,Current ratio,12  Mar-14*,1.0,EASUN
19,Inventory Days,12  Mar-14*,92.0,EASUN
20,Debtors Days,12  Mar-14*,394.0,EASUN
21,Net fixed assets,12  Mar-14*,2544.0,EASUN
22,Share capital,12  Mar-14*,42.0,EASUN
23,"""Free"" reserves",12  Mar-14*,1341.0,EASUN
24,Net worth,12  Mar-14*,1677.0,EASUN
25,Long term debt,12  Mar-14*,1035.0,EASUN
26,Total assets,12  Mar-14*,6722.0,EASUN
27,Interest coverage,12  Mar-14*,0.1,EASUN
28,Debt to equity ratio,12  Mar-14*,0.6,EASUN
29,Sales to assets ratio,12  Mar-14*,0.4,EASUN
30,Return on assets,12  Mar-14*,-0.1,EASUN
31,Return on equity,12  Mar-14*,-18.6,EASUN
32,Return on capital,12  Mar-14*,0.0,EASUN
33,Exports to sales,12  Mar-14*,3.0,EASUN
34,Imports to sales,12  Mar-14*,9.5,EASUN
35,Exports (fob),12  Mar-14*,77.0,EASUN
36,Imports (cif),12  Mar-14*,243.0,EASUN
37,Fx inflow,12  Mar-14*,77.0,EASUN
38,Fx outflow,12  Mar-14*,246.0,EASUN
39,Net fx,12  Mar-14*,-169.0,EASUN
40,From Operations,12  Mar-14*,288.0,EASUN
41,From Investments,12  Mar-14*,-225.0,EASUN
42,From Financial Activity,12  Mar-14*,-66.0,EASUN
43,Net Cashflow,12  Mar-14*,-3.0,EASUN
44,Net Sales,12  Mar-15*,1179.0,EASUN
45,Other income,12  Mar-15*,87.0,EASUN
46,Total revenues,12  Mar-15*,1266.0,EASUN
47,Gross profit,12  Mar-15*,-33.0,EASUN
48,Depreciation,12  Mar-15*,205.0,EASUN
49,Interest,12  Mar-15*,265.0,EASUN
50,Profit before tax,12  Mar-15*,-417.0,EASUN
51,Minority Interest,12  Mar-15*,29.0,EASUN
52,Prior Period Items,12  Mar-15*,0.0,EASUN
53,Extraordinary Inc (Exp),12  Mar-15*,-60.0,EASUN
54,Tax,12  Mar-15*,-43.0,EASUN
55,Profit after tax,12  Mar-15*,-405.0,EASUN
56,Gross profit margin,12  Mar-15*,-2.8,EASUN
