,No. of Mths  Year Ending,variable,value,name
0,Net Sales,15  Mar-16*,61735.0,ECHM
1,Other income,15  Mar-16*,1781.0,ECHM
2,Total revenues,15  Mar-16*,63516.0,ECHM
3,Gross profit,15  Mar-16*,16896.0,ECHM
4,Depreciation,15  Mar-16*,1366.0,ECHM
5,Interest,15  Mar-16*,21.0,ECHM
6,Profit before tax,15  Mar-16*,17290.0,ECHM
7,Minority Interest,15  Mar-16*,1479.0,ECHM
8,Prior Period Items,15  Mar-16*,0.0,ECHM
9,Extraordinary Inc (Exp),15  Mar-16*,0.0,ECHM
10,Tax,15  Mar-16*,5389.0,ECHM
11,Profit after tax,15  Mar-16*,13380.0,ECHM
12,Gross profit margin,15  Mar-16*,27.4,ECHM
13,Effective tax rate,15  Mar-16*,31.2,ECHM
14,Net profit margin,15  Mar-16*,21.7,ECHM
15,Current assets,15  Mar-16*,49390.0,ECHM
16,Current liabilities,15  Mar-16*,12859.0,ECHM
17,Net working cap to sales,15  Mar-16*,59.2,ECHM
18,Current ratio,15  Mar-16*,3.8,ECHM
19,Inventory Days,15  Mar-16*,18.0,ECHM
20,Debtors Days,15  Mar-16*,2.0,ECHM
21,Net fixed assets,15  Mar-16*,8275.0,ECHM
22,Share capital,15  Mar-16*,272.0,ECHM
23,"""Free"" reserves",15  Mar-16*,34369.0,ECHM
24,Net worth,15  Mar-16*,34643.0,ECHM
25,Long term debt,15  Mar-16*,0.0,ECHM
26,Total assets,15  Mar-16*,49390.0,ECHM
27,Interest coverage,15  Mar-16*,816.6,ECHM
28,Debt to equity ratio,15  Mar-16*,0.0,ECHM
29,Sales to assets ratio,15  Mar-16*,1.2,ECHM
30,Return on assets,15  Mar-16*,27.1,ECHM
31,Return on equity,15  Mar-16*,38.6,ECHM
32,Return on capital,15  Mar-16*,54.2,ECHM
33,Exports to sales,15  Mar-16*,2.9,ECHM
34,Imports to sales,15  Mar-16*,2.5,ECHM
35,Exports (fob),15  Mar-16*,1775.0,ECHM
36,Imports (cif),15  Mar-16*,1558.0,ECHM
37,Fx inflow,15  Mar-16*,1775.0,ECHM
38,Fx outflow,15  Mar-16*,1993.0,ECHM
39,Net fx,15  Mar-16*,-218.0,ECHM
40,From Operations,15  Mar-16*,14631.0,ECHM
41,From Investments,15  Mar-16*,-10014.0,ECHM
42,From Financial Activity,15  Mar-16*,-4655.0,ECHM
43,Net Cashflow,15  Mar-16*,-38.0,ECHM
44,Net Sales,12  Mar-17*,70030.0,ECHM
45,Other income,12  Mar-17*,2273.0,ECHM
46,Total revenues,12  Mar-17*,72303.0,ECHM
47,Gross profit,12  Mar-17*,21740.0,ECHM
48,Depreciation,12  Mar-17*,1538.0,ECHM
49,Interest,12  Mar-17*,36.0,ECHM
50,Profit before tax,12  Mar-17*,22439.0,ECHM
51,Minority Interest,12  Mar-17*,1895.0,ECHM
52,Prior Period Items,12  Mar-17*,0.0,ECHM
53,Extraordinary Inc (Exp),12  Mar-17*,0.0,ECHM
54,Tax,12  Mar-17*,7203.0,ECHM
55,Profit after tax,12  Mar-17*,17131.0,ECHM
56,Gross profit margin,12  Mar-17*,31.0,ECHM
57,Effective tax rate,12  Mar-17*,32.1,ECHM
58,Net profit margin,12  Mar-17*,24.5,ECHM
59,Current assets,12  Mar-17*,13809.0,ECHM
60,Current liabilities,12  Mar-17*,15298.0,ECHM
61,Net working cap to sales,12  Mar-17*,-2.1,ECHM
62,Current ratio,12  Mar-17*,0.9,ECHM
63,Inventory Days,12  Mar-17*,18.0,ECHM
64,Debtors Days,12  Mar-17*,3.0,ECHM
65,Net fixed assets,12  Mar-17*,11378.0,ECHM
