,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,38798.0,EDWS
1,Other income,12  Mar-15*,143.0,EDWS
2,Total revenues,12  Mar-15*,38941.0,EDWS
3,Gross profit,12  Mar-15*,23988.0,EDWS
4,Depreciation,12  Mar-15*,716.0,EDWS
5,Interest,12  Mar-15*,18315.0,EDWS
6,Profit before tax,12  Mar-15*,5099.0,EDWS
7,Minority Interest,12  Mar-15*,24.0,EDWS
8,Prior Period Items,12  Mar-15*,181.0,EDWS
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,EDWS
10,Tax,12  Mar-15*,2017.0,EDWS
11,Profit after tax,12  Mar-15*,3287.0,EDWS
12,Gross profit margin,12  Mar-15*,61.8,EDWS
13,Effective tax rate,12  Mar-15*,39.6,EDWS
14,Net profit margin,12  Mar-15*,8.5,EDWS
15,Current assets,12  Mar-15*,203575.0,EDWS
16,Current liabilities,12  Mar-15*,185109.0,EDWS
17,Net working cap to sales,12  Mar-15*,47.6,EDWS
18,Current ratio,12  Mar-15*,1.1,EDWS
19,Inventory Days,12  Mar-15*,819.0,EDWS
20,Debtors Days,12  Mar-15*,41.0,EDWS
21,Net fixed assets,12  Mar-15*,6658.0,EDWS
22,Share capital,12  Mar-15*,792.0,EDWS
23,"""Free"" reserves",12  Mar-15*,24238.0,EDWS
24,Net worth,12  Mar-15*,31563.0,EDWS
25,Long term debt,12  Mar-15*,80798.0,EDWS
26,Total assets,12  Mar-15*,304809.0,EDWS
27,Interest coverage,12  Mar-15*,1.3,EDWS
28,Debt to equity ratio,12  Mar-15*,2.6,EDWS
29,Sales to assets ratio,12  Mar-15*,0.1,EDWS
30,Return on assets,12  Mar-15*,7.1,EDWS
31,Return on equity,12  Mar-15*,10.4,EDWS
32,Return on capital,12  Mar-15*,21.0,EDWS
33,Exports to sales,12  Mar-15*,0.0,EDWS
34,Imports to sales,12  Mar-15*,0.0,EDWS
35,Exports (fob),12  Mar-15*,0.0,EDWS
36,Imports (cif),12  Mar-15*,0.0,EDWS
37,Fx inflow,12  Mar-15*,128.0,EDWS
38,Fx outflow,12  Mar-15*,30.0,EDWS
39,Net fx,12  Mar-15*,98.0,EDWS
40,From Operations,12  Mar-15*,-91832.0,EDWS
41,From Investments,12  Mar-15*,-8625.0,EDWS
42,From Financial Activity,12  Mar-15*,100143.0,EDWS
43,Net Cashflow,12  Mar-15*,-315.0,EDWS
44,Net Sales,12  Mar-16*,52539.0,EDWS
45,Other income,12  Mar-16*,141.0,EDWS
46,Total revenues,12  Mar-16*,52681.0,EDWS
47,Gross profit,12  Mar-16*,32673.0,EDWS
48,Depreciation,12  Mar-16*,902.0,EDWS
49,Interest,12  Mar-16*,26201.0,EDWS
50,Profit before tax,12  Mar-16*,5712.0,EDWS
51,Minority Interest,12  Mar-16*,309.0,EDWS
52,Prior Period Items,12  Mar-16*,477.0,EDWS
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,EDWS
54,Tax,12  Mar-16*,2354.0,EDWS
55,Profit after tax,12  Mar-16*,4144.0,EDWS
56,Gross profit margin,12  Mar-16*,62.2,EDWS
57,Effective tax rate,12  Mar-16*,41.2,EDWS
