,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,16688.0,EIH
1,Other income,12  Mar-15*,289.0,EIH
2,Total revenues,12  Mar-15*,16977.0,EIH
3,Gross profit,12  Mar-15*,3301.0,EIH
4,Depreciation,12  Mar-15*,1678.0,EIH
5,Interest,12  Mar-15*,462.0,EIH
6,Profit before tax,12  Mar-15*,1451.0,EIH
7,Minority Interest,12  Mar-15*,-130.0,EIH
8,Prior Period Items,12  Mar-15*,91.0,EIH
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,EIH
10,Tax,12  Mar-15*,780.0,EIH
11,Profit after tax,12  Mar-15*,631.0,EIH
12,Gross profit margin,12  Mar-15*,19.8,EIH
13,Effective tax rate,12  Mar-15*,53.8,EIH
14,Net profit margin,12  Mar-15*,3.8,EIH
15,Current assets,12  Mar-15*,4888.0,EIH
16,Current liabilities,12  Mar-15*,4268.0,EIH
17,Net working cap to sales,12  Mar-15*,3.7,EIH
18,Current ratio,12  Mar-15*,1.1,EIH
19,Inventory Days,12  Mar-15*,10.0,EIH
20,Debtors Days,12  Mar-15*,46.0,EIH
21,Net fixed assets,12  Mar-15*,23681.0,EIH
22,Share capital,12  Mar-15*,1143.0,EIH
23,"""Free"" reserves",12  Mar-15*,26148.0,EIH
24,Net worth,12  Mar-15*,27291.0,EIH
25,Long term debt,12  Mar-15*,1636.0,EIH
26,Total assets,12  Mar-15*,36302.0,EIH
27,Interest coverage,12  Mar-15*,4.1,EIH
28,Debt to equity ratio,12  Mar-15*,0.1,EIH
29,Sales to assets ratio,12  Mar-15*,0.5,EIH
30,Return on assets,12  Mar-15*,3.0,EIH
31,Return on equity,12  Mar-15*,2.3,EIH
32,Return on capital,12  Mar-15*,6.5,EIH
33,Exports to sales,12  Mar-15*,0.0,EIH
34,Imports to sales,12  Mar-15*,1.4,EIH
35,Exports (fob),12  Mar-15*,0.0,EIH
36,Imports (cif),12  Mar-15*,236.0,EIH
37,Fx inflow,12  Mar-15*,5148.0,EIH
38,Fx outflow,12  Mar-15*,573.0,EIH
39,Net fx,12  Mar-15*,4575.0,EIH
40,From Operations,12  Mar-15*,3211.0,EIH
41,From Investments,12  Mar-15*,-1544.0,EIH
42,From Financial Activity,12  Mar-15*,-1512.0,EIH
43,Net Cashflow,12  Mar-15*,156.0,EIH
44,Net Sales,12  Mar-16*,16589.0,EIH
45,Other income,12  Mar-16*,394.0,EIH
46,Total revenues,12  Mar-16*,16983.0,EIH
47,Gross profit,12  Mar-16*,3445.0,EIH
48,Depreciation,12  Mar-16*,1334.0,EIH
49,Interest,12  Mar-16*,284.0,EIH
50,Profit before tax,12  Mar-16*,2222.0,EIH
51,Minority Interest,12  Mar-16*,204.0,EIH
52,Prior Period Items,12  Mar-16*,0.0,EIH
53,Extraordinary Inc (Exp),12  Mar-16*,-183.0,EIH
54,Tax,12  Mar-16*,813.0,EIH
55,Profit after tax,12  Mar-16*,1430.0,EIH
56,Gross profit margin,12  Mar-16*,20.8,EIH
57,Effective tax rate,12  Mar-16*,36.6,EIH
58,Net profit margin,12  Mar-16*,8.6,EIH
59,Current assets,12  Mar-16*,4720.0,EIH
60,Current liabilities,12  Mar-16*,4821.0,EIH
61,Net working cap to sales,12  Mar-16*,-0.6,EIH
62,Current ratio,12  Mar-16*,1.0,EIH
63,Inventory Days,12  Mar-16*,11.0,EIH
64,Debtors Days,12  Mar-16*,44.0,EIH
65,Net fixed assets,12  Mar-16*,23456.0,EIH
66,Share capital,12  Mar-16*,1143.0,EIH
67,"""Free"" reserves",12  Mar-16*,26163.0,EIH
68,Net worth,12  Mar-16*,27306.0,EIH
69,Long term debt,12  Mar-16*,902.0,EIH
70,Total assets,12  Mar-16*,36162.0,EIH
71,Interest coverage,12  Mar-16*,8.8,EIH
72,Debt to equity ratio,12  Mar-16*,0.0,EIH
73,Sales to assets ratio,12  Mar-16*,0.5,EIH
74,Return on assets,12  Mar-16*,4.7,EIH
75,Return on equity,12  Mar-16*,5.2,EIH
76,Return on capital,12  Mar-16*,9.0,EIH
77,Exports to sales,12  Mar-16*,0.1,EIH
78,Imports to sales,12  Mar-16*,1.3,EIH
79,Exports (fob),12  Mar-16*,23.0,EIH
80,Imports (cif),12  Mar-16*,217.0,EIH
81,Fx inflow,12  Mar-16*,5625.0,EIH
82,Fx outflow,12  Mar-16*,592.0,EIH
83,Net fx,12  Mar-16*,5033.0,EIH
84,From Operations,12  Mar-16*,2313.0,EIH
85,From Investments,12  Mar-16*,-580.0,EIH
86,From Financial Activity,12  Mar-16*,-1934.0,EIH
87,Net Cashflow,12  Mar-16*,-202.0,EIH
88,Net Sales,12  Mar-17*,15268.0,EIH
89,Other income,12  Mar-17*,896.0,EIH
90,Total revenues,12  Mar-17*,16164.0,EIH
91,Gross profit,12  Mar-17*,2611.0,EIH
92,Depreciation,12  Mar-17*,1281.0,EIH
93,Interest,12  Mar-17*,179.0,EIH
94,Profit before tax,12  Mar-17*,2047.0,EIH
95,Minority Interest,12  Mar-17*,118.0,EIH
96,Prior Period Items,12  Mar-17*,0.0,EIH
97,Extraordinary Inc (Exp),12  Mar-17*,-382.0,EIH
98,Tax,12  Mar-17*,600.0,EIH
99,Profit after tax,12  Mar-17*,1183.0,EIH
100,Gross profit margin,12  Mar-17*,17.1,EIH
101,Effective tax rate,12  Mar-17*,29.3,EIH
102,Net profit margin,12  Mar-17*,7.7,EIH
103,Current assets,12  Mar-17*,5361.0,EIH
104,Current liabilities,12  Mar-17*,4161.0,EIH
105,Net working cap to sales,12  Mar-17*,7.9,EIH
106,Current ratio,12  Mar-17*,1.3,EIH
107,Inventory Days,12  Mar-17*,12.0,EIH
108,Debtors Days,12  Mar-17*,43.0,EIH
109,Net fixed assets,12  Mar-17*,24135.0,EIH
110,Share capital,12  Mar-17*,1143.0,EIH
111,"""Free"" reserves",12  Mar-17*,26880.0,EIH
112,Net worth,12  Mar-17*,28024.0,EIH
113,Long term debt,12  Mar-17*,2142.0,EIH
114,Total assets,12  Mar-17*,36892.0,EIH
115,Interest coverage,12  Mar-17*,12.5,EIH
116,Debt to equity ratio,12  Mar-17*,0.1,EIH
117,Sales to assets ratio,12  Mar-17*,0.4,EIH
118,Return on assets,12  Mar-17*,3.7,EIH
119,Return on equity,12  Mar-17*,4.2,EIH
