,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,13143.0,ELEQ
1,Other income,12  Mar-15*,100.0,ELEQ
2,Total revenues,12  Mar-15*,13243.0,ELEQ
3,Gross profit,12  Mar-15*,1107.0,ELEQ
4,Depreciation,12  Mar-15*,366.0,ELEQ
5,Interest,12  Mar-15*,158.0,ELEQ
6,Profit before tax,12  Mar-15*,684.0,ELEQ
7,Minority Interest,12  Mar-15*,0.0,ELEQ
8,Prior Period Items,12  Mar-15*,0.0,ELEQ
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,ELEQ
10,Tax,12  Mar-15*,203.0,ELEQ
11,Profit after tax,12  Mar-15*,481.0,ELEQ
12,Gross profit margin,12  Mar-15*,8.4,ELEQ
13,Effective tax rate,12  Mar-15*,29.7,ELEQ
14,Net profit margin,12  Mar-15*,3.7,ELEQ
15,Current assets,12  Mar-15*,6494.0,ELEQ
16,Current liabilities,12  Mar-15*,4553.0,ELEQ
17,Net working cap to sales,12  Mar-15*,14.8,ELEQ
18,Current ratio,12  Mar-15*,1.4,ELEQ
19,Inventory Days,12  Mar-15*,74.0,ELEQ
20,Debtors Days,12  Mar-15*,68.0,ELEQ
21,Net fixed assets,12  Mar-15*,4830.0,ELEQ
22,Share capital,12  Mar-15*,159.0,ELEQ
23,"""Free"" reserves",12  Mar-15*,4921.0,ELEQ
24,Net worth,12  Mar-15*,5080.0,ELEQ
25,Long term debt,12  Mar-15*,1688.0,ELEQ
26,Total assets,12  Mar-15*,11606.0,ELEQ
27,Interest coverage,12  Mar-15*,5.3,ELEQ
28,Debt to equity ratio,12  Mar-15*,0.3,ELEQ
29,Sales to assets ratio,12  Mar-15*,1.1,ELEQ
30,Return on assets,12  Mar-15*,5.5,ELEQ
31,Return on equity,12  Mar-15*,9.5,ELEQ
32,Return on capital,12  Mar-15*,12.4,ELEQ
33,Exports to sales,12  Mar-15*,12.4,ELEQ
34,Imports to sales,12  Mar-15*,6.1,ELEQ
35,Exports (fob),12  Mar-15*,1628.0,ELEQ
36,Imports (cif),12  Mar-15*,796.0,ELEQ
37,Fx inflow,12  Mar-15*,1628.0,ELEQ
38,Fx outflow,12  Mar-15*,870.0,ELEQ
39,Net fx,12  Mar-15*,758.0,ELEQ
40,From Operations,12  Mar-15*,780.0,ELEQ
41,From Investments,12  Mar-15*,-168.0,ELEQ
42,From Financial Activity,12  Mar-15*,-517.0,ELEQ
43,Net Cashflow,12  Mar-15*,96.0,ELEQ
44,Net Sales,12  Mar-16*,14008.0,ELEQ
45,Other income,12  Mar-16*,91.0,ELEQ
46,Total revenues,12  Mar-16*,14099.0,ELEQ
47,Gross profit,12  Mar-16*,1251.0,ELEQ
48,Depreciation,12  Mar-16*,436.0,ELEQ
49,Interest,12  Mar-16*,122.0,ELEQ
50,Profit before tax,12  Mar-16*,784.0,ELEQ
51,Minority Interest,12  Mar-16*,13.0,ELEQ
52,Prior Period Items,12  Mar-16*,0.0,ELEQ
53,Extraordinary Inc (Exp),12  Mar-16*,-44.0,ELEQ
54,Tax,12  Mar-16*,244.0,ELEQ
55,Profit after tax,12  Mar-16*,509.0,ELEQ
56,Gross profit margin,12  Mar-16*,8.9,ELEQ
57,Effective tax rate,12  Mar-16*,31.1,ELEQ
58,Net profit margin,12  Mar-16*,3.6,ELEQ
59,Current assets,12  Mar-16*,6198.0,ELEQ
60,Current liabilities,12  Mar-16*,4079.0,ELEQ
61,Net working cap to sales,12  Mar-16*,15.1,ELEQ
62,Current ratio,12  Mar-16*,1.5,ELEQ
63,Inventory Days,12  Mar-16*,59.0,ELEQ
64,Debtors Days,12  Mar-16*,66.0,ELEQ
65,Net fixed assets,12  Mar-16*,4662.0,ELEQ
66,Share capital,12  Mar-16*,159.0,ELEQ
67,"""Free"" reserves",12  Mar-16*,5304.0,ELEQ
68,Net worth,12  Mar-16*,5462.0,ELEQ
69,Long term debt,12  Mar-16*,1391.0,ELEQ
70,Total assets,12  Mar-16*,11208.0,ELEQ
71,Interest coverage,12  Mar-16*,7.4,ELEQ
72,Debt to equity ratio,12  Mar-16*,0.3,ELEQ
73,Sales to assets ratio,12  Mar-16*,1.2,ELEQ
74,Return on assets,12  Mar-16*,5.6,ELEQ
75,Return on equity,12  Mar-16*,9.3,ELEQ
76,Return on capital,12  Mar-16*,12.8,ELEQ
77,Exports to sales,12  Mar-16*,11.0,ELEQ
78,Imports to sales,12  Mar-16*,5.0,ELEQ
79,Exports (fob),12  Mar-16*,1545.0,ELEQ
80,Imports (cif),12  Mar-16*,706.0,ELEQ
