,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,23230.0,ESPK
1,Other income,12  Mar-15*,210.0,ESPK
2,Total revenues,12  Mar-15*,23439.0,ESPK
3,Gross profit,12  Mar-15*,3908.0,ESPK
4,Depreciation,12  Mar-15*,1318.0,ESPK
5,Interest,12  Mar-15*,794.0,ESPK
6,Profit before tax,12  Mar-15*,2006.0,ESPK
7,Minority Interest,12  Mar-15*,-47.0,ESPK
8,Prior Period Items,12  Mar-15*,3.0,ESPK
9,Extraordinary Inc (Exp),12  Mar-15*,55.0,ESPK
10,Tax,12  Mar-15*,611.0,ESPK
11,Profit after tax,12  Mar-15*,1406.0,ESPK
12,Gross profit margin,12  Mar-15*,16.8,ESPK
13,Effective tax rate,12  Mar-15*,30.4,ESPK
14,Net profit margin,12  Mar-15*,6.1,ESPK
15,Current assets,12  Mar-15*,10231.0,ESPK
16,Current liabilities,12  Mar-15*,6473.0,ESPK
17,Net working cap to sales,12  Mar-15*,16.2,ESPK
18,Current ratio,12  Mar-15*,1.6,ESPK
19,Inventory Days,12  Mar-15*,36.0,ESPK
20,Debtors Days,12  Mar-15*,59.0,ESPK
21,Net fixed assets,12  Mar-15*,9760.0,ESPK
22,Share capital,12  Mar-15*,314.0,ESPK
23,"""Free"" reserves",12  Mar-15*,7516.0,ESPK
24,Net worth,12  Mar-15*,7830.0,ESPK
25,Long term debt,12  Mar-15*,6434.0,ESPK
26,Total assets,12  Mar-15*,21275.0,ESPK
27,Interest coverage,12  Mar-15*,3.5,ESPK
28,Debt to equity ratio,12  Mar-15*,0.8,ESPK
29,Sales to assets ratio,12  Mar-15*,1.1,ESPK
30,Return on assets,12  Mar-15*,10.3,ESPK
31,Return on equity,12  Mar-15*,18.0,ESPK
32,Return on capital,12  Mar-15*,19.7,ESPK
33,Exports to sales,12  Mar-15*,4.3,ESPK
34,Imports to sales,12  Mar-15*,10.9,ESPK
35,Exports (fob),12  Mar-15*,998.0,ESPK
