,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Dec-13,2269.0,FSCI
1,Other income,12  Dec-13,26.0,FSCI
2,Total revenues,12  Dec-13,2295.0,FSCI
3,Gross profit,12  Dec-13,300.0,FSCI
4,Depreciation,12  Dec-13,51.0,FSCI
5,Interest,12  Dec-13,3.0,FSCI
6,Profit before tax,12  Dec-13,271.0,FSCI
7,Minority Interest,12  Dec-13,0.0,FSCI
8,Prior Period Items,12  Dec-13,0.0,FSCI
9,Extraordinary Inc (Exp),12  Dec-13,0.0,FSCI
10,Tax,12  Dec-13,93.0,FSCI
11,Profit after tax,12  Dec-13,178.0,FSCI
12,Gross profit margin,12  Dec-13,13.2,FSCI
13,Effective tax rate,12  Dec-13,34.3,FSCI
14,Net profit margin,12  Dec-13,7.9,FSCI
15,Current assets,12  Dec-13,1057.0,FSCI
16,Current liabilities,12  Dec-13,495.0,FSCI
17,Net working cap to sales,12  Dec-13,24.8,FSCI
18,Current ratio,12  Dec-13,2.1,FSCI
19,Inventory Days,12  Dec-13,19.0,FSCI
20,Debtors Days,12  Dec-13,103.0,FSCI
21,Net fixed assets,12  Dec-13,278.0,FSCI
22,Share capital,12  Dec-13,64.0,FSCI
23,"""Free"" reserves",12  Dec-13,826.0,FSCI
24,Net worth,12  Dec-13,890.0,FSCI
25,Long term debt,12  Dec-13,58.0,FSCI
26,Total assets,12  Dec-13,1467.0,FSCI
27,Interest coverage,12  Dec-13,105.3,FSCI
28,Debt to equity ratio,12  Dec-13,0.1,FSCI
29,Sales to assets ratio,12  Dec-13,1.5,FSCI
30,Return on assets,12  Dec-13,12.3,FSCI
31,Return on equity,12  Dec-13,20.0,FSCI
32,Return on capital,12  Dec-13,28.9,FSCI
33,Exports to sales,12  Dec-13,4.6,FSCI
34,Imports to sales,12  Dec-13,8.0,FSCI
35,Exports (fob),12  Dec-13,105.0,FSCI
36,Imports (cif),12  Dec-13,182.0,FSCI
37,Fx inflow,12  Dec-13,157.0,FSCI
