,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,10128.0,GATE
1,Other income,12  Mar-14*,171.0,GATE
2,Total revenues,12  Mar-14*,10299.0,GATE
3,Gross profit,12  Mar-14*,2572.0,GATE
4,Depreciation,12  Mar-14*,801.0,GATE
5,Interest,12  Mar-14*,279.0,GATE
6,Profit before tax,12  Mar-14*,1662.0,GATE
7,Minority Interest,12  Mar-14*,-114.0,GATE
8,Prior Period Items,12  Mar-14*,5.0,GATE
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,GATE
10,Tax,12  Mar-14*,194.0,GATE
11,Profit after tax,12  Mar-14*,1358.0,GATE
12,Gross profit margin,12  Mar-14*,25.4,GATE
13,Effective tax rate,12  Mar-14*,11.7,GATE
14,Net profit margin,12  Mar-14*,13.4,GATE
15,Current assets,12  Mar-14*,2859.0,GATE
16,Current liabilities,12  Mar-14*,2255.0,GATE
17,Net working cap to sales,12  Mar-14*,6.0,GATE
18,Current ratio,12  Mar-14*,1.3,GATE
19,Inventory Days,12  Mar-14*,0.0,GATE
20,Debtors Days,12  Mar-14*,41.0,GATE
21,Net fixed assets,12  Mar-14*,12788.0,GATE
22,Share capital,12  Mar-14*,1086.0,GATE
23,"""Free"" reserves",12  Mar-14*,7277.0,GATE
24,Net worth,12  Mar-14*,8366.0,GATE
25,Long term debt,12  Mar-14*,2222.0,GATE
26,Total assets,12  Mar-14*,17162.0,GATE
27,Interest coverage,12  Mar-14*,7.0,GATE
28,Debt to equity ratio,12  Mar-14*,0.3,GATE
29,Sales to assets ratio,12  Mar-14*,0.6,GATE
30,Return on assets,12  Mar-14*,9.5,GATE
31,Return on equity,12  Mar-14*,16.2,GATE
32,Return on capital,12  Mar-14*,17.3,GATE
33,Exports to sales,12  Mar-14*,0.0,GATE
34,Imports to sales,12  Mar-14*,0.0,GATE
35,Exports (fob),12  Mar-14*,0.0,GATE
36,Imports (cif),12  Mar-14*,0.0,GATE
37,Fx inflow,12  Mar-14*,0.0,GATE
38,Fx outflow,12  Mar-14*,88.0,GATE
39,Net fx,12  Mar-14*,-88.0,GATE
40,From Operations,12  Mar-14*,2098.0,GATE
41,From Investments,12  Mar-14*,-2005.0,GATE
