,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,25870.0,GDFR
1,Other income,12  Mar-15*,318.0,GDFR
2,Total revenues,12  Mar-15*,26188.0,GDFR
3,Gross profit,12  Mar-15*,3666.0,GDFR
4,Depreciation,12  Mar-15*,1082.0,GDFR
5,Interest,12  Mar-15*,192.0,GDFR
6,Profit before tax,12  Mar-15*,2711.0,GDFR
7,Minority Interest,12  Mar-15*,3.0,GDFR
8,Prior Period Items,12  Mar-15*,6.0,GDFR
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,GDFR
10,Tax,12  Mar-15*,886.0,GDFR
11,Profit after tax,12  Mar-15*,1833.0,GDFR
12,Gross profit margin,12  Mar-15*,14.2,GDFR
13,Effective tax rate,12  Mar-15*,32.7,GDFR
14,Net profit margin,12  Mar-15*,7.1,GDFR
15,Current assets,12  Mar-15*,10495.0,GDFR
16,Current liabilities,12  Mar-15*,6374.0,GDFR
17,Net working cap to sales,12  Mar-15*,15.9,GDFR
18,Current ratio,12  Mar-15*,1.6,GDFR
19,Inventory Days,12  Mar-15*,114.0,GDFR
20,Debtors Days,12  Mar-15*,18.0,GDFR
21,Net fixed assets,12  Mar-15*,7182.0,GDFR
22,Share capital,12  Mar-15*,104.0,GDFR
23,"""Free"" reserves",12  Mar-15*,14269.0,GDFR
24,Net worth,12  Mar-15*,14373.0,GDFR
25,Long term debt,12  Mar-15*,313.0,GDFR
26,Total assets,12  Mar-15*,21966.0,GDFR
27,Interest coverage,12  Mar-15*,15.2,GDFR
28,Debt to equity ratio,12  Mar-15*,0.0,GDFR
29,Sales to assets ratio,12  Mar-15*,1.2,GDFR
30,Return on assets,12  Mar-15*,9.2,GDFR
31,Return on equity,12  Mar-15*,12.8,GDFR
32,Return on capital,12  Mar-15*,19.8,GDFR
33,Exports to sales,12  Mar-15*,23.2,GDFR
34,Imports to sales,12  Mar-15*,4.3,GDFR
35,Exports (fob),12  Mar-15*,6012.0,GDFR
36,Imports (cif),12  Mar-15*,1107.0,GDFR
37,Fx inflow,12  Mar-15*,6106.0,GDFR
38,Fx outflow,12  Mar-15*,1758.0,GDFR
39,Net fx,12  Mar-15*,4348.0,GDFR
40,From Operations,12  Mar-15*,635.0,GDFR
41,From Investments,12  Mar-15*,-323.0,GDFR
42,From Financial Activity,12  Mar-15*,-306.0,GDFR
