,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Dec-14,15829.0,GDYR
1,Other income,12  Dec-14,291.0,GDYR
2,Total revenues,12  Dec-14,16119.0,GDYR
3,Gross profit,12  Dec-14,1564.0,GDYR
4,Depreciation,12  Dec-14,285.0,GDYR
5,Interest,12  Dec-14,34.0,GDYR
6,Profit before tax,12  Dec-14,1535.0,GDYR
7,Minority Interest,12  Dec-14,0.0,GDYR
8,Prior Period Items,12  Dec-14,0.0,GDYR
9,Extraordinary Inc (Exp),12  Dec-14,0.0,GDYR
10,Tax,12  Dec-14,523.0,GDYR
11,Profit after tax,12  Dec-14,1012.0,GDYR
12,Gross profit margin,12  Dec-14,9.9,GDYR
13,Effective tax rate,12  Dec-14,34.0,GDYR
14,Net profit margin,12  Dec-14,6.4,GDYR
15,Current assets,12  Dec-14,6161.0,GDYR
16,Current liabilities,12  Dec-14,3345.0,GDYR
17,Net working cap to sales,12  Dec-14,17.8,GDYR
18,Current ratio,12  Dec-14,1.8,GDYR
19,Inventory Days,12  Dec-14,28.0,GDYR
20,Debtors Days,12  Dec-14,26.0,GDYR
21,Net fixed assets,12  Dec-14,2576.0,GDYR
22,Share capital,12  Dec-14,231.0,GDYR
23,"""Free"" reserves",12  Dec-14,4993.0,GDYR
24,Net worth,12  Dec-14,5224.0,GDYR
25,Long term debt,12  Dec-14,0.0,GDYR
26,Total assets,12  Dec-14,9020.0,GDYR
27,Interest coverage,12  Dec-14,46.0,GDYR
28,Debt to equity ratio,12  Dec-14,0.0,GDYR
29,Sales to assets ratio,12  Dec-14,1.8,GDYR
30,Return on assets,12  Dec-14,11.6,GDYR
31,Return on equity,12  Dec-14,19.4,GDYR
32,Return on capital,12  Dec-14,30.0,GDYR
33,Exports to sales,12  Dec-14,1.1,GDYR
34,Imports to sales,12  Dec-14,15.1,GDYR
35,Exports (fob),12  Dec-14,173.0,GDYR
36,Imports (cif),12  Dec-14,2387.0,GDYR
37,Fx inflow,12  Dec-14,231.0,GDYR
38,Fx outflow,12  Dec-14,3482.0,GDYR
39,Net fx,12  Dec-14,-3251.0,GDYR
40,From Operations,12  Dec-14,994.0,GDYR
41,From Investments,12  Dec-14,1163.0,GDYR
42,From Financial Activity,12  Dec-14,-274.0,GDYR
43,Net Cashflow,12  Dec-14,1882.0,GDYR
44,Net Sales,15  Mar-16,17303.0,GDYR
45,Other income,15  Mar-16,377.0,GDYR
46,Total revenues,15  Mar-16,17680.0,GDYR
47,Gross profit,15  Mar-16,1964.0,GDYR
48,Depreciation,15  Mar-16,465.0,GDYR
49,Interest,15  Mar-16,32.0,GDYR
50,Profit before tax,15  Mar-16,1843.0,GDYR
51,Minority Interest,15  Mar-16,0.0,GDYR
52,Prior Period Items,15  Mar-16,0.0,GDYR
53,Extraordinary Inc (Exp),15  Mar-16,0.0,GDYR
54,Tax,15  Mar-16,645.0,GDYR
55,Profit after tax,15  Mar-16,1198.0,GDYR
56,Gross profit margin,15  Mar-16,11.3,GDYR
57,Effective tax rate,15  Mar-16,35.0,GDYR
58,Net profit margin,15  Mar-16,6.9,GDYR
59,Current assets,15  Mar-16,6508.0,GDYR
60,Current liabilities,15  Mar-16,2798.0,GDYR
61,Net working cap to sales,15  Mar-16,21.4,GDYR
62,Current ratio,15  Mar-16,2.3,GDYR
63,Inventory Days,15  Mar-16,27.0,GDYR
64,Debtors Days,15  Mar-16,34.0,GDYR
65,Net fixed assets,15  Mar-16,2503.0,GDYR
66,Share capital,15  Mar-16,231.0,GDYR
