,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,25313.0,GJAX
1,Other income,12  Mar-15*,91.0,GJAX
2,Total revenues,12  Mar-15*,25404.0,GJAX
3,Gross profit,12  Mar-15*,1645.0,GJAX
4,Depreciation,12  Mar-15*,610.0,GJAX
5,Interest,12  Mar-15*,150.0,GJAX
6,Profit before tax,12  Mar-15*,977.0,GJAX
7,Minority Interest,12  Mar-15*,0.0,GJAX
8,Prior Period Items,12  Mar-15*,19.0,GJAX
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,GJAX
10,Tax,12  Mar-15*,155.0,GJAX
11,Profit after tax,12  Mar-15*,841.0,GJAX
12,Gross profit margin,12  Mar-15*,6.5,GJAX
13,Effective tax rate,12  Mar-15*,15.9,GJAX
14,Net profit margin,12  Mar-15*,3.3,GJAX
15,Current assets,12  Mar-15*,5920.0,GJAX
16,Current liabilities,12  Mar-15*,3743.0,GJAX
17,Net working cap to sales,12  Mar-15*,8.6,GJAX
18,Current ratio,12  Mar-15*,1.6,GJAX
19,Inventory Days,12  Mar-15*,64.0,GJAX
20,Debtors Days,12  Mar-15*,16.0,GJAX
21,Net fixed assets,12  Mar-15*,6058.0,GJAX
22,Share capital,12  Mar-15*,277.0,GJAX
23,"""Free"" reserves",12  Mar-15*,8054.0,GJAX
24,Net worth,12  Mar-15*,8330.0,GJAX
25,Long term debt,12  Mar-15*,249.0,GJAX
26,Total assets,12  Mar-15*,12875.0,GJAX
27,Interest coverage,12  Mar-15*,7.5,GJAX
28,Debt to equity ratio,12  Mar-15*,0.0,GJAX
29,Sales to assets ratio,12  Mar-15*,2.0,GJAX
30,Return on assets,12  Mar-15*,7.7,GJAX
31,Return on equity,12  Mar-15*,10.1,GJAX
32,Return on capital,12  Mar-15*,13.4,GJAX
33,Exports to sales,12  Mar-15*,11.9,GJAX
34,Imports to sales,12  Mar-15*,12.4,GJAX
35,Exports (fob),12  Mar-15*,3006.0,GJAX
36,Imports (cif),12  Mar-15*,3132.0,GJAX
37,Fx inflow,12  Mar-15*,3006.0,GJAX
38,Fx outflow,12  Mar-15*,3151.0,GJAX
39,Net fx,12  Mar-15*,-144.0,GJAX
40,From Operations,12  Mar-15*,2534.0,GJAX
41,From Investments,12  Mar-15*,-1295.0,GJAX
42,From Financial Activity,12  Mar-15*,-1242.0,GJAX
43,Net Cashflow,12  Mar-15*,-3.0,GJAX
44,Net Sales,12  Mar-16*,27365.0,GJAX
45,Other income,12  Mar-16*,103.0,GJAX
46,Total revenues,12  Mar-16*,27467.0,GJAX
47,Gross profit,12  Mar-16*,1850.0,GJAX
48,Depreciation,12  Mar-16*,662.0,GJAX
49,Interest,12  Mar-16*,99.0,GJAX
50,Profit before tax,12  Mar-16*,1191.0,GJAX
51,Minority Interest,12  Mar-16*,0.0,GJAX
52,Prior Period Items,12  Mar-16*,3.0,GJAX
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,GJAX
54,Tax,12  Mar-16*,190.0,GJAX
55,Profit after tax,12  Mar-16*,1004.0,GJAX
56,Gross profit margin,12  Mar-16*,6.8,GJAX
57,Effective tax rate,12  Mar-16*,15.9,GJAX
58,Net profit margin,12  Mar-16*,3.7,GJAX
59,Current assets,12  Mar-16*,6804.0,GJAX
60,Current liabilities,12  Mar-16*,4253.0,GJAX
61,Net working cap to sales,12  Mar-16*,9.3,GJAX
62,Current ratio,12  Mar-16*,1.6,GJAX
63,Inventory Days,12  Mar-16*,57.0,GJAX
64,Debtors Days,12  Mar-16*,23.0,GJAX
65,Net fixed assets,12  Mar-16*,6629.0,GJAX
66,Share capital,12  Mar-16*,277.0,GJAX
67,"""Free"" reserves",12  Mar-16*,8930.0,GJAX
68,Net worth,12  Mar-16*,9206.0,GJAX
69,Long term debt,12  Mar-16*,217.0,GJAX
70,Total assets,12  Mar-16*,14170.0,GJAX
71,Interest coverage,12  Mar-16*,13.0,GJAX
72,Debt to equity ratio,12  Mar-16*,0.0,GJAX
73,Sales to assets ratio,12  Mar-16*,1.9,GJAX
74,Return on assets,12  Mar-16*,7.8,GJAX
75,Return on equity,12  Mar-16*,10.9,GJAX
76,Return on capital,12  Mar-16*,13.7,GJAX
77,Exports to sales,12  Mar-16*,9.9,GJAX
78,Imports to sales,12  Mar-16*,30.4,GJAX
79,Exports (fob),12  Mar-16*,2696.0,GJAX
80,Imports (cif),12  Mar-16*,8315.0,GJAX
81,Fx inflow,12  Mar-16*,2905.0,GJAX
82,Fx outflow,12  Mar-16*,8016.0,GJAX
83,Net fx,12  Mar-16*,-5111.0,GJAX
84,From Operations,12  Mar-16*,1374.0,GJAX
85,From Investments,12  Mar-16*,-1324.0,GJAX
86,From Financial Activity,12  Mar-16*,-26.0,GJAX
87,Net Cashflow,12  Mar-16*,22.0,GJAX
88,Net Sales,12  Mar-17*,33336.0,GJAX
89,Other income,12  Mar-17*,228.0,GJAX
90,Total revenues,12  Mar-17*,33564.0,GJAX
91,Gross profit,12  Mar-17*,2708.0,GJAX
92,Depreciation,12  Mar-17*,714.0,GJAX
93,Interest,12  Mar-17*,228.0,GJAX
94,Profit before tax,12  Mar-17*,1994.0,GJAX
95,Minority Interest,12  Mar-17*,0.0,GJAX
96,Prior Period Items,12  Mar-17*,0.0,GJAX
97,Extraordinary Inc (Exp),12  Mar-17*,0.0,GJAX
98,Tax,12  Mar-17*,408.0,GJAX
99,Profit after tax,12  Mar-17*,1586.0,GJAX
100,Gross profit margin,12  Mar-17*,8.1,GJAX
101,Effective tax rate,12  Mar-17*,20.5,GJAX
102,Net profit margin,12  Mar-17*,4.8,GJAX
103,Current assets,12  Mar-17*,8736.0,GJAX
104,Current liabilities,12  Mar-17*,7921.0,GJAX
105,Net working cap to sales,12  Mar-17*,2.4,GJAX
106,Current ratio,12  Mar-17*,1.1,GJAX
107,Inventory Days,12  Mar-17*,68.0,GJAX
108,Debtors Days,12  Mar-17*,23.0,GJAX
109,Net fixed assets,12  Mar-17*,7734.0,GJAX
110,Share capital,12  Mar-17*,229.0,GJAX
