,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,53408.0,GJFU
1,Other income,12  Mar-15*,427.0,GJFU
2,Total revenues,12  Mar-15*,53835.0,GJFU
3,Gross profit,12  Mar-15*,10422.0,GJFU
4,Depreciation,12  Mar-15*,2848.0,GJFU
5,Interest,12  Mar-15*,2188.0,GJFU
6,Profit before tax,12  Mar-15*,5813.0,GJFU
7,Minority Interest,12  Mar-15*,-819.0,GJFU
8,Prior Period Items,12  Mar-15*,0.0,GJFU
9,Extraordinary Inc (Exp),12  Mar-15*,2443.0,GJFU
10,Tax,12  Mar-15*,1585.0,GJFU
11,Profit after tax,12  Mar-15*,5853.0,GJFU
12,Gross profit margin,12  Mar-15*,19.5,GJFU
13,Effective tax rate,12  Mar-15*,27.3,GJFU
14,Net profit margin,12  Mar-15*,11.0,GJFU
15,Current assets,12  Mar-15*,40158.0,GJFU
16,Current liabilities,12  Mar-15*,27552.0,GJFU
17,Net working cap to sales,12  Mar-15*,23.6,GJFU
18,Current ratio,12  Mar-15*,1.5,GJFU
19,Inventory Days,12  Mar-15*,59.0,GJFU
20,Debtors Days,12  Mar-15*,126.0,GJFU
21,Net fixed assets,12  Mar-15*,44130.0,GJFU
22,Share capital,12  Mar-15*,110.0,GJFU
23,"""Free"" reserves",12  Mar-15*,41415.0,GJFU
24,Net worth,12  Mar-15*,41525.0,GJFU
25,Long term debt,12  Mar-15*,11570.0,GJFU
26,Total assets,12  Mar-15*,91888.0,GJFU
27,Interest coverage,12  Mar-15*,3.7,GJFU
28,Debt to equity ratio,12  Mar-15*,0.3,GJFU
29,Sales to assets ratio,12  Mar-15*,0.6,GJFU
30,Return on assets,12  Mar-15*,8.8,GJFU
31,Return on equity,12  Mar-15*,14.1,GJFU
32,Return on capital,12  Mar-15*,18.1,GJFU
33,Exports to sales,12  Mar-15*,9.5,GJFU
34,Imports to sales,12  Mar-15*,6.0,GJFU
35,Exports (fob),12  Mar-15*,5084.0,GJFU
36,Imports (cif),12  Mar-15*,3224.0,GJFU
37,Fx inflow,12  Mar-15*,5241.0,GJFU
38,Fx outflow,12  Mar-15*,3572.0,GJFU
39,Net fx,12  Mar-15*,1669.0,GJFU
