,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-10*,5116.0,GMSO
1,Other income,12  Mar-10*,28.0,GMSO
2,Total revenues,12  Mar-10*,5144.0,GMSO
3,Gross profit,12  Mar-10*,840.0,GMSO
4,Depreciation,12  Mar-10*,232.0,GMSO
5,Interest,12  Mar-10*,37.0,GMSO
6,Profit before tax,12  Mar-10*,600.0,GMSO
7,Minority Interest,12  Mar-10*,-127.0,GMSO
8,Prior Period Items,12  Mar-10*,-2.0,GMSO
9,Extraordinary Inc (Exp),12  Mar-10*,0.0,GMSO
10,Tax,12  Mar-10*,4.0,GMSO
11,Profit after tax,12  Mar-10*,467.0,GMSO
12,Gross profit margin,12  Mar-10*,16.4,GMSO
13,Effective tax rate,12  Mar-10*,0.7,GMSO
14,Net profit margin,12  Mar-10*,9.1,GMSO
15,Current assets,12  Mar-10*,2124.0,GMSO
16,Current liabilities,12  Mar-10*,1001.0,GMSO
17,Net working cap to sales,12  Mar-10*,22.0,GMSO
18,Current ratio,12  Mar-10*,2.1,GMSO
19,Inventory Days,12  Mar-10*,0.0,GMSO
20,Debtors Days,12  Mar-10*,66.0,GMSO
21,Net fixed assets,12  Mar-10*,857.0,GMSO
22,Share capital,12  Mar-10*,124.0,GMSO
23,"""Free"" reserves",12  Mar-10*,1399.0,GMSO
24,Net worth,12  Mar-10*,1779.0,GMSO
25,Long term debt,12  Mar-10*,0.0,GMSO
26,Total assets,12  Mar-10*,3148.0,GMSO
27,Interest coverage,12  Mar-10*,17.4,GMSO
28,Debt to equity ratio,12  Mar-10*,0.0,GMSO
29,Sales to assets ratio,12  Mar-10*,1.6,GMSO
30,Return on assets,12  Mar-10*,16.0,GMSO
31,Return on equity,12  Mar-10*,26.2,GMSO
32,Return on capital,12  Mar-10*,28.5,GMSO
33,Exports to sales,12  Mar-10*,0.0,GMSO
34,Imports to sales,12  Mar-10*,0.7,GMSO
35,Exports (fob),12  Mar-10*,0.0,GMSO
36,Imports (cif),12  Mar-10*,38.0,GMSO
37,Fx inflow,12  Mar-10*,2020.0,GMSO
38,Fx outflow,12  Mar-10*,471.0,GMSO
39,Net fx,12  Mar-10*,1549.0,GMSO
40,From Operations,12  Mar-10*,818.0,GMSO
41,From Investments,12  Mar-10*,-149.0,GMSO
42,From Financial Activity,12  Mar-10*,-1082.0,GMSO
43,Net Cashflow,12  Mar-10*,-413.0,GMSO
44,Net Sales,12  Mar-11*,6206.0,GMSO
45,Other income,12  Mar-11*,236.0,GMSO
46,Total revenues,12  Mar-11*,6442.0,GMSO
47,Gross profit,12  Mar-11*,711.0,GMSO
48,Depreciation,12  Mar-11*,236.0,GMSO
49,Interest,12  Mar-11*,10.0,GMSO
50,Profit before tax,12  Mar-11*,701.0,GMSO
51,Minority Interest,12  Mar-11*,-108.0,GMSO
52,Prior Period Items,12  Mar-11*,-1.0,GMSO
53,Extraordinary Inc (Exp),12  Mar-11*,0.0,GMSO
54,Tax,12  Mar-11*,17.0,GMSO
55,Profit after tax,12  Mar-11*,575.0,GMSO
56,Gross profit margin,12  Mar-11*,11.5,GMSO
57,Effective tax rate,12  Mar-11*,2.4,GMSO
58,Net profit margin,12  Mar-11*,9.3,GMSO
59,Current assets,12  Mar-11*,2471.0,GMSO
60,Current liabilities,12  Mar-11*,840.0,GMSO
61,Net working cap to sales,12  Mar-11*,26.3,GMSO
62,Current ratio,12  Mar-11*,2.9,GMSO
63,Inventory Days,12  Mar-11*,0.0,GMSO
64,Debtors Days,12  Mar-11*,70.0,GMSO
65,Net fixed assets,12  Mar-11*,847.0,GMSO
66,Share capital,12  Mar-11*,125.0,GMSO
67,"""Free"" reserves",12  Mar-11*,1871.0,GMSO
