,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,835.0,GNST
1,Other income,12  Mar-14,79.0,GNST
2,Total revenues,12  Mar-14,914.0,GNST
3,Gross profit,12  Mar-14,262.0,GNST
4,Depreciation,12  Mar-14,49.0,GNST
5,Interest,12  Mar-14,0.0,GNST
6,Profit before tax,12  Mar-14,291.0,GNST
7,Minority Interest,12  Mar-14,0.0,GNST
8,Prior Period Items,12  Mar-14,0.0,GNST
9,Extraordinary Inc (Exp),12  Mar-14,0.0,GNST
10,Tax,12  Mar-14,118.0,GNST
11,Profit after tax,12  Mar-14,173.0,GNST
12,Gross profit margin,12  Mar-14,31.3,GNST
13,Effective tax rate,12  Mar-14,40.6,GNST
14,Net profit margin,12  Mar-14,20.7,GNST
15,Current assets,12  Mar-14,653,GNST
16,Current liabilities,12  Mar-14,57,GNST
17,Net working cap to sales,12  Mar-14,71.4,GNST
18,Current ratio,12  Mar-14,11.5,GNST
19,Inventory Days,12  Mar-14,103,GNST
20,Debtors Days,12  Mar-14,67,GNST
21,Net fixed assets,12  Mar-14,642,GNST
22,Share capital,12  Mar-14,74,GNST
23,"""Free"" reserves",12  Mar-14,1500,GNST
24,Net worth,12  Mar-14,1576,GNST
25,Long term debt,12  Mar-14,0,GNST
26,Total assets,12  Mar-14,1723,GNST
27,Interest coverage,12  Mar-14,NM,GNST
28,Debt to equity ratio,12  Mar-14,0,GNST
29,Sales to assets ratio,12  Mar-14,0.5,GNST
30,Return on assets,12  Mar-14,10.0,GNST
31,Return on equity,12  Mar-14,11.0,GNST
32,Return on capital,12  Mar-14,18.5,GNST
33,Exports to sales,12  Mar-14,0.7,GNST
34,Imports to sales,12  Mar-14,28.9,GNST
35,Exports (fob),12  Mar-14,6,GNST
36,Imports (cif),12  Mar-14,241,GNST
37,Fx inflow,12  Mar-14,6,GNST
38,Fx outflow,12  Mar-14,242,GNST
39,Net fx,12  Mar-14,-236,GNST
40,From Operations,12  Mar-14,136,GNST
41,From Investments,12  Mar-14,-43,GNST
42,From Financial Activity,12  Mar-14,-103,GNST
43,Net Cashflow,12  Mar-14,-10,GNST
44,Net Sales,12  Mar-15,919.0,GNST
45,Other income,12  Mar-15,44.0,GNST
46,Total revenues,12  Mar-15,963.0,GNST
47,Gross profit,12  Mar-15,233.0,GNST
48,Depreciation,12  Mar-15,50.0,GNST
49,Interest,12  Mar-15,0.0,GNST
50,Profit before tax,12  Mar-15,228.0,GNST
51,Minority Interest,12  Mar-15,0.0,GNST
52,Prior Period Items,12  Mar-15,0.0,GNST
53,Extraordinary Inc (Exp),12  Mar-15,0.0,GNST
54,Tax,12  Mar-15,70.0,GNST
55,Profit after tax,12  Mar-15,158.0,GNST
56,Gross profit margin,12  Mar-15,25.4,GNST
57,Effective tax rate,12  Mar-15,30.7,GNST
58,Net profit margin,12  Mar-15,17.2,GNST
59,Current assets,12  Mar-15,501,GNST
60,Current liabilities,12  Mar-15,40,GNST
61,Net working cap to sales,12  Mar-15,50.1,GNST
62,Current ratio,12  Mar-15,12.5,GNST
63,Inventory Days,12  Mar-15,110,GNST
64,Debtors Days,12  Mar-15,50,GNST
65,Net fixed assets,12  Mar-15,627,GNST
66,Share capital,12  Mar-15,74,GNST
67,"""Free"" reserves",12  Mar-15,1524,GNST
68,Net worth,12  Mar-15,1601,GNST
69,Long term debt,12  Mar-15,0,GNST
70,Total assets,12  Mar-15,1739,GNST
71,Interest coverage,12  Mar-15,NM,GNST
72,Debt to equity ratio,12  Mar-15,0,GNST
73,Sales to assets ratio,12  Mar-15,0.5,GNST
