,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,10507.0,GUSP
1,Other income,12  Mar-14*,569.0,GUSP
2,Total revenues,12  Mar-14*,11076.0,GUSP
3,Gross profit,12  Mar-14*,9289.0,GUSP
4,Depreciation,12  Mar-14*,1839.0,GUSP
5,Interest,12  Mar-14*,1419.0,GUSP
6,Profit before tax,12  Mar-14*,6600.0,GUSP
7,Minority Interest,12  Mar-14*,-16.0,GUSP
8,Prior Period Items,12  Mar-14*,-20.0,GUSP
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,GUSP
10,Tax,12  Mar-14*,2407.0,GUSP
11,Profit after tax,12  Mar-14*,4158.0,GUSP
12,Gross profit margin,12  Mar-14*,88.4,GUSP
13,Effective tax rate,12  Mar-14*,36.5,GUSP
14,Net profit margin,12  Mar-14*,39.6,GUSP
15,Current assets,12  Mar-14*,9125.0,GUSP
16,Current liabilities,12  Mar-14*,6308.0,GUSP
17,Net working cap to sales,12  Mar-14*,26.8,GUSP
18,Current ratio,12  Mar-14*,1.4,GUSP
19,Inventory Days,12  Mar-14*,24.0,GUSP
20,Debtors Days,12  Mar-14*,87.0,GUSP
21,Net fixed assets,12  Mar-14*,40093.0,GUSP
22,Share capital,12  Mar-14*,5627.0,GUSP
23,"""Free"" reserves",12  Mar-14*,28142.0,GUSP
24,Net worth,12  Mar-14*,33855.0,GUSP
25,Long term debt,12  Mar-14*,10365.0,GUSP
26,Total assets,12  Mar-14*,56248.0,GUSP
27,Interest coverage,12  Mar-14*,5.7,GUSP
28,Debt to equity ratio,12  Mar-14*,0.3,GUSP
29,Sales to assets ratio,12  Mar-14*,0.2,GUSP
30,Return on assets,12  Mar-14*,9.9,GUSP
31,Return on equity,12  Mar-14*,12.3,GUSP
32,Return on capital,12  Mar-14*,18.1,GUSP
33,Exports to sales,12  Mar-14*,0.0,GUSP
34,Imports to sales,12  Mar-14*,0.0,GUSP
35,Exports (fob),12  Mar-14*,0.0,GUSP
36,Imports (cif),12  Mar-14*,0.0,GUSP
