,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Jun-15*,62201.0,HCLI
1,Other income,12  Jun-15*,643.0,HCLI
2,Total revenues,12  Jun-15*,62844.0,HCLI
3,Gross profit,12  Jun-15*,-722.0,HCLI
4,Depreciation,12  Jun-15*,519.0,HCLI
5,Interest,12  Jun-15*,1428.0,HCLI
6,Profit before tax,12  Jun-15*,-2025.0,HCLI
7,Minority Interest,12  Jun-15*,0.0,HCLI
8,Prior Period Items,12  Jun-15*,0.0,HCLI
9,Extraordinary Inc (Exp),12  Jun-15*,289.0,HCLI
10,Tax,12  Jun-15*,111.0,HCLI
11,Profit after tax,12  Jun-15*,-1847.0,HCLI
12,Gross profit margin,12  Jun-15*,-1.2,HCLI
13,Effective tax rate,12  Jun-15*,-5.5,HCLI
14,Net profit margin,12  Jun-15*,-3.0,HCLI
15,Current assets,12  Jun-15*,28177.0,HCLI
16,Current liabilities,12  Jun-15*,27219.0,HCLI
17,Net working cap to sales,12  Jun-15*,1.5,HCLI
18,Current ratio,12  Jun-15*,1.0,HCLI
19,Inventory Days,12  Jun-15*,15.0,HCLI
20,Debtors Days,12  Jun-15*,103.0,HCLI
21,Net fixed assets,12  Jun-15*,8114.0,HCLI
22,Share capital,12  Jun-15*,446.0,HCLI
23,"""Free"" reserves",12  Jun-15*,9686.0,HCLI
24,Net worth,12  Jun-15*,10132.0,HCLI
25,Long term debt,12  Jun-15*,2337.0,HCLI
26,Total assets,12  Jun-15*,40042.0,HCLI
27,Interest coverage,12  Jun-15*,-0.4,HCLI
28,Debt to equity ratio,12  Jun-15*,0.2,HCLI
29,Sales to assets ratio,12  Jun-15*,1.6,HCLI
30,Return on assets,12  Jun-15*,-1.0,HCLI
31,Return on equity,12  Jun-15*,-18.2,HCLI
32,Return on capital,12  Jun-15*,-2.5,HCLI
33,Exports to sales,12  Jun-15*,0.0,HCLI
34,Imports to sales,12  Jun-15*,1.4,HCLI
35,Exports (fob),12  Jun-15*,28.0,HCLI
36,Imports (cif),12  Jun-15*,858.0,HCLI
37,Fx inflow,12  Jun-15*,30.0,HCLI
38,Fx outflow,12  Jun-15*,861.0,HCLI
39,Net fx,12  Jun-15*,-831.0,HCLI
40,From Operations,12  Jun-15*,-3692.0,HCLI
41,From Investments,12  Jun-15*,2876.0,HCLI
42,From Financial Activity,12  Jun-15*,-24.0,HCLI
43,Net Cashflow,12  Jun-15*,-840.0,HCLI
44,Net Sales,9  Mar-16*,36562.0,HCLI
45,Other income,9  Mar-16*,1362.0,HCLI
46,Total revenues,9  Mar-16*,37924.0,HCLI
47,Gross profit,9  Mar-16*,-1303.0,HCLI
48,Depreciation,9  Mar-16*,320.0,HCLI
49,Interest,9  Mar-16*,1257.0,HCLI
50,Profit before tax,9  Mar-16*,-1519.0,HCLI
51,Minority Interest,9  Mar-16*,0.0,HCLI
52,Prior Period Items,9  Mar-16*,0.0,HCLI
53,Extraordinary Inc (Exp),9  Mar-16*,-672.0,HCLI
