,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-15*,457238.0,HDFC
1,Other income,12  Mar-15*,21554.0,HDFC
2,Interest expense,12  Mar-15*,187103.0,HDFC
3,Net interest income,12  Mar-15*,270135.0,HDFC
4,Operating expense,12  Mar-15*,186293.0,HDFC
5,Gross profit,12  Mar-15*,83842.0,HDFC
6,Gross profit margin,12  Mar-15*,18.3,HDFC
7,Provisions/contingencies,12  Mar-15*,2347.0,HDFC
8,Profit before tax,12  Mar-15*,96058.0,HDFC
9,Extraordinary Inc (Exp),12  Mar-15*,5109.0,HDFC
10,Minority Interest,12  Mar-15*,-4827.0,HDFC
11,Prior Period Items,12  Mar-15*,22944.0,HDFC
12,Tax,12  Mar-15*,31657.0,HDFC
13,Profit after tax,12  Mar-15*,87626.0,HDFC
14,Net profit margin,12  Mar-15*,19.2,HDFC
15,Advances,12  Mar-15*,2382059.0,HDFC
16,Deposits,12  Mar-15*,288733.0,HDFC
17,Credit/Deposit ratio,12  Mar-15*,825.0,HDFC
18,Yield on advances,12  Mar-15*,10.9,HDFC
19,Cost of deposits,12  Mar-15*,9.6,HDFC
20,Net Interest Margin,12  Mar-15*,8.3,HDFC
21,Net fixed assets,12  Mar-15*,12914.0,HDFC
22,Share capital,12  Mar-15*,3149.0,HDFC
23,Free reserves,12  Mar-15*,335487.0,HDFC
24,Net worth,12  Mar-15*,450716.0,HDFC
25,Borrowings,12  Mar-15*,756724.0,HDFC
26,Investments,12  Mar-15*,868876.0,HDFC
27,Total assets,12  Mar-15*,3495252.0,HDFC
28,Debt/equity ratio,12  Mar-15*,2.3,HDFC
29,Return on assets,12  Mar-15*,2.5,HDFC
30,Return on equity,12  Mar-15*,19.4,HDFC
31,Capital adequacy ratio,12  Mar-15*,14.6,HDFC
32,Net NPAs,12  Mar-15*,0.0,HDFC
33,From Operations,12  Mar-15*,-91182.0,HDFC
34,From Investments,12  Mar-15*,-185549.0,HDFC
35,From Financial Activity,12  Mar-15*,248204.0,HDFC
36,Net Cashflow,12  Mar-15*,-28527.0,HDFC
37,Interest income,12  Mar-16*,497496.0,HDFC
38,Other income,12  Mar-16*,35075.0,HDFC
39,Interest expense,12  Mar-16*,202956.0,HDFC
40,Net interest income,12  Mar-16*,294540.0,HDFC
41,Operating expense,12  Mar-16*,197070.0,HDFC
42,Gross profit,12  Mar-16*,97470.0,HDFC
43,Gross profit margin,12  Mar-16*,19.6,HDFC
44,Provisions/contingencies,12  Mar-16*,8534.0,HDFC
45,Profit before tax,12  Mar-16*,116130.0,HDFC
46,Extraordinary Inc (Exp),12  Mar-16*,0.0,HDFC
47,Minority Interest,12  Mar-16*,-5280.0,HDFC
48,Prior Period Items,12  Mar-16*,27446.0,HDFC
49,Tax,12  Mar-16*,36393.0,HDFC
50,Profit after tax,12  Mar-16*,101903.0,HDFC
51,Net profit margin,12  Mar-16*,20.5,HDFC
52,Advances,12  Mar-16*,2720856.0,HDFC
53,Deposits,12  Mar-16*,341642.0,HDFC
54,Credit/Deposit ratio,12  Mar-16*,796.4,HDFC
55,Yield on advances,12  Mar-16*,10.4,HDFC
56,Cost of deposits,12  Mar-16*,7.8,HDFC
57,Net Interest Margin,12  Mar-16*,8.0,HDFC
58,Net fixed assets,12  Mar-16*,13992.0,HDFC
59,Share capital,12  Mar-16*,3160.0,HDFC
60,Free reserves,12  Mar-16*,377902.0,HDFC
61,Net worth,12  Mar-16*,509007.0,HDFC
62,Borrowings,12  Mar-16*,847260.0,HDFC
63,Investments,12  Mar-16*,954644.0,HDFC
64,Total assets,12  Mar-16*,3978043.0,HDFC
65,Debt/equity ratio,12  Mar-16*,2.3,HDFC
66,Return on assets,12  Mar-16*,2.6,HDFC
67,Return on equity,12  Mar-16*,20.0,HDFC
68,Capital adequacy ratio,12  Mar-16*,16.6,HDFC
69,Net NPAs,12  Mar-16*,0.0,HDFC
70,From Operations,12  Mar-16*,-197104.0,HDFC
71,From Investments,12  Mar-16*,-93123.0,HDFC
72,From Financial Activity,12  Mar-16*,291106.0,HDFC
73,Net Cashflow,12  Mar-16*,879.0,HDFC
74,Interest income,12  Mar-17*,567344.0,HDFC
75,Other income,12  Mar-17*,43532.0,HDFC
76,Interest expense,12  Mar-17*,219532.0,HDFC
77,Net interest income,12  Mar-17*,347812.0,HDFC
78,Operating expense,12  Mar-17*,247189.0,HDFC
79,Gross profit,12  Mar-17*,100623.0,HDFC
80,Gross profit margin,12  Mar-17*,17.7,HDFC
81,Provisions/contingencies,12  Mar-17*,8530.0,HDFC
82,Profit before tax,12  Mar-17*,126496.0,HDFC
83,Extraordinary Inc (Exp),12  Mar-17*,0.0,HDFC
84,Minority Interest,12  Mar-17*,-7970.0,HDFC
85,Prior Period Items,12  Mar-17*,32194.0,HDFC
86,Tax,12  Mar-17*,40208.0,HDFC
87,Profit after tax,12  Mar-17*,110511.0,HDFC
88,Net profit margin,12  Mar-17*,19.5,HDFC
89,Advances,12  Mar-17*,3128915.0,HDFC
90,Deposits,12  Mar-17*,855360.0,HDFC
91,Credit/Deposit ratio,12  Mar-17*,365.8,HDFC
92,Yield on advances,12  Mar-17*,10.0,HDFC
93,Cost of deposits,12  Mar-17*,10.4,HDFC
94,Net Interest Margin,12  Mar-17*,8.1,HDFC
95,Net fixed assets,12  Mar-17*,13424.0,HDFC
96,Share capital,12  Mar-17*,3177.0,HDFC
97,Free reserves,12  Mar-17*,648370.0,HDFC
98,Net worth,12  Mar-17*,600593.0,HDFC
99,Borrowings,12  Mar-17*,1619520.0,HDFC
100,Investments,12  Mar-17*,1190460.0,HDFC
101,Total assets,12  Mar-17*,4789618.0,HDFC
102,Debt/equity ratio,12  Mar-17*,4.1,HDFC
103,Return on assets,12  Mar-17*,2.3,HDFC
104,Return on equity,12  Mar-17*,18.4,HDFC
105,Capital adequacy ratio,12  Mar-17*,14.5,HDFC
106,Net NPAs,12  Mar-17*,0.0,HDFC
107,From Operations,12  Mar-17*,-141731.0,HDFC
108,From Investments,12  Mar-17*,-272283.0,HDFC
109,From Financial Activity,12  Mar-17*,431273.0,HDFC
110,Net Cashflow,12  Mar-17*,17259.0,HDFC
111,Interest income,12  Mar-18*,752981.0,HDFC
112,Other income,12  Mar-18*,42103.0,HDFC
113,Interest expense,12  Mar-18*,247185.0,HDFC
114,Net interest income,12  Mar-18*,505797.0,HDFC
115,Operating expense,12  Mar-18*,264378.0,HDFC
116,Gross profit,12  Mar-18*,241419.0,HDFC
117,Gross profit margin,12  Mar-18*,32.1,HDFC
118,Provisions/contingencies,12  Mar-18*,4429.0,HDFC
119,Profit before tax,12  Mar-18*,102709.0,HDFC
120,Extraordinary Inc (Exp),12  Mar-18*,0.0,HDFC
121,Minority Interest,12  Mar-18*,0.0,HDFC
122,Prior Period Items,12  Mar-18*,59364.0,HDFC
123,Tax,12  Mar-18*,30960.0,HDFC
124,Profit after tax,12  Mar-18*,131112.0,HDFC
125,Net profit margin,12  Mar-18*,17.4,HDFC
126,Advances,12  Mar-18*,3761750.0,HDFC
127,Deposits,12  Mar-18*,912687.0,HDFC
128,Credit/Deposit ratio,12  Mar-18*,412.2,HDFC
129,Yield on advances,12  Mar-18*,10.4,HDFC
130,Cost of deposits,12  Mar-18*,11.9,HDFC
131,Net Interest Margin,12  Mar-18*,9.8,HDFC
132,Net fixed assets,12  Mar-18*,12866.0,HDFC
133,Share capital,12  Mar-18*,3352.0,HDFC
134,Free reserves,12  Mar-18*,915381.0,HDFC
135,Net worth,12  Mar-18*,918733.0,HDFC
136,Borrowings,12  Mar-18*,1617099.0,HDFC
137,Investments,12  Mar-18*,1394864.0,HDFC
138,Total assets,12  Mar-18*,5666092.0,HDFC
139,Debt/equity ratio,12  Mar-18*,2.8,HDFC
140,Return on assets,12  Mar-18*,2.3,HDFC
141,Return on equity,12  Mar-18*,14.3,HDFC
142,Capital adequacy ratio,12  Mar-18*,19.2,HDFC
143,Net NPAs,12  Mar-18*,0.8,HDFC
144,From Operations,12  Mar-18*,-579280.0,HDFC
145,From Investments,12  Mar-18*,-79537.0,HDFC
146,From Financial Activity,12  Mar-18*,633441.0,HDFC
147,Net Cashflow,12  Mar-18*,-25376.0,HDFC
148,Interest income,12  Mar-19*,910070.0,HDFC
149,Other income,12  Mar-19*,51879.0,HDFC
150,Interest expense,12  Mar-19*,295253.0,HDFC
151,Net interest income,12  Mar-19*,614817.0,HDFC
152,Operating expense,12  Mar-19*,485305.0,HDFC
153,Gross profit,12  Mar-19*,129512.0,HDFC
154,Gross profit margin,12  Mar-19*,14.2,HDFC
155,Provisions/contingencies,12  Mar-19*,4626.0,HDFC
156,Profit before tax,12  Mar-19*,147091.0,HDFC
157,Extraordinary Inc (Exp),12  Mar-19*,0.0,HDFC
158,Minority Interest,12  Mar-19*,0.0,HDFC
159,Prior Period Items,12  Mar-19*,73898.0,HDFC
160,Tax,12  Mar-19*,45185.0,HDFC
161,Profit after tax,12  Mar-19*,175805.0,HDFC
162,Net profit margin,12  Mar-19*,19.3,HDFC
163,Advances,12  Mar-19*,4223638.0,HDFC
164,Deposits,12  Mar-19*,1055989.0,HDFC
165,Credit/Deposit ratio,12  Mar-19*,400.0,HDFC
166,Yield on advances,12  Mar-19*,11.1,HDFC
167,Cost of deposits,12  Mar-19*,11.2,HDFC
168,Net Interest Margin,12  Mar-19*,12.3,HDFC
169,Net fixed assets,12  Mar-19*,13134.0,HDFC
170,Share capital,12  Mar-19*,3443.0,HDFC
171,Free reserves,12  Mar-19*,1113889.0,HDFC
172,Net worth,12  Mar-19*,1117331.0,HDFC
173,Borrowings,12  Mar-19*,903754.0,HDFC
174,Investments,12  Mar-19*,766340.0,HDFC
175,Total assets,12  Mar-19*,6608751.0,HDFC
176,Debt/equity ratio,12  Mar-19*,1.8,HDFC
177,Return on assets,12  Mar-19*,2.7,HDFC
178,Return on equity,12  Mar-19*,15.7,HDFC
179,Capital adequacy ratio,12  Mar-19*,19.1,HDFC
180,Net NPAs,12  Mar-19*,0.8,HDFC
181,From Operations,12  Mar-19*,-443014.0,HDFC
182,From Investments,12  Mar-19*,-103156.0,HDFC
183,From Financial Activity,12  Mar-19*,549856.0,HDFC
184,Net Cashflow,12  Mar-19*,3686.0,HDFC
