,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,10225.0,HDIL
1,Other income,12  Mar-15*,607.0,HDIL
2,Total revenues,12  Mar-15*,10831.0,HDIL
3,Gross profit,12  Mar-15*,8059.0,HDIL
4,Depreciation,12  Mar-15*,153.0,HDIL
5,Interest,12  Mar-15*,5535.0,HDIL
6,Profit before tax,12  Mar-15*,2978.0,HDIL
7,Minority Interest,12  Mar-15*,0.0,HDIL
8,Prior Period Items,12  Mar-15*,0.0,HDIL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,HDIL
10,Tax,12  Mar-15*,792.0,HDIL
11,Profit after tax,12  Mar-15*,2187.0,HDIL
12,Gross profit margin,12  Mar-15*,78.8,HDIL
13,Effective tax rate,12  Mar-15*,26.6,HDIL
14,Net profit margin,12  Mar-15*,21.4,HDIL
15,Current assets,12  Mar-15*,172658.0,HDIL
16,Current liabilities,12  Mar-15*,57240.0,HDIL
17,Net working cap to sales,12  Mar-15*,1128.8,HDIL
18,Current ratio,12  Mar-15*,3.0,HDIL
19,Inventory Days,12  Mar-15*,4669.0,HDIL
20,Debtors Days,12  Mar-15*,109.0,HDIL
21,Net fixed assets,12  Mar-15*,1200.0,HDIL
22,Share capital,12  Mar-15*,4190.0,HDIL
23,"""Free"" reserves",12  Mar-15*,96833.0,HDIL
24,Net worth,12  Mar-15*,108047.0,HDIL
25,Long term debt,12  Mar-15*,10617.0,HDIL
26,Total assets,12  Mar-15*,176183.0,HDIL
27,Interest coverage,12  Mar-15*,1.5,HDIL
28,Debt to equity ratio,12  Mar-15*,0.1,HDIL
29,Sales to assets ratio,12  Mar-15*,0.1,HDIL
30,Return on assets,12  Mar-15*,4.4,HDIL
31,Return on equity,12  Mar-15*,2.0,HDIL
32,Return on capital,12  Mar-15*,7.2,HDIL
33,Exports to sales,12  Mar-15*,0.0,HDIL
34,Imports to sales,12  Mar-15*,0.0,HDIL
35,Exports (fob),12  Mar-15*,0.0,HDIL
36,Imports (cif),12  Mar-15*,0.0,HDIL
