,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,12331.0,HEGL
1,Other income,12  Mar-15*,116.0,HEGL
2,Total revenues,12  Mar-15*,12446.0,HEGL
3,Gross profit,12  Mar-15*,1739.0,HEGL
4,Depreciation,12  Mar-15*,754.0,HEGL
5,Interest,12  Mar-15*,658.0,HEGL
6,Profit before tax,12  Mar-15*,443.0,HEGL
7,Minority Interest,12  Mar-15*,0.0,HEGL
8,Prior Period Items,12  Mar-15*,-26.0,HEGL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,HEGL
10,Tax,12  Mar-15*,53.0,HEGL
11,Profit after tax,12  Mar-15*,364.0,HEGL
12,Gross profit margin,12  Mar-15*,14.1,HEGL
13,Effective tax rate,12  Mar-15*,12.0,HEGL
14,Net profit margin,12  Mar-15*,3.0,HEGL
15,Current assets,12  Mar-15*,9256.0,HEGL
16,Current liabilities,12  Mar-15*,8784.0,HEGL
17,Net working cap to sales,12  Mar-15*,3.8,HEGL
18,Current ratio,12  Mar-15*,1.1,HEGL
19,Inventory Days,12  Mar-15*,119.0,HEGL
20,Debtors Days,12  Mar-15*,120.0,HEGL
21,Net fixed assets,12  Mar-15*,10143.0,HEGL
22,Share capital,12  Mar-15*,400.0,HEGL
23,"""Free"" reserves",12  Mar-15*,8694.0,HEGL
24,Net worth,12  Mar-15*,10140.0,HEGL
25,Long term debt,12  Mar-15*,2524.0,HEGL
26,Total assets,12  Mar-15*,22462.0,HEGL
27,Interest coverage,12  Mar-15*,1.7,HEGL
28,Debt to equity ratio,12  Mar-15*,0.2,HEGL
29,Sales to assets ratio,12  Mar-15*,0.5,HEGL
30,Return on assets,12  Mar-15*,4.5,HEGL
31,Return on equity,12  Mar-15*,3.6,HEGL
32,Return on capital,12  Mar-15*,8.5,HEGL
33,Exports to sales,12  Mar-15*,74.5,HEGL
34,Imports to sales,12  Mar-15*,24.1,HEGL
35,Exports (fob),12  Mar-15*,9184.0,HEGL
36,Imports (cif),12  Mar-15*,2977.0,HEGL
37,Fx inflow,12  Mar-15*,9184.0,HEGL
38,Fx outflow,12  Mar-15*,3512.0,HEGL
39,Net fx,12  Mar-15*,5673.0,HEGL
40,From Operations,12  Mar-15*,2765.0,HEGL
41,From Investments,12  Mar-15*,-826.0,HEGL
42,From Financial Activity,12  Mar-15*,-2018.0,HEGL
43,Net Cashflow,12  Mar-15*,-80.0,HEGL
44,Net Sales,12  Mar-16*,8695.0,HEGL
45,Other income,12  Mar-16*,42.0,HEGL
46,Total revenues,12  Mar-16*,8737.0,HEGL
47,Gross profit,12  Mar-16*,1474.0,HEGL
48,Depreciation,12  Mar-16*,793.0,HEGL
49,Interest,12  Mar-16*,603.0,HEGL
50,Profit before tax,12  Mar-16*,120.0,HEGL
51,Minority Interest,12  Mar-16*,0.0,HEGL
52,Prior Period Items,12  Mar-16*,0.0,HEGL
53,Extraordinary Inc (Exp),12  Mar-16*,10.0,HEGL
54,Tax,12  Mar-16*,85.0,HEGL
55,Profit after tax,12  Mar-16*,44.0,HEGL
56,Gross profit margin,12  Mar-16*,17.0,HEGL
57,Effective tax rate,12  Mar-16*,71.1,HEGL
58,Net profit margin,12  Mar-16*,0.5,HEGL
59,Current assets,12  Mar-16*,6891.0,HEGL
60,Current liabilities,12  Mar-16*,7000.0,HEGL
61,Net working cap to sales,12  Mar-16*,-1.2,HEGL
62,Current ratio,12  Mar-16*,1.0,HEGL
63,Inventory Days,12  Mar-16*,156.0,HEGL
64,Debtors Days,12  Mar-16*,134.0,HEGL
65,Net fixed assets,12  Mar-16*,9621.0,HEGL
66,Share capital,12  Mar-16*,400.0,HEGL
67,"""Free"" reserves",12  Mar-16*,9559.0,HEGL
68,Net worth,12  Mar-16*,9959.0,HEGL
69,Long term debt,12  Mar-16*,1566.0,HEGL
70,Total assets,12  Mar-16*,19532.0,HEGL
71,Interest coverage,12  Mar-16*,1.2,HEGL
72,Debt to equity ratio,12  Mar-16*,0.2,HEGL
73,Sales to assets ratio,12  Mar-16*,0.4,HEGL
74,Return on assets,12  Mar-16*,3.3,HEGL
75,Return on equity,12  Mar-16*,0.4,HEGL
76,Return on capital,12  Mar-16*,6.4,HEGL
77,Exports to sales,12  Mar-16*,57.3,HEGL
78,Imports to sales,12  Mar-16*,13.3,HEGL
79,Exports (fob),12  Mar-16*,4985.0,HEGL
80,Imports (cif),12  Mar-16*,1158.0,HEGL
81,Fx inflow,12  Mar-16*,4985.0,HEGL
82,Fx outflow,12  Mar-16*,1616.0,HEGL
83,Net fx,12  Mar-16*,3370.0,HEGL
84,From Operations,12  Mar-16*,2493.0,HEGL
85,From Investments,12  Mar-16*,-288.0,HEGL
86,From Financial Activity,12  Mar-16*,-2195.0,HEGL
