,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,25531.0,HFCM
1,Other income,12  Mar-15*,1575.0,HFCM
2,Total revenues,12  Mar-15*,27106.0,HFCM
3,Gross profit,12  Mar-15*,2327.0,HFCM
4,Depreciation,12  Mar-15*,342.0,HFCM
5,Interest,12  Mar-15*,444.0,HFCM
6,Profit before tax,12  Mar-15*,3116.0,HFCM
7,Minority Interest,12  Mar-15*,0.0,HFCM
8,Prior Period Items,12  Mar-15*,123.0,HFCM
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,HFCM
10,Tax,12  Mar-15*,0.0,HFCM
11,Profit after tax,12  Mar-15*,3239.0,HFCM
12,Gross profit margin,12  Mar-15*,9.1,HFCM
13,Effective tax rate,12  Mar-15*,0.0,HFCM
14,Net profit margin,12  Mar-15*,12.7,HFCM
15,Current assets,12  Mar-15*,13167.0,HFCM
16,Current liabilities,12  Mar-15*,6841.0,HFCM
17,Net working cap to sales,12  Mar-15*,24.8,HFCM
18,Current ratio,12  Mar-15*,1.9,HFCM
19,Inventory Days,12  Mar-15*,34.0,HFCM
20,Debtors Days,12  Mar-15*,52.0,HFCM
21,Net fixed assets,12  Mar-15*,1282.0,HFCM
22,Share capital,12  Mar-15*,1239.0,HFCM
23,"""Free"" reserves",12  Mar-15*,5539.0,HFCM
24,Net worth,12  Mar-15*,6779.0,HFCM
25,Long term debt,12  Mar-15*,2428.0,HFCM
26,Total assets,12  Mar-15*,16209.0,HFCM
27,Interest coverage,12  Mar-15*,8.0,HFCM
28,Debt to equity ratio,12  Mar-15*,0.4,HFCM
29,Sales to assets ratio,12  Mar-15*,1.6,HFCM
30,Return on assets,12  Mar-15*,22.7,HFCM
31,Return on equity,12  Mar-15*,47.8,HFCM
32,Return on capital,12  Mar-15*,40.0,HFCM
33,Exports to sales,12  Mar-15*,1.3,HFCM
34,Imports to sales,12  Mar-15*,6.6,HFCM
35,Exports (fob),12  Mar-15*,342.0,HFCM
36,Imports (cif),12  Mar-15*,1698.0,HFCM
37,Fx inflow,12  Mar-15*,352.0,HFCM
38,Fx outflow,12  Mar-15*,1705.0,HFCM
39,Net fx,12  Mar-15*,-1353.0,HFCM
40,From Operations,12  Mar-15*,1294.0,HFCM
41,From Investments,12  Mar-15*,-455.0,HFCM
42,From Financial Activity,12  Mar-15*,-736.0,HFCM
43,Net Cashflow,12  Mar-15*,103.0,HFCM
44,Net Sales,12  Mar-16*,28724.0,HFCM
45,Other income,12  Mar-16*,347.0,HFCM
46,Total revenues,12  Mar-16*,29071.0,HFCM
47,Gross profit,12  Mar-16*,3161.0,HFCM
48,Depreciation,12  Mar-16*,262.0,HFCM
49,Interest,12  Mar-16*,615.0,HFCM
50,Profit before tax,12  Mar-16*,2632.0,HFCM
51,Minority Interest,12  Mar-16*,0.0,HFCM
