,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Dec-14,19775.0,HOCM
1,Other income,12  Dec-14,643.0,HOCM
2,Total revenues,12  Dec-14,20418.0,HOCM
3,Gross profit,12  Dec-14,3389.0,HOCM
4,Depreciation,12  Dec-14,966.0,HOCM
5,Interest,12  Dec-14,5.0,HOCM
6,Profit before tax,12  Dec-14,3061.0,HOCM
7,Minority Interest,12  Dec-14,0.0,HOCM
8,Prior Period Items,12  Dec-14,0.0,HOCM
9,Extraordinary Inc (Exp),12  Dec-14,666.0,HOCM
10,Tax,12  Dec-14,1090.0,HOCM
11,Profit after tax,12  Dec-14,2636.0,HOCM
12,Gross profit margin,12  Dec-14,17.1,HOCM
13,Effective tax rate,12  Dec-14,35.6,HOCM
14,Net profit margin,12  Dec-14,13.3,HOCM
15,Current assets,12  Dec-14,12628.0,HOCM
16,Current liabilities,12  Dec-14,6558.0,HOCM
17,Net working cap to sales,12  Dec-14,30.7,HOCM
18,Current ratio,12  Dec-14,1.9,HOCM
19,Inventory Days,12  Dec-14,88.0,HOCM
20,Debtors Days,12  Dec-14,21.0,HOCM
21,Net fixed assets,12  Dec-14,8582.0,HOCM
22,Share capital,12  Dec-14,230.0,HOCM
23,"""Free"" reserves",12  Dec-14,14559.0,HOCM
24,Net worth,12  Dec-14,14858.0,HOCM
25,Long term debt,12  Dec-14,0.0,HOCM
26,Total assets,12  Dec-14,22276.0,HOCM
27,Interest coverage,12  Dec-14,638.6,HOCM
28,Debt to equity ratio,12  Dec-14,0.0,HOCM
29,Sales to assets ratio,12  Dec-14,0.9,HOCM
30,Return on assets,12  Dec-14,11.9,HOCM
31,Return on equity,12  Dec-14,17.7,HOCM
32,Return on capital,12  Dec-14,25.1,HOCM
33,Exports to sales,12  Dec-14,24.2,HOCM
34,Imports to sales,12  Dec-14,36.9,HOCM
35,Exports (fob),12  Dec-14,4788.0,HOCM
36,Imports (cif),12  Dec-14,7298.0,HOCM
37,Fx inflow,12  Dec-14,5495.0,HOCM
38,Fx outflow,12  Dec-14,8045.0,HOCM
39,Net fx,12  Dec-14,-2550.0,HOCM
40,From Operations,12  Dec-14,2650.0,HOCM
41,From Investments,12  Dec-14,613.0,HOCM
42,From Financial Activity,12  Dec-14,-1217.0,HOCM
43,Net Cashflow,12  Dec-14,2046.0,HOCM
44,Net Sales,12  Dec-15,21930.0,HOCM
45,Other income,12  Dec-15,514.0,HOCM
46,Total revenues,12  Dec-15,22444.0,HOCM
47,Gross profit,12  Dec-15,4591.0,HOCM
48,Depreciation,12  Dec-15,1130.0,HOCM
49,Interest,12  Dec-15,4.0,HOCM
50,Profit before tax,12  Dec-15,3970.0,HOCM
51,Minority Interest,12  Dec-15,0.0,HOCM
