,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,147884.0,HZNC
1,Other income,12  Mar-15,28211.0,HZNC
2,Total revenues,12  Mar-15,176094.0,HZNC
3,Gross profit,12  Mar-15,74466.0,HZNC
4,Depreciation,12  Mar-15,6442.0,HZNC
5,Interest,12  Mar-15,235.0,HZNC
6,Profit before tax,12  Mar-15,96000.0,HZNC
7,Minority Interest,12  Mar-15,0.0,HZNC
8,Prior Period Items,12  Mar-15,0.0,HZNC
9,Extraordinary Inc (Exp),12  Mar-15,-299.0,HZNC
10,Tax,12  Mar-15,13921.0,HZNC
11,Profit after tax,12  Mar-15,81780.0,HZNC
12,Gross profit margin,12  Mar-15,50.4,HZNC
13,Effective tax rate,12  Mar-15,14.5,HZNC
14,Net profit margin,12  Mar-15,55.3,HZNC
15,Current assets,12  Mar-15,330840.0,HZNC
16,Current liabilities,12  Mar-15,16780.0,HZNC
17,Net working cap to sales,12  Mar-15,212.4,HZNC
18,Current ratio,12  Mar-15,19.7,HZNC
19,Inventory Days,12  Mar-15,30.0,HZNC
20,Debtors Days,12  Mar-15,14.0,HZNC
21,Net fixed assets,12  Mar-15,117880.0,HZNC
22,Share capital,12  Mar-15,8451.0,HZNC
23,"""Free"" reserves",12  Mar-15,437760.0,HZNC
24,Net worth,12  Mar-15,446211.0,HZNC
25,Long term debt,12  Mar-15,0.0,HZNC
26,Total assets,12  Mar-15,470020.0,HZNC
27,Interest coverage,12  Mar-15,409.3,HZNC
28,Debt to equity ratio,12  Mar-15,0.0,HZNC
29,Sales to assets ratio,12  Mar-15,0.3,HZNC
30,Return on assets,12  Mar-15,17.4,HZNC
31,Return on equity,12  Mar-15,18.3,HZNC
32,Return on capital,12  Mar-15,21.5,HZNC
33,Exports to sales,12  Mar-15,25.9,HZNC
34,Imports to sales,12  Mar-15,9.3,HZNC
35,Exports (fob),12  Mar-15,38256.0,HZNC
36,Imports (cif),12  Mar-15,13821.0,HZNC
37,Fx inflow,12  Mar-15,38256.0,HZNC
38,Fx outflow,12  Mar-15,14897.0,HZNC
39,Net fx,12  Mar-15,23359.0,HZNC
40,From Operations,12  Mar-15,55307.0,HZNC
41,From Investments,12  Mar-15,-38070.0,HZNC
42,From Financial Activity,12  Mar-15,-19020.0,HZNC
43,Net Cashflow,12  Mar-15,-1783.0,HZNC
44,Net Sales,12  Mar-16,154630.0,HZNC
45,Other income,12  Mar-16,27630.0,HZNC
46,Total revenues,12  Mar-16,182260.0,HZNC
47,Gross profit,12  Mar-16,66520.0,HZNC
48,Depreciation,12  Mar-16,7450.0,HZNC
49,Interest,12  Mar-16,170.0,HZNC
50,Profit before tax,12  Mar-16,86530.0,HZNC
51,Minority Interest,12  Mar-16,0.0,HZNC
52,Prior Period Items,12  Mar-16,0.0,HZNC
53,Extraordinary Inc (Exp),12  Mar-16,-300.0,HZNC
54,Tax,12  Mar-16,4480.0,HZNC
55,Profit after tax,12  Mar-16,81750.0,HZNC
56,Gross profit margin,12  Mar-16,43.0,HZNC
57,Effective tax rate,12  Mar-16,5.2,HZNC
58,Net profit margin,12  Mar-16,52.9,HZNC
59,Current assets,12  Mar-16,369130.0,HZNC
60,Current liabilities,12  Mar-16,151270.0,HZNC
61,Net working cap to sales,12  Mar-16,140.9,HZNC
62,Current ratio,12  Mar-16,2.4,HZNC
63,Inventory Days,12  Mar-16,25.0,HZNC
64,Debtors Days,12  Mar-16,3.0,HZNC
65,Net fixed assets,12  Mar-16,126930.0,HZNC
66,Share capital,12  Mar-16,8451.0,HZNC
67,"""Free"" reserves",12  Mar-16,365400.0,HZNC
68,Net worth,12  Mar-16,373851.0,HZNC
69,Long term debt,12  Mar-16,0.0,HZNC
70,Total assets,12  Mar-16,531950.0,HZNC
71,Interest coverage,12  Mar-16,510.0,HZNC
72,Debt to equity ratio,12  Mar-16,0.0,HZNC
73,Sales to assets ratio,12  Mar-16,0.3,HZNC
74,Return on assets,12  Mar-16,15.4,HZNC
75,Return on equity,12  Mar-16,21.9,HZNC
76,Return on capital,12  Mar-16,23.1,HZNC
77,Exports to sales,12  Mar-16,21.8,HZNC
78,Imports to sales,12  Mar-16,8.2,HZNC
79,Exports (fob),12  Mar-16,33692.0,HZNC
80,Imports (cif),12  Mar-16,12673.0,HZNC
81,Fx inflow,12  Mar-16,33692.0,HZNC
82,Fx outflow,12  Mar-16,13915.0,HZNC
83,Net fx,12  Mar-16,19777.0,HZNC
84,From Operations,12  Mar-16,64510.0,HZNC
85,From Investments,12  Mar-16,-32360.0,HZNC
86,From Financial Activity,12  Mar-16,-32140.0,HZNC
87,Net Cashflow,12  Mar-16,10.0,HZNC
88,Net Sales,12  Mar-17,172730.0,HZNC
89,Other income,12  Mar-17,24740.0,HZNC
90,Total revenues,12  Mar-17,197470.0,HZNC
91,Gross profit,12  Mar-17,97390.0,HZNC
92,Depreciation,12  Mar-17,18110.0,HZNC
93,Interest,12  Mar-17,2020.0,HZNC
94,Profit before tax,12  Mar-17,102000.0,HZNC
95,Minority Interest,12  Mar-17,0.0,HZNC
96,Prior Period Items,12  Mar-17,0.0,HZNC
97,Extraordinary Inc (Exp),12  Mar-17,0.0,HZNC
98,Tax,12  Mar-17,18840.0,HZNC
99,Profit after tax,12  Mar-17,83160.0,HZNC
100,Gross profit margin,12  Mar-17,56.4,HZNC
101,Effective tax rate,12  Mar-17,18.5,HZNC
102,Net profit margin,12  Mar-17,48.1,HZNC
103,Current assets,12  Mar-17,346490.0,HZNC
104,Current liabilities,12  Mar-17,202300.0,HZNC
105,Net working cap to sales,12  Mar-17,83.5,HZNC
106,Current ratio,12  Mar-17,1.7,HZNC
107,Inventory Days,12  Mar-17,41.0,HZNC
108,Debtors Days,12  Mar-17,3.0,HZNC
109,Net fixed assets,12  Mar-17,129360.0,HZNC
110,Share capital,12  Mar-17,8451.0,HZNC
111,"""Free"" reserves",12  Mar-17,299600.0,HZNC
112,Net worth,12  Mar-17,308051.0,HZNC
113,Long term debt,12  Mar-17,0.0,HZNC
114,Total assets,12  Mar-17,517950.0,HZNC
