,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,54194.0,IBHF
1,Other income,12  Mar-14*,5419.0,IBHF
2,Total revenues,12  Mar-14*,59613.0,IBHF
3,Gross profit,12  Mar-14*,47301.0,IBHF
4,Depreciation,12  Mar-14*,79.0,IBHF
5,Interest,12  Mar-14*,32824.0,IBHF
6,Profit before tax,12  Mar-14*,19818.0,IBHF
7,Minority Interest,12  Mar-14*,-44.0,IBHF
8,Prior Period Items,12  Mar-14*,0.0,IBHF
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,IBHF
10,Tax,12  Mar-14*,4133.0,IBHF
11,Profit after tax,12  Mar-14*,15642.0,IBHF
12,Gross profit margin,12  Mar-14*,87.3,IBHF
13,Effective tax rate,12  Mar-14*,20.9,IBHF
14,Net profit margin,12  Mar-14*,28.9,IBHF
15,Current assets,12  Mar-14*,122465.0,IBHF
16,Current liabilities,12  Mar-14*,181754.0,IBHF
17,Net working cap to sales,12  Mar-14*,-109.4,IBHF
18,Current ratio,12  Mar-14*,0.7,IBHF
19,Inventory Days,12  Mar-14*,0.0,IBHF
20,Debtors Days,12  Mar-14*,0.0,IBHF
21,Net fixed assets,12  Mar-14*,469.0,IBHF
22,Share capital,12  Mar-14*,668.0,IBHF
23,"""Free"" reserves",12  Mar-14*,877.0,IBHF
24,Net worth,12  Mar-14*,1545.0,IBHF
25,Long term debt,12  Mar-14*,201655.0,IBHF
26,Total assets,12  Mar-14*,444184.0,IBHF
27,Interest coverage,12  Mar-14*,1.6,IBHF
28,Debt to equity ratio,12  Mar-14*,130.5,IBHF
29,Sales to assets ratio,12  Mar-14*,0.1,IBHF
30,Return on assets,12  Mar-14*,10.9,IBHF
31,Return on equity,12  Mar-14*,1012.5,IBHF
32,Return on capital,12  Mar-14*,25.9,IBHF
33,Exports to sales,12  Mar-14*,0.0,IBHF
34,Imports to sales,12  Mar-14*,0.0,IBHF
35,Exports (fob),12  Mar-14*,0.0,IBHF
36,Imports (cif),12  Mar-14*,0.0,IBHF
37,Fx inflow,12  Mar-14*,15.0,IBHF
38,Fx outflow,12  Mar-14*,130.0,IBHF
39,Net fx,12  Mar-14*,-115.0,IBHF
40,From Operations,12  Mar-14*,-24524.0,IBHF
41,From Investments,12  Mar-14*,-6513.0,IBHF
42,From Financial Activity,12  Mar-14*,30900.0,IBHF
43,Net Cashflow,12  Mar-14*,-137.0,IBHF
44,Net Sales,12  Mar-15*,64493.0,IBHF
45,Other income,12  Mar-15*,8031.0,IBHF
46,Total revenues,12  Mar-15*,72523.0,IBHF
47,Gross profit,12  Mar-15*,56324.0,IBHF
48,Depreciation,12  Mar-15*,188.0,IBHF
49,Interest,12  Mar-15*,39442.0,IBHF
50,Profit before tax,12  Mar-15*,24725.0,IBHF
51,Minority Interest,12  Mar-15*,-1.0,IBHF
52,Prior Period Items,12  Mar-15*,0.0,IBHF
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,IBHF
54,Tax,12  Mar-15*,5713.0,IBHF
55,Profit after tax,12  Mar-15*,19011.0,IBHF
56,Gross profit margin,12  Mar-15*,87.3,IBHF
57,Effective tax rate,12  Mar-15*,23.1,IBHF
58,Net profit margin,12  Mar-15*,29.5,IBHF
59,Current assets,12  Mar-15*,159894.0,IBHF
60,Current liabilities,12  Mar-15*,207716.0,IBHF
61,Net working cap to sales,12  Mar-15*,-74.2,IBHF
62,Current ratio,12  Mar-15*,0.8,IBHF
63,Inventory Days,12  Mar-15*,0.0,IBHF
64,Debtors Days,12  Mar-15*,0.0,IBHF
65,Net fixed assets,12  Mar-15*,541.0,IBHF
66,Share capital,12  Mar-15*,711.0,IBHF
67,"""Free"" reserves",12  Mar-15*,65467.0,IBHF
68,Net worth,12  Mar-15*,66178.0,IBHF
69,Long term debt,12  Mar-15*,291055.0,IBHF
70,Total assets,12  Mar-15*,572312.0,IBHF
71,Interest coverage,12  Mar-15*,1.6,IBHF
72,Debt to equity ratio,12  Mar-15*,4.4,IBHF
73,Sales to assets ratio,12  Mar-15*,0.1,IBHF
74,Return on assets,12  Mar-15*,10.2,IBHF
75,Return on equity,12  Mar-15*,28.7,IBHF
76,Return on capital,12  Mar-15*,18.0,IBHF
77,Exports to sales,12  Mar-15*,0.0,IBHF
78,Imports to sales,12  Mar-15*,0.0,IBHF
79,Exports (fob),12  Mar-15*,0.0,IBHF
80,Imports (cif),12  Mar-15*,0.0,IBHF
81,Fx inflow,12  Mar-15*,9.0,IBHF
82,Fx outflow,12  Mar-15*,272.0,IBHF
83,Net fx,12  Mar-15*,-264.0,IBHF
84,From Operations,12  Mar-15*,-88919.0,IBHF
85,From Investments,12  Mar-15*,-20929.0,IBHF
86,From Financial Activity,12  Mar-15*,106992.0,IBHF
87,Net Cashflow,12  Mar-15*,-2857.0,IBHF
88,Net Sales,12  Mar-16*,82899.0,IBHF
89,Other income,12  Mar-16*,9356.0,IBHF
90,Total revenues,12  Mar-16*,92256.0,IBHF
91,Gross profit,12  Mar-16*,71850.0,IBHF
92,Depreciation,12  Mar-16*,204.0,IBHF
93,Interest,12  Mar-16*,49714.0,IBHF
94,Profit before tax,12  Mar-16*,31289.0,IBHF
95,Minority Interest,12  Mar-16*,-82.0,IBHF
96,Prior Period Items,12  Mar-16*,0.0,IBHF
97,Extraordinary Inc (Exp),12  Mar-16*,0.0,IBHF
98,Tax,12  Mar-16*,7760.0,IBHF
99,Profit after tax,12  Mar-16*,23447.0,IBHF
100,Gross profit margin,12  Mar-16*,86.7,IBHF
101,Effective tax rate,12  Mar-16*,24.8,IBHF
102,Net profit margin,12  Mar-16*,28.3,IBHF
103,Current assets,12  Mar-16*,216336.0,IBHF
104,Current liabilities,12  Mar-16*,293050.0,IBHF
105,Net working cap to sales,12  Mar-16*,-92.5,IBHF
106,Current ratio,12  Mar-16*,0.7,IBHF
107,Inventory Days,12  Mar-16*,0.0,IBHF
108,Debtors Days,12  Mar-16*,0.0,IBHF
109,Net fixed assets,12  Mar-16*,686.0,IBHF
110,Share capital,12  Mar-16*,843.0,IBHF
111,"""Free"" reserves",12  Mar-16*,105958.0,IBHF
112,Net worth,12  Mar-16*,106800.0,IBHF
113,Long term debt,12  Mar-16*,355213.0,IBHF
114,Total assets,12  Mar-16*,757197.0,IBHF
115,Interest coverage,12  Mar-16*,1.6,IBHF
116,Debt to equity ratio,12  Mar-16*,3.3,IBHF
117,Sales to assets ratio,12  Mar-16*,0.1,IBHF
118,Return on assets,12  Mar-16*,9.7,IBHF
119,Return on equity,12  Mar-16*,22.0,IBHF
120,Return on capital,12  Mar-16*,17.5,IBHF
121,Exports to sales,12  Mar-16*,0.0,IBHF
122,Imports to sales,12  Mar-16*,0.0,IBHF
123,Exports (fob),12  Mar-16*,0.0,IBHF
124,Imports (cif),12  Mar-16*,0.0,IBHF
125,Fx inflow,12  Mar-16*,0.0,IBHF
126,Fx outflow,12  Mar-16*,877.0,IBHF
127,Net fx,12  Mar-16*,-877.0,IBHF
128,From Operations,12  Mar-16*,-116433.0,IBHF
129,From Investments,12  Mar-16*,-49971.0,IBHF
130,From Financial Activity,12  Mar-16*,153300.0,IBHF
131,Net Cashflow,12  Mar-16*,-13104.0,IBHF
132,Net Sales,12  Mar-17*,103990.0,IBHF
133,Other income,12  Mar-17*,12915.0,IBHF
134,Total revenues,12  Mar-17*,116906.0,IBHF
135,Gross profit,12  Mar-17*,89142.0,IBHF
136,Depreciation,12  Mar-17*,231.0,IBHF
137,Interest,12  Mar-17*,64108.0,IBHF
138,Profit before tax,12  Mar-17*,37718.0,IBHF
139,Minority Interest,12  Mar-17*,-22.0,IBHF
140,Prior Period Items,12  Mar-17*,0.0,IBHF
141,Extraordinary Inc (Exp),12  Mar-17*,0.0,IBHF
