,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-15,0,IDBL
1,Other income,12  Mar-15,0,IDBL
2,Interest expense,12  Mar-15,0,IDBL
3,Net interest income,12  Mar-15,0,IDBL
4,Operating expense,12  Mar-15,0,IDBL
5,Provisions/contingencies,12  Mar-15,0,IDBL
6,Profit before tax,12  Mar-15,0,IDBL
7,Extraordinary Inc (Exp),12  Mar-15,0,IDBL
8,Minority Interest,12  Mar-15,0,IDBL
9,Prior Period Items,12  Mar-15,0,IDBL
10,Tax,12  Mar-15,0,IDBL
11,Profit after tax,12  Mar-15,0,IDBL
12,Net profit margin,12  Mar-15,N.A.,IDBL
13,Advances,12  Mar-15,0,IDBL
14,Deposits,12  Mar-15,0,IDBL
15,Credit/Deposit ratio,12  Mar-15,NM,IDBL
16,Yield on advances,12  Mar-15,N.A.,IDBL
17,Cost of deposits,12  Mar-15,N.A.,IDBL
18,Net Interest Margin,12  Mar-15,NM,IDBL
19,Net fixed assets,12  Mar-15,0,IDBL
20,Share capital,12  Mar-15,1,IDBL
21,Free reserves,12  Mar-15,0,IDBL
22,Net worth,12  Mar-15,1,IDBL
23,Borrowings,12  Mar-15,0,IDBL
24,Investments,12  Mar-15,0,IDBL
25,Total assets,12  Mar-15,1,IDBL
26,Debt/equity ratio,12  Mar-15,0,IDBL
27,Return on assets,12  Mar-15,0,IDBL
28,Return on equity,12  Mar-15,0,IDBL
29,Capital adequacy ratio,12  Mar-15,0,IDBL
30,Net NPAs,12  Mar-15,0,IDBL
31,From Operations,12  Mar-15,0,IDBL
32,From Investments,12  Mar-15,0,IDBL
33,From Financial Activity,12  Mar-15,1,IDBL
34,Net Cashflow,12  Mar-15,1,IDBL
35,Interest income,12  Mar-16,36488.0,IDBL
36,Other income,12  Mar-16,4032.0,IDBL
37,Interest expense,12  Mar-16,28015.0,IDBL
38,Net interest income,12  Mar-16,8473.0,IDBL
39,Operating expense,12  Mar-16,5106.0,IDBL
40,Provisions/contingencies,12  Mar-16,2731.0,IDBL
41,Profit before tax,12  Mar-16,4669.0,IDBL
42,Extraordinary Inc (Exp),12  Mar-16,0.0,IDBL
43,Minority Interest,12  Mar-16,0.0,IDBL
44,Prior Period Items,12  Mar-16,0.0,IDBL
45,Tax,12  Mar-16,0.0,IDBL
46,Profit after tax,12  Mar-16,4669.0,IDBL
47,Net profit margin,12  Mar-16,12.8,IDBL
48,Advances,12  Mar-16,456994.0,IDBL
49,Deposits,12  Mar-16,82191.0,IDBL
50,Credit/Deposit ratio,12  Mar-16,556.0,IDBL
51,Yield on advances,12  Mar-16,5.1,IDBL
52,Cost of deposits,12  Mar-16,0.8,IDBL
53,Net Interest Margin,12  Mar-16,1.2,IDBL
54,Net fixed assets,12  Mar-16,6729.0,IDBL
55,Share capital,12  Mar-16,33926.0,IDBL
56,Free reserves,12  Mar-16,102366.0,IDBL
57,Net worth,12  Mar-16,136292.0,IDBL
58,Borrowings,12  Mar-16,479138.0,IDBL
59,Investments,12  Mar-16,200912.0,IDBL
60,Total assets,12  Mar-16,832159.0,IDBL
61,Debt/equity ratio,12  Mar-16,4.1,IDBL
62,Return on assets,12  Mar-16,0.6,IDBL
63,Return on equity,12  Mar-16,3.4,IDBL
64,Capital adequacy ratio,12  Mar-16,22.0,IDBL
65,Net NPAs,12  Mar-16,2.4,IDBL
66,From Operations,12  Mar-16,-130336.0,IDBL
67,From Investments,12  Mar-16,71711.0,IDBL
68,From Financial Activity,12  Mar-16,74749.0,IDBL
69,Net Cashflow,12  Mar-16,29039.0,IDBL
70,Interest income,12  Mar-17,85327.0,IDBL
71,Other income,12  Mar-17,10131.0,IDBL
72,Interest expense,12  Mar-17,65154.0,IDBL
73,Net interest income,12  Mar-17,20173.0,IDBL
74,Operating expense,12  Mar-17,12770.0,IDBL
75,Provisions/contingencies,12  Mar-17,7337.0,IDBL
76,Profit before tax,12  Mar-17,10197.0,IDBL
77,Extraordinary Inc (Exp),12  Mar-17,0.0,IDBL
78,Minority Interest,12  Mar-17,0.0,IDBL
