,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,3017.0,IIDF
1,Other income,12  Mar-14*,149.0,IIDF
2,Total revenues,12  Mar-14*,3166.0,IIDF
3,Gross profit,12  Mar-14*,-32.0,IIDF
4,Depreciation,12  Mar-14*,196.0,IIDF
5,Interest,12  Mar-14*,1849.0,IIDF
6,Profit before tax,12  Mar-14*,-1928.0,IIDF
7,Minority Interest,12  Mar-14*,8.0,IIDF
8,Prior Period Items,12  Mar-14*,0.0,IIDF
9,Extraordinary Inc (Exp),12  Mar-14*,-1067.0,IIDF
10,Tax,12  Mar-14*,-10.0,IIDF
11,Profit after tax,12  Mar-14*,-2977.0,IIDF
12,Gross profit margin,12  Mar-14*,-1.1,IIDF
13,Effective tax rate,12  Mar-14*,0.5,IIDF
14,Net profit margin,12  Mar-14*,-98.7,IIDF
15,Current assets,12  Mar-14*,1065.0,IIDF
16,Current liabilities,12  Mar-14*,5672.0,IIDF
17,Net working cap to sales,12  Mar-14*,-152.7,IIDF
18,Current ratio,12  Mar-14*,0.2,IIDF
19,Inventory Days,12  Mar-14*,0.0,IIDF
20,Debtors Days,12  Mar-14*,94.0,IIDF
21,Net fixed assets,12  Mar-14*,14820.0,IIDF
22,Share capital,12  Mar-14*,134.0,IIDF
23,"""Free"" reserves",12  Mar-14*,5468.0,IIDF
24,Net worth,12  Mar-14*,5602.0,IIDF
25,Long term debt,12  Mar-14*,12441.0,IIDF
26,Total assets,12  Mar-14*,24989.0,IIDF
27,Interest coverage,12  Mar-14*,0.0,IIDF
28,Debt to equity ratio,12  Mar-14*,2.2,IIDF
29,Sales to assets ratio,12  Mar-14*,0.1,IIDF
30,Return on assets,12  Mar-14*,-4.5,IIDF
31,Return on equity,12  Mar-14*,-53.1,IIDF
32,Return on capital,12  Mar-14*,-6.3,IIDF
33,Exports to sales,12  Mar-14*,0.0,IIDF
34,Imports to sales,12  Mar-14*,0.0,IIDF
35,Exports (fob),12  Mar-14*,0.0,IIDF
36,Imports (cif),12  Mar-14*,0.0,IIDF
37,Fx inflow,12  Mar-14*,109.0,IIDF
38,Fx outflow,12  Mar-14*,12.0,IIDF
39,Net fx,12  Mar-14*,97.0,IIDF
40,From Operations,12  Mar-14*,294.0,IIDF
41,From Investments,12  Mar-14*,-312.0,IIDF
42,From Financial Activity,12  Mar-14*,26.0,IIDF
43,Net Cashflow,12  Mar-14*,9.0,IIDF
44,Net Sales,12  Mar-15*,505.0,IIDF
45,Other income,12  Mar-15*,6.0,IIDF
46,Total revenues,12  Mar-15*,511.0,IIDF
47,Gross profit,12  Mar-15*,111.0,IIDF
48,Depreciation,12  Mar-15*,292.0,IIDF
49,Interest,12  Mar-15*,2132.0,IIDF
50,Profit before tax,12  Mar-15*,-2308.0,IIDF
51,Minority Interest,12  Mar-15*,-32.0,IIDF
52,Prior Period Items,12  Mar-15*,0.0,IIDF
53,Extraordinary Inc (Exp),12  Mar-15*,-101.0,IIDF
54,Tax,12  Mar-15*,0.0,IIDF
55,Profit after tax,12  Mar-15*,-2440.0,IIDF
56,Gross profit margin,12  Mar-15*,21.9,IIDF
57,Effective tax rate,12  Mar-15*,0.0,IIDF
