,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,7060.0,JCLD
1,Other income,12  Mar-15*,258.0,JCLD
2,Total revenues,12  Mar-15*,7319.0,JCLD
3,Gross profit,12  Mar-15*,895.0,JCLD
4,Depreciation,12  Mar-15*,234.0,JCLD
5,Interest,12  Mar-15*,23.0,JCLD
6,Profit before tax,12  Mar-15*,897.0,JCLD
7,Minority Interest,12  Mar-15*,0.0,JCLD
8,Prior Period Items,12  Mar-15*,-43.0,JCLD
9,Extraordinary Inc (Exp),12  Mar-15*,-31.0,JCLD
10,Tax,12  Mar-15*,299.0,JCLD
11,Profit after tax,12  Mar-15*,524.0,JCLD
12,Gross profit margin,12  Mar-15*,12.7,JCLD
13,Effective tax rate,12  Mar-15*,33.3,JCLD
14,Net profit margin,12  Mar-15*,7.4,JCLD
15,Current assets,12  Mar-15*,7122.0,JCLD
16,Current liabilities,12  Mar-15*,466.0,JCLD
17,Net working cap to sales,12  Mar-15*,94.3,JCLD
18,Current ratio,12  Mar-15*,15.3,JCLD
19,Inventory Days,12  Mar-15*,106.0,JCLD
20,Debtors Days,12  Mar-15*,45.0,JCLD
21,Net fixed assets,12  Mar-15*,2031.0,JCLD
22,Share capital,12  Mar-15*,179.0,JCLD
23,"""Free"" reserves",12  Mar-15*,10558.0,JCLD
24,Net worth,12  Mar-15*,10737.0,JCLD
25,Long term debt,12  Mar-15*,89.0,JCLD
26,Total assets,12  Mar-15*,21614.0,JCLD
27,Interest coverage,12  Mar-15*,40.5,JCLD
28,Debt to equity ratio,12  Mar-15*,0.0,JCLD
29,Sales to assets ratio,12  Mar-15*,0.3,JCLD
30,Return on assets,12  Mar-15*,2.5,JCLD
31,Return on equity,12  Mar-15*,4.9,JCLD
32,Return on capital,12  Mar-15*,7.8,JCLD
33,Exports to sales,12  Mar-15*,23.8,JCLD
34,Imports to sales,12  Mar-15*,3.3,JCLD
35,Exports (fob),12  Mar-15*,1679.0,JCLD
36,Imports (cif),12  Mar-15*,234.0,JCLD
37,Fx inflow,12  Mar-15*,1823.0,JCLD
38,Fx outflow,12  Mar-15*,348.0,JCLD
39,Net fx,12  Mar-15*,1475.0,JCLD
40,From Operations,12  Mar-15*,790.0,JCLD
41,From Investments,12  Mar-15*,588.0,JCLD
42,From Financial Activity,12  Mar-15*,-1493.0,JCLD
43,Net Cashflow,12  Mar-15*,-115.0,JCLD
44,Net Sales,12  Mar-16*,6690.0,JCLD
45,Other income,12  Mar-16*,257.0,JCLD
46,Total revenues,12  Mar-16*,6946.0,JCLD
47,Gross profit,12  Mar-16*,876.0,JCLD
48,Depreciation,12  Mar-16*,179.0,JCLD
49,Interest,12  Mar-16*,829.0,JCLD
50,Profit before tax,12  Mar-16*,125.0,JCLD
51,Minority Interest,12  Mar-16*,0.0,JCLD
52,Prior Period Items,12  Mar-16*,-71.0,JCLD
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,JCLD
54,Tax,12  Mar-16*,194.0,JCLD
55,Profit after tax,12  Mar-16*,-141.0,JCLD
56,Gross profit margin,12  Mar-16*,13.1,JCLD
57,Effective tax rate,12  Mar-16*,156.1,JCLD
58,Net profit margin,12  Mar-16*,-2.1,JCLD
59,Current assets,12  Mar-16*,6448.0,JCLD
60,Current liabilities,12  Mar-16*,619.0,JCLD
61,Net working cap to sales,12  Mar-16*,87.1,JCLD
62,Current ratio,12  Mar-16*,10.4,JCLD
63,Inventory Days,12  Mar-16*,126.0,JCLD
64,Debtors Days,12  Mar-16*,41.0,JCLD
65,Net fixed assets,12  Mar-16*,1909.0,JCLD
66,Share capital,12  Mar-16*,179.0,JCLD
67,"""Free"" reserves",12  Mar-16*,11567.0,JCLD
68,Net worth,12  Mar-16*,11745.0,JCLD
69,Long term debt,12  Mar-16*,8947.0,JCLD
70,Total assets,12  Mar-16*,21887.0,JCLD
71,Interest coverage,12  Mar-16*,1.2,JCLD
72,Debt to equity ratio,12  Mar-16*,0.8,JCLD
73,Sales to assets ratio,12  Mar-16*,0.3,JCLD
74,Return on assets,12  Mar-16*,3.1,JCLD
75,Return on equity,12  Mar-16*,-1.2,JCLD
76,Return on capital,12  Mar-16*,4.3,JCLD
77,Exports to sales,12  Mar-16*,23.8,JCLD
78,Imports to sales,12  Mar-16*,7.7,JCLD
79,Exports (fob),12  Mar-16*,1592.0,JCLD
80,Imports (cif),12  Mar-16*,515.0,JCLD
81,Fx inflow,12  Mar-16*,1721.0,JCLD
82,Fx outflow,12  Mar-16*,626.0,JCLD
83,Net fx,12  Mar-16*,1095.0,JCLD
84,From Operations,12  Mar-16*,711.0,JCLD
85,From Investments,12  Mar-16*,149.0,JCLD
86,From Financial Activity,12  Mar-16*,-957.0,JCLD
87,Net Cashflow,12  Mar-16*,-98.0,JCLD
88,Net Sales,12  Mar-17*,6946.0,JCLD
89,Other income,12  Mar-17*,207.0,JCLD
