,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,23155.0,JKCO
1,Other income,12  Mar-15*,280.0,JKCO
2,Total revenues,12  Mar-15*,23435.0,JKCO
3,Gross profit,12  Mar-15*,3526.0,JKCO
4,Depreciation,12  Mar-15*,1146.0,JKCO
5,Interest,12  Mar-15*,945.0,JKCO
6,Profit before tax,12  Mar-15*,1715.0,JKCO
7,Minority Interest,12  Mar-15*,-24.0,JKCO
8,Prior Period Items,12  Mar-15*,0.0,JKCO
9,Extraordinary Inc (Exp),12  Mar-15*,-620.0,JKCO
10,Tax,12  Mar-15*,41.0,JKCO
11,Profit after tax,12  Mar-15*,1029.0,JKCO
12,Gross profit margin,12  Mar-15*,15.2,JKCO
13,Effective tax rate,12  Mar-15*,2.4,JKCO
14,Net profit margin,12  Mar-15*,4.4,JKCO
15,Current assets,12  Mar-15*,8651.0,JKCO
16,Current liabilities,12  Mar-15*,11645.0,JKCO
17,Net working cap to sales,12  Mar-15*,-12.9,JKCO
18,Current ratio,12  Mar-15*,0.7,JKCO
19,Inventory Days,12  Mar-15*,36.0,JKCO
20,Debtors Days,12  Mar-15*,9.0,JKCO
21,Net fixed assets,12  Mar-15*,31694.0,JKCO
22,Share capital,12  Mar-15*,589.0,JKCO
23,"""Free"" reserves",12  Mar-15*,12894.0,JKCO
24,Net worth,12  Mar-15*,13482.0,JKCO
25,Long term debt,12  Mar-15*,14875.0,JKCO
26,Total assets,12  Mar-15*,41321.0,JKCO
27,Interest coverage,12  Mar-15*,2.8,JKCO
28,Debt to equity ratio,12  Mar-15*,1.1,JKCO
29,Sales to assets ratio,12  Mar-15*,0.6,JKCO
30,Return on assets,12  Mar-15*,4.8,JKCO
31,Return on equity,12  Mar-15*,7.6,JKCO
32,Return on capital,12  Mar-15*,7.1,JKCO
33,Exports to sales,12  Mar-15*,0.0,JKCO
34,Imports to sales,12  Mar-15*,5.7,JKCO
35,Exports (fob),12  Mar-15*,0.0,JKCO
36,Imports (cif),12  Mar-15*,1328.0,JKCO
37,Fx inflow,12  Mar-15*,0.0,JKCO
38,Fx outflow,12  Mar-15*,1343.0,JKCO
39,Net fx,12  Mar-15*,-1343.0,JKCO
40,From Operations,12  Mar-15*,3304.0,JKCO
41,From Investments,12  Mar-15*,-4300.0,JKCO
42,From Financial Activity,12  Mar-15*,298.0,JKCO
43,Net Cashflow,12  Mar-15*,-699.0,JKCO
44,Net Sales,12  Mar-16*,26353.0,JKCO
45,Other income,12  Mar-16*,723.0,JKCO
46,Total revenues,12  Mar-16*,27076.0,JKCO
47,Gross profit,12  Mar-16*,2730.0,JKCO
48,Depreciation,12  Mar-16*,1656.0,JKCO
49,Interest,12  Mar-16*,2222.0,JKCO
50,Profit before tax,12  Mar-16*,-424.0,JKCO
