,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,13432.0,JKIL
1,Other income,12  Mar-15,131.0,JKIL
2,Total revenues,12  Mar-15,13562.0,JKIL
3,Gross profit,12  Mar-15,2506.0,JKIL
4,Depreciation,12  Mar-15,474.0,JKIL
5,Interest,12  Mar-15,768.0,JKIL
6,Profit before tax,12  Mar-15,1395.0,JKIL
7,Minority Interest,12  Mar-15,0.0,JKIL
8,Prior Period Items,12  Mar-15,0.0,JKIL
9,Extraordinary Inc (Exp),12  Mar-15,0.0,JKIL
10,Tax,12  Mar-15,451.0,JKIL
11,Profit after tax,12  Mar-15,944.0,JKIL
12,Gross profit margin,12  Mar-15,18.7,JKIL
13,Effective tax rate,12  Mar-15,32.3,JKIL
14,Net profit margin,12  Mar-15,7.0,JKIL
15,Current assets,12  Mar-15,9502.0,JKIL
16,Current liabilities,12  Mar-15,8353.0,JKIL
17,Net working cap to sales,12  Mar-15,8.6,JKIL
18,Current ratio,12  Mar-15,1.1,JKIL
19,Inventory Days,12  Mar-15,148.0,JKIL
20,Debtors Days,12  Mar-15,55.0,JKIL
21,Net fixed assets,12  Mar-15,4933.0,JKIL
22,Share capital,12  Mar-15,322.0,JKIL
23,"""Free"" reserves",12  Mar-15,7569.0,JKIL
24,Net worth,12  Mar-15,7891.0,JKIL
25,Long term debt,12  Mar-15,533.0,JKIL
26,Total assets,12  Mar-15,16922.0,JKIL
27,Interest coverage,12  Mar-15,2.8,JKIL
28,Debt to equity ratio,12  Mar-15,0.1,JKIL
29,Sales to assets ratio,12  Mar-15,0.8,JKIL
30,Return on assets,12  Mar-15,10.1,JKIL
31,Return on equity,12  Mar-15,12.0,JKIL
32,Return on capital,12  Mar-15,25.7,JKIL
33,Exports to sales,12  Mar-15,0.0,JKIL
34,Imports to sales,12  Mar-15,0.0,JKIL
35,Exports (fob),12  Mar-15,0.0,JKIL
36,Imports (cif),12  Mar-15,0.0,JKIL
37,Fx inflow,12  Mar-15,0.0,JKIL
38,Fx outflow,12  Mar-15,240.0,JKIL
39,Net fx,12  Mar-15,-240.0,JKIL
40,From Operations,12  Mar-15,586.0,JKIL
41,From Investments,12  Mar-15,-535.0,JKIL
42,From Financial Activity,12  Mar-15,30.0,JKIL
43,Net Cashflow,12  Mar-15,81.0,JKIL
44,Net Sales,12  Mar-16,14079.0,JKIL
45,Other income,12  Mar-16,175.0,JKIL
46,Total revenues,12  Mar-16,14253.0,JKIL
47,Gross profit,12  Mar-16,2483.0,JKIL
48,Depreciation,12  Mar-16,512.0,JKIL
49,Interest,12  Mar-16,617.0,JKIL
50,Profit before tax,12  Mar-16,1529.0,JKIL
51,Minority Interest,12  Mar-16,0.0,JKIL
52,Prior Period Items,12  Mar-16,0.0,JKIL
53,Extraordinary Inc (Exp),12  Mar-16,0.0,JKIL
54,Tax,12  Mar-16,544.0,JKIL
55,Profit after tax,12  Mar-16,985.0,JKIL
56,Gross profit margin,12  Mar-16,17.6,JKIL
57,Effective tax rate,12  Mar-16,35.6,JKIL
58,Net profit margin,12  Mar-16,7.0,JKIL
59,Current assets,12  Mar-16,11030.0,JKIL
60,Current liabilities,12  Mar-16,6164.0,JKIL
61,Net working cap to sales,12  Mar-16,34.6,JKIL
62,Current ratio,12  Mar-16,1.8,JKIL
63,Inventory Days,12  Mar-16,126.0,JKIL
64,Debtors Days,12  Mar-16,77.0,JKIL
65,Net fixed assets,12  Mar-16,4974.0,JKIL
66,Share capital,12  Mar-16,378.0,JKIL
67,"""Free"" reserves",12  Mar-16,12539.0,JKIL
68,Net worth,12  Mar-16,12918.0,JKIL
69,Long term debt,12  Mar-16,287.0,JKIL
70,Total assets,12  Mar-16,19636.0,JKIL
71,Interest coverage,12  Mar-16,3.5,JKIL
72,Debt to equity ratio,12  Mar-16,0.0,JKIL
73,Sales to assets ratio,12  Mar-16,0.7,JKIL
