,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-15*,11962.0,JMSS
1,Other income,12  Mar-15*,2068.0,JMSS
2,Interest expense,12  Mar-15*,4202.0,JMSS
3,Net interest income,12  Mar-15*,7760.0,JMSS
4,Operating expense,12  Mar-15*,181.0,JMSS
5,Gross profit,12  Mar-15*,7580.0,JMSS
6,Gross profit margin,12  Mar-15*,63.4,JMSS
7,Provisions/contingencies,12  Mar-15*,0.0,JMSS
8,Profit before tax,12  Mar-15*,5169.0,JMSS
9,Extraordinary Inc (Exp),12  Mar-15*,188.0,JMSS
10,Minority Interest,12  Mar-15*,-488.0,JMSS
11,Prior Period Items,12  Mar-15*,0.0,JMSS
12,Tax,12  Mar-15*,1564.0,JMSS
13,Profit after tax,12  Mar-15*,3305.0,JMSS
14,Net profit margin,12  Mar-15*,27.6,JMSS
15,Advances,12  Mar-15*,45048,JMSS
16,Deposits,12  Mar-15*,0,JMSS
17,Credit/Deposit ratio,12  Mar-15*,NM,JMSS
18,Yield on advances,12  Mar-15*,0,JMSS
19,Cost of deposits,12  Mar-15*,N.A.,JMSS
20,Net Interest Margin,12  Mar-15*,17.2,JMSS
21,Net fixed assets,12  Mar-15*,3418,JMSS
22,Share capital,12  Mar-15*,784,JMSS
23,Free reserves,12  Mar-15*,23673,JMSS
24,Net worth,12  Mar-15*,24457,JMSS
25,Borrowings,12  Mar-15*,2614,JMSS
26,Investments,12  Mar-15*,0,JMSS
27,Total assets,12  Mar-15*,85049,JMSS
28,Debt/equity ratio,12  Mar-15*,0.1,JMSS
29,Return on assets,12  Mar-15*,3.9,JMSS
30,Return on equity,12  Mar-15*,13.5,JMSS
31,Capital adequacy ratio,12  Mar-15*,0,JMSS
32,Net NPAs,12  Mar-15*,0,JMSS
33,From Operations,12  Mar-15*,-17171,JMSS
34,From Investments,12  Mar-15*,-2810,JMSS
35,From Financial Activity,12  Mar-15*,17831,JMSS
36,Net Cashflow,12  Mar-15*,-2150,JMSS
37,Interest income,12  Mar-16*,14948.0,JMSS
38,Other income,12  Mar-16*,1898.0,JMSS
39,Interest expense,12  Mar-16*,5121.0,JMSS
40,Net interest income,12  Mar-16*,9828.0,JMSS
41,Operating expense,12  Mar-16*,203.0,JMSS
42,Gross profit,12  Mar-16*,9625.0,JMSS
43,Gross profit margin,12  Mar-16*,64.4,JMSS
44,Provisions/contingencies,12  Mar-16*,0.0,JMSS
45,Profit before tax,12  Mar-16*,6929.0,JMSS
46,Extraordinary Inc (Exp),12  Mar-16*,553.0,JMSS
47,Minority Interest,12  Mar-16*,-1253.0,JMSS
48,Prior Period Items,12  Mar-16*,0.0,JMSS
49,Tax,12  Mar-16*,2224.0,JMSS
50,Profit after tax,12  Mar-16*,4005.0,JMSS
51,Net profit margin,12  Mar-16*,26.8,JMSS
52,Advances,12  Mar-16*,53016,JMSS
53,Deposits,12  Mar-16*,0,JMSS
54,Credit/Deposit ratio,12  Mar-16*,NM,JMSS
55,Yield on advances,12  Mar-16*,0,JMSS
56,Cost of deposits,12  Mar-16*,N.A.,JMSS
57,Net Interest Margin,12  Mar-16*,18.5,JMSS
58,Net fixed assets,12  Mar-16*,3403,JMSS
59,Share capital,12  Mar-16*,789,JMSS
60,Free reserves,12  Mar-16*,26559,JMSS
61,Net worth,12  Mar-16*,27348,JMSS
62,Borrowings,12  Mar-16*,24724,JMSS
63,Investments,12  Mar-16*,0,JMSS
64,Total assets,12  Mar-16*,110609,JMSS
65,Debt/equity ratio,12  Mar-16*,0.9,JMSS
66,Return on assets,12  Mar-16*,3.6,JMSS
67,Return on equity,12  Mar-16*,14.6,JMSS
68,Capital adequacy ratio,12  Mar-16*,0,JMSS
69,Net NPAs,12  Mar-16*,0,JMSS
70,From Operations,12  Mar-16*,-9181,JMSS
71,From Investments,12  Mar-16*,2640,JMSS
72,From Financial Activity,12  Mar-16*,13049,JMSS
73,Net Cashflow,12  Mar-16*,6508,JMSS
74,Interest income,12  Mar-17*,21522.0,JMSS
75,Other income,12  Mar-17*,2070.0,JMSS
76,Interest expense,12  Mar-17*,7820.0,JMSS
77,Net interest income,12  Mar-17*,13703.0,JMSS
78,Operating expense,12  Mar-17*,233.0,JMSS
79,Gross profit,12  Mar-17*,13470.0,JMSS
80,Gross profit margin,12  Mar-17*,62.6,JMSS
81,Provisions/contingencies,12  Mar-17*,0.0,JMSS
82,Profit before tax,12  Mar-17*,9717.0,JMSS
83,Extraordinary Inc (Exp),12  Mar-17*,120.0,JMSS
84,Minority Interest,12  Mar-17*,-1787.0,JMSS
85,Prior Period Items,12  Mar-17*,0.0,JMSS
86,Tax,12  Mar-17*,3348.0,JMSS
87,Profit after tax,12  Mar-17*,4702.0,JMSS
88,Net profit margin,12  Mar-17*,21.8,JMSS
89,Advances,12  Mar-17*,91280,JMSS
90,Deposits,12  Mar-17*,0,JMSS
91,Credit/Deposit ratio,12  Mar-17*,NM,JMSS
92,Yield on advances,12  Mar-17*,0,JMSS
93,Cost of deposits,12  Mar-17*,N.A.,JMSS
94,Net Interest Margin,12  Mar-17*,15.0,JMSS
95,Net fixed assets,12  Mar-17*,3828,JMSS
96,Share capital,12  Mar-17*,795,JMSS
97,Free reserves,12  Mar-17*,30783,JMSS
98,Net worth,12  Mar-17*,31578,JMSS
99,Borrowings,12  Mar-17*,40644,JMSS
100,Investments,12  Mar-17*,0,JMSS
101,Total assets,12  Mar-17*,165584,JMSS
102,Debt/equity ratio,12  Mar-17*,1.3,JMSS
103,Return on assets,12  Mar-17*,2.8,JMSS
104,Return on equity,12  Mar-17*,14.9,JMSS
105,Capital adequacy ratio,12  Mar-17*,0,JMSS
106,Net NPAs,12  Mar-17*,0,JMSS
107,From Operations,12  Mar-17*,-21495,JMSS
108,From Investments,12  Mar-17*,-6644,JMSS
109,From Financial Activity,12  Mar-17*,23261,JMSS
110,Net Cashflow,12  Mar-17*,-4475,JMSS
111,Interest income,12  Mar-18*,30503.0,JMSS
112,Other income,12  Mar-18*,463.0,JMSS
113,Interest expense,12  Mar-18*,11390.0,JMSS
114,Net interest income,12  Mar-18*,19113.0,JMSS
115,Operating expense,12  Mar-18*,262.0,JMSS
116,Gross profit,12  Mar-18*,18852.0,JMSS
117,Gross profit margin,12  Mar-18*,61.8,JMSS
118,Provisions/contingencies,12  Mar-18*,0.0,JMSS
119,Profit before tax,12  Mar-18*,13506.0,JMSS
120,Extraordinary Inc (Exp),12  Mar-18*,18.0,JMSS
121,Minority Interest,12  Mar-18*,-1840.0,JMSS
122,Prior Period Items,12  Mar-18*,0.0,JMSS
123,Tax,12  Mar-18*,3818.0,JMSS
124,Profit after tax,12  Mar-18*,7867.0,JMSS
125,Net profit margin,12  Mar-18*,25.8,JMSS
126,Advances,12  Mar-18*,215142,JMSS
127,Deposits,12  Mar-18*,0,JMSS
128,Credit/Deposit ratio,12  Mar-18*,NM,JMSS
129,Yield on advances,12  Mar-18*,0,JMSS
130,Cost of deposits,12  Mar-18*,N.A.,JMSS
131,Net Interest Margin,12  Mar-18*,8.9,JMSS
132,Net fixed assets,12  Mar-18*,6036,JMSS
133,Share capital,12  Mar-18*,838,JMSS
134,Free reserves,12  Mar-18*,44709,JMSS
