,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,87054.0,JSWE
1,Other income,12  Mar-14*,2022.0,JSWE
2,Total revenues,12  Mar-14*,89076.0,JSWE
3,Gross profit,12  Mar-14*,32514.0,JSWE
4,Depreciation,12  Mar-14*,8100.0,JSWE
5,Interest,12  Mar-14*,12059.0,JSWE
6,Profit before tax,12  Mar-14*,14377.0,JSWE
7,Minority Interest,12  Mar-14*,-51.0,JSWE
8,Prior Period Items,12  Mar-14*,-166.0,JSWE
9,Extraordinary Inc (Exp),12  Mar-14*,-3777.0,JSWE
10,Tax,12  Mar-14*,2836.0,JSWE
11,Profit after tax,12  Mar-14*,7547.0,JSWE
12,Gross profit margin,12  Mar-14*,37.3,JSWE
13,Effective tax rate,12  Mar-14*,19.7,JSWE
14,Net profit margin,12  Mar-14*,8.7,JSWE
15,Current assets,12  Mar-14*,32603.0,JSWE
16,Current liabilities,12  Mar-14*,34645.0,JSWE
17,Net working cap to sales,12  Mar-14*,-2.3,JSWE
18,Current ratio,12  Mar-14*,0.9,JSWE
19,Inventory Days,12  Mar-14*,17.0,JSWE
20,Debtors Days,12  Mar-14*,50.0,JSWE
21,Net fixed assets,12  Mar-14*,136347.0,JSWE
22,Share capital,12  Mar-14*,16401.0,JSWE
23,"""Free"" reserves",12  Mar-14*,43910.0,JSWE
24,Net worth,12  Mar-14*,65712.0,JSWE
25,Long term debt,12  Mar-14*,89323.0,JSWE
26,Total assets,12  Mar-14*,192444.0,JSWE
27,Interest coverage,12  Mar-14*,2.2,JSWE
28,Debt to equity ratio,12  Mar-14*,1.4,JSWE
29,Sales to assets ratio,12  Mar-14*,0.5,JSWE
30,Return on assets,12  Mar-14*,10.2,JSWE
31,Return on equity,12  Mar-14*,11.5,JSWE
32,Return on capital,12  Mar-14*,14.5,JSWE
33,Exports to sales,12  Mar-14*,0.0,JSWE
34,Imports to sales,12  Mar-14*,0.0,JSWE
35,Exports (fob),12  Mar-14*,0.0,JSWE
36,Imports (cif),12  Mar-14*,0.0,JSWE
37,Fx inflow,12  Mar-14*,0.0,JSWE
38,Fx outflow,12  Mar-14*,0.0,JSWE
39,Net fx,12  Mar-14*,0.0,JSWE
40,From Operations,12  Mar-14*,22691.0,JSWE
41,From Investments,12  Mar-14*,-3625.0,JSWE
42,From Financial Activity,12  Mar-14*,-18591.0,JSWE
43,Net Cashflow,12  Mar-14*,476.0,JSWE
44,Net Sales,12  Mar-15*,93802.0,JSWE
45,Other income,12  Mar-15*,2301.0,JSWE
46,Total revenues,12  Mar-15*,96103.0,JSWE
47,Gross profit,12  Mar-15*,36234.0,JSWE
48,Depreciation,12  Mar-15*,7898.0,JSWE
49,Interest,12  Mar-15*,11375.0,JSWE
50,Profit before tax,12  Mar-15*,19263.0,JSWE
51,Minority Interest,12  Mar-15*,-86.0,JSWE
52,Prior Period Items,12  Mar-15*,-190.0,JSWE
53,Extraordinary Inc (Exp),12  Mar-15*,-342.0,JSWE
54,Tax,12  Mar-15*,5150.0,JSWE
55,Profit after tax,12  Mar-15*,13495.0,JSWE
56,Gross profit margin,12  Mar-15*,38.6,JSWE
57,Effective tax rate,12  Mar-15*,26.7,JSWE
58,Net profit margin,12  Mar-15*,14.4,JSWE
59,Current assets,12  Mar-15*,36805.0,JSWE
