,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-14,51160.0,KARUR
1,Other income,12  Mar-14,5645.0,KARUR
2,Interest expense,12  Mar-14,38323.0,KARUR
3,Net interest income,12  Mar-14,12837.0,KARUR
4,Operating expense,12  Mar-14,10104.0,KARUR
5,Provisions/contingencies,12  Mar-14,4423.0,KARUR
6,Profit before tax,12  Mar-14,3955.0,KARUR
7,Extraordinary Inc (Exp),12  Mar-14,0.0,KARUR
8,Minority Interest,12  Mar-14,0.0,KARUR
9,Prior Period Items,12  Mar-14,0.0,KARUR
10,Tax,12  Mar-14,-341.0,KARUR
11,Profit after tax,12  Mar-14,4296.0,KARUR
12,Net profit margin,12  Mar-14,8.4,KARUR
13,Advances,12  Mar-14,339921.0,KARUR
14,Deposits,12  Mar-14,437577.0,KARUR
15,Credit/Deposit ratio,12  Mar-14,77.7,KARUR
16,Yield on advances,12  Mar-14,11.4,KARUR
17,Cost of deposits,12  Mar-14,7.9,KARUR
18,Net Interest Margin,12  Mar-14,2.6,KARUR
19,Net fixed assets,12  Mar-14,3847.0,KARUR
20,Share capital,12  Mar-14,1072.0,KARUR
21,Free reserves,12  Mar-14,18177.0,KARUR
22,Net worth,12  Mar-14,33263.0,KARUR
23,Borrowings,12  Mar-14,32933.0,KARUR
24,Investments,12  Mar-14,132470.0,KARUR
25,Total assets,12  Mar-14,515432.0,KARUR
26,Debt/equity ratio,12  Mar-14,14.1,KARUR
27,Return on assets,12  Mar-14,0.8,KARUR
28,Return on equity,12  Mar-14,12.9,KARUR
29,Capital adequacy ratio,12  Mar-14,12.6,KARUR
30,Net NPAs,12  Mar-14,0.4,KARUR
31,From Operations,12  Mar-14,11844.0,KARUR
32,From Investments,12  Mar-14,-1130.0,KARUR
33,From Financial Activity,12  Mar-14,-1891.0,KARUR
34,Net Cashflow,12  Mar-14,8822.0,KARUR
35,Interest income,12  Mar-15,53959.0,KARUR
36,Other income,12  Mar-15,5808.0,KARUR
37,Interest expense,12  Mar-15,39300.0,KARUR
38,Net interest income,12  Mar-15,14659.0,KARUR
39,Operating expense,12  Mar-15,11035.0,KARUR
