,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-14,41888.0,KBANK
1,Other income,12  Mar-14,5056.0,KBANK
2,Interest expense,12  Mar-14,31328.0,KBANK
3,Net interest income,12  Mar-14,10560.0,KBANK
4,Operating expense,12  Mar-14,8746.0,KBANK
5,Provisions/contingencies,12  Mar-14,2784.0,KBANK
6,Profit before tax,12  Mar-14,4087.0,KBANK
7,Extraordinary Inc (Exp),12  Mar-14,0.0,KBANK
8,Minority Interest,12  Mar-14,0.0,KBANK
9,Prior Period Items,12  Mar-14,0.0,KBANK
10,Tax,12  Mar-14,976.0,KBANK
11,Profit after tax,12  Mar-14,3111.0,KBANK
12,Net profit margin,12  Mar-14,7.4,KBANK
13,Advances,12  Mar-14,283455.0,KBANK
14,Deposits,12  Mar-14,405828.0,KBANK
15,Credit/Deposit ratio,12  Mar-14,69.8,KBANK
16,Yield on advances,12  Mar-14,11.2,KBANK
17,Cost of deposits,12  Mar-14,7.3,KBANK
18,Net Interest Margin,12  Mar-14,2.3,KBANK
19,Net fixed assets,12  Mar-14,1975.0,KBANK
20,Share capital,12  Mar-14,1884.0,KBANK
21,Free reserves,12  Mar-14,11677.0,KBANK
22,Net worth,12  Mar-14,30522.0,KBANK
23,Borrowings,12  Mar-14,19152.0,KBANK
24,Investments,12  Mar-14,152268.0,KBANK
25,Total assets,12  Mar-14,470288.0,KBANK
26,Debt/equity ratio,12  Mar-14,13.9,KBANK
27,Return on assets,12  Mar-14,0.7,KBANK
28,Return on equity,12  Mar-14,10.2,KBANK
29,Capital adequacy ratio,12  Mar-14,13.3,KBANK
30,Net NPAs,12  Mar-14,1.9,KBANK
31,From Operations,12  Mar-14,4039.0,KBANK
32,From Investments,12  Mar-14,-543.0,KBANK
33,From Financial Activity,12  Mar-14,340.0,KBANK
34,Net Cashflow,12  Mar-14,3836.0,KBANK
35,Interest income,12  Mar-15,46984.0,KBANK
36,Other income,12  Mar-15,5070.0,KBANK
37,Interest expense,12  Mar-15,35296.0,KBANK
38,Net interest income,12  Mar-15,11688.0,KBANK
39,Operating expense,12  Mar-15,9025.0,KBANK
40,Provisions/contingencies,12  Mar-15,2310.0,KBANK
41,Profit before tax,12  Mar-15,5425.0,KBANK
42,Extraordinary Inc (Exp),12  Mar-15,0.0,KBANK
43,Minority Interest,12  Mar-15,0.0,KBANK
44,Prior Period Items,12  Mar-15,0.0,KBANK
45,Tax,12  Mar-15,909.0,KBANK
46,Profit after tax,12  Mar-15,4516.0,KBANK
47,Net profit margin,12  Mar-15,9.6,KBANK
48,Advances,12  Mar-15,316800.0,KBANK
49,Deposits,12  Mar-15,460086.0,KBANK
50,Credit/Deposit ratio,12  Mar-15,68.9,KBANK
51,Yield on advances,12  Mar-15,11.1,KBANK
52,Cost of deposits,12  Mar-15,7.4,KBANK
53,Net Interest Margin,12  Mar-15,2.3,KBANK
54,Net fixed assets,12  Mar-15,2919.0,KBANK
55,Share capital,12  Mar-15,1885.0,KBANK
56,Free reserves,12  Mar-15,12261.0,KBANK
57,Net worth,12  Mar-15,33891.0,KBANK
58,Borrowings,12  Mar-15,10378.0,KBANK
59,Investments,12  Mar-15,159881.0,KBANK
60,Total assets,12  Mar-15,518366.0,KBANK
61,Debt/equity ratio,12  Mar-15,13.9,KBANK
62,Return on assets,12  Mar-15,0.9,KBANK
63,Return on equity,12  Mar-15,13.3,KBANK
64,Capital adequacy ratio,12  Mar-15,12.4,KBANK
65,Net NPAs,12  Mar-15,2.0,KBANK
66,From Operations,12  Mar-15,6481.0,KBANK
67,From Investments,12  Mar-15,-805.0,KBANK
68,From Financial Activity,12  Mar-15,-2909.0,KBANK
69,Net Cashflow,12  Mar-15,2768.0,KBANK
70,Interest income,12  Mar-16,49922.0,KBANK
71,Other income,12  Mar-16,5429.0,KBANK
72,Interest expense,12  Mar-16,36893.0,KBANK
73,Net interest income,12  Mar-16,13029.0,KBANK
74,Operating expense,12  Mar-16,9912.0,KBANK
75,Provisions/contingencies,12  Mar-16,3265.0,KBANK
76,Profit before tax,12  Mar-16,5284.0,KBANK
77,Extraordinary Inc (Exp),12  Mar-16,0.0,KBANK
78,Minority Interest,12  Mar-16,0.0,KBANK
79,Prior Period Items,12  Mar-16,0.0,KBANK
80,Tax,12  Mar-16,1127.0,KBANK
81,Profit after tax,12  Mar-16,4157.0,KBANK
82,Net profit margin,12  Mar-16,8.3,KBANK
83,Advances,12  Mar-16,339024.0,KBANK
84,Deposits,12  Mar-16,504882.0,KBANK
85,Credit/Deposit ratio,12  Mar-16,67.1,KBANK
86,Yield on advances,12  Mar-16,10.9,KBANK
87,Cost of deposits,12  Mar-16,7.1,KBANK
88,Net Interest Margin,12  Mar-16,2.4,KBANK
89,Net fixed assets,12  Mar-16,3066.0,KBANK
90,Share capital,12  Mar-16,1885.0,KBANK
91,Free reserves,12  Mar-16,12672.0,KBANK
92,Net worth,12  Mar-16,36906.0,KBANK
93,Borrowings,12  Mar-16,10515.0,KBANK
94,Investments,12  Mar-16,162567.0,KBANK
95,Total assets,12  Mar-16,565003.0,KBANK
96,Debt/equity ratio,12  Mar-16,14.0,KBANK
97,Return on assets,12  Mar-16,0.7,KBANK
98,Return on equity,12  Mar-16,11.3,KBANK
99,Capital adequacy ratio,12  Mar-16,12.0,KBANK
100,Net NPAs,12  Mar-16,2.4,KBANK
101,From Operations,12  Mar-16,6359.0,KBANK
102,From Investments,12  Mar-16,-579.0,KBANK
103,From Financial Activity,12  Mar-16,-1473.0,KBANK
104,Net Cashflow,12  Mar-16,4308.0,KBANK
105,Interest income,12  Mar-17,51854.0,KBANK
106,Other income,12  Mar-17,8093.0,KBANK
107,Interest expense,12  Mar-17,36948.0,KBANK
108,Net interest income,12  Mar-17,14906.0,KBANK
109,Operating expense,12  Mar-17,13042.0,KBANK
110,Provisions/contingencies,12  Mar-17,5279.0,KBANK
111,Profit before tax,12  Mar-17,4680.0,KBANK
112,Extraordinary Inc (Exp),12  Mar-17,0.0,KBANK
113,Minority Interest,12  Mar-17,0.0,KBANK
114,Prior Period Items,12  Mar-17,0.0,KBANK
115,Tax,12  Mar-17,157.0,KBANK
116,Profit after tax,12  Mar-17,4523.0,KBANK
117,Net profit margin,12  Mar-17,8.7,KBANK
118,Advances,12  Mar-17,369157.0,KBANK
119,Deposits,12  Mar-17,567331.0,KBANK
120,Credit/Deposit ratio,12  Mar-17,65.1,KBANK
121,Yield on advances,12  Mar-17,10.3,KBANK
122,Cost of deposits,12  Mar-17,6.3,KBANK
123,Net Interest Margin,12  Mar-17,2.5,KBANK
124,Net fixed assets,12  Mar-17,7206.0,KBANK
125,Share capital,12  Mar-17,2826.0,KBANK
126,Free reserves,12  Mar-17,17975.0,KBANK
127,Net worth,12  Mar-17,51426.0,KBANK
128,Borrowings,12  Mar-17,8326.0,KBANK
129,Investments,12  Mar-17,202197.0,KBANK
130,Total assets,12  Mar-17,640386.0,KBANK
131,Debt/equity ratio,12  Mar-17,11.2,KBANK
132,Return on assets,12  Mar-17,0.7,KBANK
133,Return on equity,12  Mar-17,8.8,KBANK
134,Capital adequacy ratio,12  Mar-17,13.3,KBANK
135,Net NPAs,12  Mar-17,2.6,KBANK
136,From Operations,12  Mar-17,-1841.0,KBANK
137,From Investments,12  Mar-17,-399.0,KBANK
138,From Financial Activity,12  Mar-17,4531.0,KBANK
139,Net Cashflow,12  Mar-17,2291.0,KBANK
140,Interest income,12  Mar-18,54238.0,KBANK
141,Other income,12  Mar-18,9543.0,KBANK
142,Interest expense,12  Mar-18,35661.0,KBANK
143,Net interest income,12  Mar-18,18577.0,KBANK
144,Operating expense,12  Mar-18,13388.0,KBANK
145,Provisions/contingencies,12  Mar-18,11630.0,KBANK
146,Profit before tax,12  Mar-18,4473.0,KBANK
147,Extraordinary Inc (Exp),12  Mar-18,0.0,KBANK
148,Minority Interest,12  Mar-18,0.0,KBANK
149,Prior Period Items,12  Mar-18,0.0,KBANK
150,Tax,12  Mar-18,-155.0,KBANK
151,Profit after tax,12  Mar-18,4628.0,KBANK
152,Net profit margin,12  Mar-18,8.5,KBANK
153,Advances,12  Mar-18,472518.0,KBANK
154,Deposits,12  Mar-18,628713.0,KBANK
155,Credit/Deposit ratio,12  Mar-18,75.2,KBANK
156,Yield on advances,12  Mar-18,8.6,KBANK
157,Cost of deposits,12  Mar-18,5.5,KBANK
158,Net Interest Margin,12  Mar-18,2.8,KBANK
159,Net fixed assets,12  Mar-18,7616.0,KBANK
160,Share capital,12  Mar-18,2826.0,KBANK
161,Free reserves,12  Mar-18,19741.0,KBANK
162,Net worth,12  Mar-18,54102.0,KBANK
163,Borrowings,12  Mar-18,8160.0,KBANK
164,Investments,12  Mar-18,154444.0,KBANK
165,Total assets,12  Mar-18,703737.0,KBANK
166,Debt/equity ratio,12  Mar-18,11.8,KBANK
167,Return on assets,12  Mar-18,0.7,KBANK
168,Return on equity,12  Mar-18,8.6,KBANK
169,Capital adequacy ratio,12  Mar-18,12.0,KBANK
170,Net NPAs,12  Mar-18,3.0,KBANK
171,From Operations,12  Mar-18,7209.0,KBANK
172,From Investments,12  Mar-18,-913.0,KBANK
173,From Financial Activity,12  Mar-18,-3026.0,KBANK
174,Net Cashflow,12  Mar-18,3270.0,KBANK
