,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,16189.0,KEIN
1,Other income,12  Mar-14,13.0,KEIN
2,Total revenues,12  Mar-14,16202.0,KEIN
3,Gross profit,12  Mar-14,1530.0,KEIN
4,Depreciation,12  Mar-14,210.0,KEIN
5,Interest,12  Mar-14,1115.0,KEIN
6,Profit before tax,12  Mar-14,218.0,KEIN
7,Minority Interest,12  Mar-14,0.0,KEIN
8,Prior Period Items,12  Mar-14,0.0,KEIN
9,Extraordinary Inc (Exp),12  Mar-14,0.0,KEIN
10,Tax,12  Mar-14,102.0,KEIN
11,Profit after tax,12  Mar-14,116.0,KEIN
12,Gross profit margin,12  Mar-14,9.5,KEIN
13,Effective tax rate,12  Mar-14,46.8,KEIN
14,Net profit margin,12  Mar-14,0.7,KEIN
15,Current assets,12  Mar-14,9227.0,KEIN
16,Current liabilities,12  Mar-14,8355.0,KEIN
17,Net working cap to sales,12  Mar-14,5.4,KEIN
18,Current ratio,12  Mar-14,1.1,KEIN
19,Inventory Days,12  Mar-14,91.0,KEIN
20,Debtors Days,12  Mar-14,97.0,KEIN
21,Net fixed assets,12  Mar-14,3143.0,KEIN
22,Share capital,12  Mar-14,148.0,KEIN
23,"""Free"" reserves",12  Mar-14,2474.0,KEIN
24,Net worth,12  Mar-14,2731.0,KEIN
25,Long term debt,12  Mar-14,1166.0,KEIN
26,Total assets,12  Mar-14,12435.0,KEIN
27,Interest coverage,12  Mar-14,1.2,KEIN
28,Debt to equity ratio,12  Mar-14,0.4,KEIN
29,Sales to assets ratio,12  Mar-14,1.3,KEIN
30,Return on assets,12  Mar-14,9.9,KEIN
31,Return on equity,12  Mar-14,4.2,KEIN
32,Return on capital,12  Mar-14,34.2,KEIN
33,Exports to sales,12  Mar-14,12.2,KEIN
34,Imports to sales,12  Mar-14,6.2,KEIN
35,Exports (fob),12  Mar-14,1975.0,KEIN
36,Imports (cif),12  Mar-14,1009.0,KEIN
37,Fx inflow,12  Mar-14,1975.0,KEIN
38,Fx outflow,12  Mar-14,1184.0,KEIN
39,Net fx,12  Mar-14,791.0,KEIN
